,Song Name,Artist,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,SOCAN,D.VID.P,CANA,CABIN FEVER 2 S,1,0417,0617,0.05,90.000,0.05
1,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,STRICTLY CONFIDENTIAL BENELUX,MECH.,BELG,,,0117,1217,0.36,45.000,0.16
2,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,STRICTLY CONFIDENTIAL BENELUX,PERF.,BELG,,,0117,1217,0.33,45.000,0.15
3,BUTTERFLY,RASTEGAR/RUZUMNA/WICKS/CAREN/LOPEZ,OMSA SRL ARGENTINA,PERF.,ARGE,,,0717,1217,2.86,22.500,0.64
4,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,AMAZON MUSIC UNLIMITED,STREAM.M,USA,,71,1016,1217,0.06,45.000,0.03
5,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,PANDORA LIMITED,STREAM.M,USA,USA6G1456605,326,0916,1217,0.13,45.000,0.06
6,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,MECH.,USA,,-2,0716,0617,-0.04,45.000,-0.02
7,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,DOWNLOAD,USA,,111,0115,0616,2.53,45.000,1.14
8,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,STREAM.M,CANA,USA6G1456605,58,1017,1217,0.02,45.000,0.01
9,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,DOWNLOAD,CANA,USA6G1456605,2,1017,1217,0.06,45.000,0.03
10,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,IMPEL PAN EUROPEAN,STREAM.M,GRBR,APPLE MUSIC,69,0916,1216,0.03,45.000,0.01
11,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,AMAZON MUSIC UNLIMITED,STREAM.M,USA,,58,1016,1217,0.05,45.000,0.02
12,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,ASCAP,D.VID.P,USA,GOSSIP GIRL,,0180,0380,0.51,90.000,0.46
13,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,GOOGLE PLAY MUSIC ALL ACCESS,STREAM.M,USA,USA6G1456606,108,1217,1217,0.03,45.000,0.01
14,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,PANDORA LIMITED,STREAM.M,USA,USA6G1456606,207,0916,1217,0.09,45.000,0.04
15,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,MECH.,USA,,-2,0716,0617,-0.04,45.000,-0.02
16,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,DOWNLOAD,USA,,-78,0716,0617,-1.78,45.000,-0.80
17,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,YOUTUBE MUSIC,D.VIDEOS,USA,,238,1017,1217,0.05,45.000,0.02
18,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,STREAM.M,CANA,USA6G1456606,54,1016,1216,0.02,45.000,0.01
19,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,APPLE COMPUTERINC.CANADA,DOWNLOAD,CANA,USA6G1456606,2,1017,1217,0.06,45.000,0.03
20,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,EDITION BJORLUND SWEDEN,PERF.,DENM,,,0417,0917,0.02,45.000,0.01
21,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,EDITION BJORLUND SWEDEN,D.PERF,SWED,,,1016,1216,0.16,45.000,0.07
22,CHRISTMAKWANZAKAH,WILDER/FINNERTY/RUZUMNA,IMPEL PAN EUROPEAN,DOWNLOAD,GRBR,ITUNES,1,1214,1214,0.03,45.000,0.01
