,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,Beautiful Day,T0116493389,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,55.3000,Essex David,00070172307,201806A,
1,Beautiful Day,T0116493389,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,21/10/2017 , 21/10/2017,"Brighton Conference Centre, Brighton, Bn1 2gr",50.00%,,48.0400,Essex David,00070172307,201806A,
2,Beautiful Day,T0116493389,UK Concert Service Events,Essex David,Joseph Webster Ltd,Stage Three Music Publishing L,,22/10/2017 , 22/10/2017,"Motorpoint Arena Cardiff, Cardiff, Cf10 2eq",50.00%,,46.7100,Essex David,00070172307,201806A,
3,Gonna Make You A Star,T0101749170,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,60.5700,Essex David,00070172307,201806A,
4,Gonna Make You A Star,T0101749170,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,14/10/2017 , 14/10/2017,"Genting Arena, Birmingham, B40 1nt",50.00%,,59.5300,Essex David,00070172307,201806A,
5,Gonna Make You A Star,T0101749170,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,15/10/2017 , 15/10/2017,"First Direct Arena, Leeds, Ls2 8ar",50.00%,,42.8500,Essex David,00070172307,201806A,
6,Gonna Make You A Star,T0101749170,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,18/10/2017 , 18/10/2017,"Echo Arena Liverpool, Liverpool, L3 4fp",50.00%,,25.9000,Essex David,00070172307,201806A,
7,Gonna Make You A Star,T0101749170,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,21/10/2017 , 21/10/2017,"Brighton Conference Centre, Brighton, Bn1 2gr",50.00%,,52.6100,Essex David,00070172307,201806A,
8,Gonna Make You A Star,T0101749170,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,22/10/2017 , 22/10/2017,"Motorpoint Arena Cardiff, Cardiff, Cf10 2eq",50.00%,,51.1600,Essex David,00070172307,201806A,
9,Hold Me Close,T0101759630,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,13/10/2017 , 13/10/2017,"Scottish Exhibition & Conference Centre, Glasgow,",50.00%,,52.6700,Essex David,00070172307,201806A,
10,Hold Me Close,T0101759630,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,14/10/2017 , 14/10/2017,"Genting Arena, Birmingham, B40 1nt",50.00%,,51.7700,Essex David,00070172307,201806A,
11,Hold Me Close,T0101759630,UK Concert Service Events,Essex David,Stage Three Music (Catalogues),Stage Three Music Publishing L,,15/10/2017 , 15/10/2017,"First Direct Arena, Leeds, Ls2 8ar",50.00%,,37.2600,Essex David,00070172307,201806A,
