,Work Title,ISWC,Usage Narrative,IP1,IP2,IP3,IP4,Perf Start Date,Perf End Date,Production,Share,Number of Perfs,Amount (performance revenue),Member Name,CAE Number,Distribution (posted),Distribution Period Month
0,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon United Kingdom Permanent Download Service Album,David Essex,,,,,,,50.00%,1,0.0046,Essex David,00070172307,201902A,
1,(Twenty) 20 Flights Up,T0101809033,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,,,,50.00%,130,0.0596,Essex David,00070172307,201902A,
2,(Twenty) 20 Flights Up,T0101809033,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,,,,50.00%,9,0.0062,Essex David,00070172307,201902A,
3,(Twenty) 20 Flights Up,T0101809033,Alliance Aspiro AB Sweden Limited Download / On Demand Streaming Service Singl,David Essex,,,,,,,50.00%,1,0.0004,Essex David,00070172307,201902A,
4,(Twenty) 20 Flights Up,T0101809033,Alliance Deezer United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,2,0.0026,Essex David,00070172307,201902A,
5,(Twenty) 20 Flights Up,T0101809033,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,7,0.0034,Essex David,00070172307,201902A,
6,(Twenty) 20 Flights Up,T0101809033,Alliance Google Spain Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,1,0.0007,Essex David,00070172307,201902A,
7,(Twenty) 20 Flights Up,T0101809033,Alliance Google Russian Federation Limited Download / On Demand Streaming Serv,David Essex,,,,,,,50.00%,1,0.0003,Essex David,00070172307,201902A,
8,(Twenty) 20 Flights Up,T0101809033,Alliance Napster United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,1,0.0004,Essex David,00070172307,201902A,
9,(Twenty) 20 Flights Up,T0101809033,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,1,0.0003,Essex David,00070172307,201902A,
10,A Place In The Sun,T0100187481,Alliance Deezer United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,2,0.0026,Essex David,00070172307,201902A,
11,"Africa, You Shine",T0102472741,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,2,0.0017,Essex David,00070172307,201902A,
12,"Africa, You Shine",T0102472741,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,,,,50.00%,75,0.0508,Essex David,00070172307,201902A,
13,"Africa, You Shine",T0102472741,Alliance Aspiro AB Poland Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,1,0.0001,Essex David,00070172307,201902A,
14,"Africa, You Shine",T0102472741,Alliance Google United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,65,0.0364,Essex David,00070172307,201902A,
15,"Africa, You Shine",T0102472741,Alliance Google Sweden Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,4,0.0034,Essex David,00070172307,201902A,
16,"Africa, You Shine",T0102472741,Alliance Google Switzerland Limited Download / On Demand Streaming Service Sing,David Essex,,,,,,,50.00%,1,0.0008,Essex David,00070172307,201902A,
17,"Africa, You Shine",T0102472741,Alliance Google Spain Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,1,0.0007,Essex David,00070172307,201902A,
18,"Africa, You Shine",T0102472741,Alliance Google Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,3,0.0015,Essex David,00070172307,201902A,
19,"Africa, You Shine",T0102472741,Alliance Google Belarus Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,1,0.0002,Essex David,00070172307,201902A,
20,"Africa, You Shine",T0102472741,Alliance Napster United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,3,0.0010,Essex David,00070172307,201902A,
21,"Africa, You Shine",T0102472741,Alliance Napster Germany Limited Download / On Demand Streaming Service Single,David Essex,,,,,,,50.00%,1,0.0003,Essex David,00070172307,201902A,
22,Alice Stay Young And Free,T0113014622,Alliance Amazon United Kingdom Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,19,0.0149,Essex David,00070172307,201902A,
23,Alice Stay Young And Free,T0113014622,Alliance Amazon United Kingdom Permanent Download Service Album,David Essex,,,,,,,50.00%,2,0.0057,Essex David,00070172307,201902A,
24,Alice Stay Young And Free,T0113014622,Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming S,David Essex,,,,,,,50.00%,54,0.0265,Essex David,00070172307,201902A,
25,Alice Stay Young And Free,T0113014622,Alliance Amazon Prime Germany Limited Download / On Demand Streaming Service,David Essex,,,,,,,50.00%,2,0.0013,Essex David,00070172307,201902A,
26,Alice Stay Young And Free,T0113014622,Alliance Amazon Prime Austria Limited Download / On Demand Streaming Service S,David Essex,,,,,,,50.00%,1,0.0006,Essex David,00070172307,201902A,
27,Alice Stay Young And Free,T0113014622,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Se,David Essex,,,,,,,50.00%,22,0.0135,Essex David,00070172307,201902A,
