,Song Number,Song Title,Share,Net Earnings
0,101920,And Can It Be?,33.34%,$0.2200
1,101921,Christ the Lord is Risen Today (He Is Alive),33.34%,$12.5800
2,101922,Hosanna (Glory To The King),33.34%,$6.2500
3,101924,One Name,33.34%,$0.0100
4,101925,Jesus Is His Name,33.33%,$0.3800
5,101926,Son Of Man,33.34%,$0.0000
6,101928,Oh What A Savior,33.33%,$8.7600
7,101930,In The Highest,33.33%,$0.0700
8,101931,My Life For You,50.00%,$0.0000
9,101932,Sing We Now of Christmas,50.00%,$9.7100
10,101933,Christmas Makes Everything New,33.33%,$2.8100
11,101934,Crown You King (This Is The Place),33.33%,$4.7700
12,101936,Glory To His Name (Hark The Herald),33.33%,$0.1300
13,101937,Go Tell It On The Mountain,33.33%,$17.7500
14,101938,Hope Burning Bright,33.33%,$0.0300
15,102481,Listen To The Oldies,33.34%,$0.4700
16,102485,David's Dynasty,33.34%,$0.3000
17,102486,Somebody's Counting,33.34%,$0.2000
18,103641,We Need You Lord,33.33%,$0.0800
19,104401,Up From The Grave,33.34%,$10.8800
20,104755,God Rest Ye Merry Gentlemen,50.00%,$0.0200
21,104819,One Life At A Time,33.34%,$0.0200
22,105527,"Glory, Glory In The Highest",50.00%,$2.9400
23,108101,Behold The Lamb Of God,33.33%,$1.4800
24,108102,Believe,33.33%,$5.5700
25,108103,Believe In Christmas,33.33%,$0.2800
26,108106,Come To My Heart,33.33%,$1.0400
27,108117,At The Feet Of Jesus,50.00%,$2.4200
28,108118,Call His Name,50.00%,$9.2000
29,108125,I Believe In The Name Of Jesus,33.33%,$18.2700
30,108134,Magnificat,50.00%,$1.3200
31,108144,Psalm 150,33.33%,$9.4900
32,108153,This Is Love,33.33%,$0.4500
33,108155,Tis So Sweet To Trust In Jesus (Arr.),50.00%,$9.0900
34,108158,We Come And Worship,33.34%,$0.1000
35,108167,You Follow,50.00%,$0.6200
36,108317,Born Is The King Of The World,50.00%,$7.2000
37,109242,What Child Is This (Believe In Christmas Project),33.34%,$0.0600
38,110835,I Love You Lord,33.34%,$3.6200
39,111701,How Great Your Love Must Be,50.00%,$1.3100
40,114471,How Great The Name,50.00%,$3.0100
41,114525,Unselfie,50.00%,$1.9800
42,114526,Self Less,50.00%,$8.7300
43,114527,"Share Yourself, Not Your Selfie",50.00%,$3.1000
44,114528,Love Is Changing Me,50.00%,$1.9800
45,115024,See The Man Of Sorrows Now,33.33%,$0.0200
46,115488,Yours,50.00%,$0.2000
47,116857,Glory To The Newborn King,33.33%,$4.1800
0,117299,"O God, Our Help In Ages Past",100.00%,$132.6400
1,117300,We Stand For You,50.00%,$29.2000
2,117301,We Remember America,50.00%,$14.1200
3,117327,Oh God Our Help,50.00%,$0.0000
4,117426,On This Christmas Day,33.33%,$6.1700
5,117428,"Sing For Joy (Joyful, Joyful We Adore Thee) (arr.)",40.00%,$0.0000
6,117430,"Joyful, Joyful We Adore Thee",50.00%,$0.0000
7,117431,The Sound Of Love,30.00%,$4.0100
8,117824,Love Has Not Forgotten Us,33.33%,$0.2000
9,118124,You See,33.33%,$0.0000
10,201630,Come To The Healer,50.00%,$0.0500
11,203373,Make Room For Jesus,50.00%,$13.8300
12,203374,Go Tell It on the Mountain,50.00%,$13.5300
13,203375,Good News from Home,50.00%,$14.8600
14,205705,True Light Shines,33.33%,$10.7400
15,205732,Silent Night,50.00%,$51.8300
16,206631,Here Comes Christmas,33.34%,$4.9200
17,208932,Journey To The Cross,50.00%,$9.8200
18,210053,Christmas Forever Amen,50.00%,$3.4700
19,210696,The Promised Messiah,50.00%,$18.4900
20,214621,The Joy Of Surrender/The Stand,16.67%,$2.5900
21,79473,Crown Him With Many Crowns,100.00%,$0.0800
22,79483,"Children, Go Where Where I Send Thee",50.00%,$1.7600
23,79580,He Came For Us,50.00%,$1.3000
24,79683,About You And Me,33.34%,$1.1000
25,79686,Good Samari-Friend,33.34%,$2.7600
26,79690,Here For The Gold,50.00%,$4.0000
27,79694,Love Light,50.00%,$1.8800
28,79697,Real Love,33.34%,$1.6400
29,79698,Seventy Times Seven (70x7),33.34%,$5.7300
30,79701,The Building Song,33.34%,$6.7600
31,79798,Let There Be Christmas,50.00%,$0.0700
32,79799,God Is With Us,50.00%,$0.0700
33,79816,In The Light Of Christmas,33.34%,$0.0000
34,79817,Awaken Us,33.34%,$0.0200
35,79818,Sing The Song Of Christmas,33.34%,$0.1400
36,79819,Joy Of Every Longing Heart (Waiting For You),33.34%,$0.0200
37,79820,Come Thou Long Expected Jesus,33.34%,$3.7600
38,79821,All Glorious,33.34%,$0.0000
39,79822,Good Christian Men Rejoice,33.34%,$0.2900
40,79846,Live A Merry Christmas,33.34%,$4.1200
41,79847,"All To Jesus, All The Glory",33.34%,$0.0000
42,79848,Love Put A Star In The Sky,33.34%,$0.0900
43,79872,Sleep Now Little Child,33.34%,$0.0300
44,79873,I Come To The Manger,50.00%,$16.8900
45,79994,To The Cross,50.00%,$0.0000
