title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
20 Questions,Amy Rigby,"AMI Entertainment, Inc. - USA",17362,Amy Rigby,DIGI,01/19 - 03/19,0,7,0.05,50,0.02
20 Questions,Amy Rigby,"AMI Entertainment, Inc. - USA",17364,Amy Rigby,DIGI,07/19 - 09/19,0,1,0.01,50,0
20 Questions,Amy Rigby,Amazon Music Free Tier - USA,17578,Ad-supported,DIGI,03/20 - 03/20,0,1,0,50,0
20 Questions,Amy Rigby,Amazon Music Free Tier - USA,17579,Ad-supported,DIGI,04/20 - 04/20,0,1,0,50,0
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17116,Amazon Music,DIGI,12/19 - 12/19,0,18,0.02,50,0.01
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17129,Amazon Music,DIGI,01/20 - 01/20,0,72,0.11,50,0.06
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17532,Amazon Music,DIGI,02/20 - 02/20,0,61,0.1,50,0.05
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17581,Amazon Music,DIGI,03/20 - 03/20,0,34,0.05,50,0.03
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17582,Amazon Music,DIGI,04/20 - 04/20,0,20,0.03,50,0.02
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,18035,Amy Rigby,DIGI,05/20 - 05/20,0,19,0.03,50,0.01
20 Questions,Amy Rigby,Amazon Prime Music - USA,17112,Amazon Prime,DIGI,12/19 - 12/19,0,10,0.01,50,0.01
20 Questions,Amy Rigby,Amazon Prime Music - USA,17114,Amazon Prime,DIGI,11/19 - 11/19,0,35,0.05,50,0.02
20 Questions,Amy Rigby,Amazon Prime Music - USA,17130,Amazon Prime,DIGI,01/20 - 01/20,0,38,0.07,50,0.03
20 Questions,Amy Rigby,Amazon Prime Music - USA,17534,Amazon Prime,DIGI,02/20 - 02/20,0,67,0.12,50,0.06
