,Song Name,Artist,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,1080,1280,0.13,90.000,0.12
1,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,1080,1280,0.03,90.000,0.03
2,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,1080,1280,0.46,90.000,0.41
3,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,,3284,0117,0618,-0.05,90.000,-0.05
4,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,698,0117,0618,0.26,90.000,0.23
5,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,745,0718,0918,0.27,90.000,0.24
6,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,APPLE INC.,STREAM.M,USA,,96,0718,0918,0.02,45.000,0.01
7,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,APPLE INC.,STREAM.M,USA,,96,0718,0918,0.02,45.000,0.01
8,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,MECH.,USA,,,0118,0618,0.02,90.000,0.02
9,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,SIDE ONE RECORDS/DUMMY RECORDS,DOWNLOAD,USA,,,0118,0618,0.71,90.000,0.64
10,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,"SPOTIFY USA, INC.",STREAM.M,USA,,508,0112,0917,0.09,45.000,0.04
11,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,"SPOTIFY USA, INC.",STREAM.M,USA,,508,0112,0917,0.09,45.000,0.04
12,CHRISTMASTIME INCALIFORNIA,WILDER/FINNERTY/RUZUMNA,"SPOTIFY USA, INC.",STREAM.M,USA,,5132,0112,0918,0.67,45.000,0.30
