,Song Name,C,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AFTERGLOW,RUZUMNA/FISK,ASCAP,PERF.,USA,,,0190,0390,0.03,90.000,0.03
1,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0190,0390,0.14,90.000,0.13
2,AFTERGLOW,RUZUMNA/FISK,ASCAP,D.PERF,USA,,,0190,0390,0.42,90.000,0.38
3,AFTERGLOW,RUZUMNA/FISK,BMI,PERF.,SCAN,FOREIGN PERF.,,0718,0918,0.01,90.000,0.01
4,AFTERGLOW,RUZUMNA/FISK,MEDIANET/MUSICNET SUBSCRIPTION SERV,DOWNLOAD,USA,USTC80912997,15,0116,1216,0.01,90.000,0.01
5,AFTERGLOW,RUZUMNA/FISK,MEDIANET/MUSICNET SUBSCRIPTION SERV,DOWNLOAD,USA,USTC80912997,,0116,1216,0.07,90.000,0.06
6,AFTERGLOW,RUZUMNA/FISK,PANDORA LIMITED,STREAM.M,USA,USTC80912997,988,0114,0219,0.38,90.000,0.34
7,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,D.PERF,GRBR,,,0518,0618,0.01,90.000,0.01
8,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,STREAM.M,GRBR,,,0518,0618,0.01,90.000,0.01
9,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,STREAM.M,GRBR,APPLE MUSIC,15,1217,0318,0.01,90.000,0.01
10,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,DOWNLOAD,GRBR,ITUNES,1,1217,0218,0.01,90.000,0.01
11,AFTERGLOW,RUZUMNA/FISK,IMPEL PAN EUROPEAN,DOWNLOAD,GRBR,ITUNES,2,0518,0618,0.03,90.000,0.03
12,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,D.PERF,ASTR,,,0717,0618,0.01,90.000,0.01
13,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,D.PERF,ASTR,,,0118,0318,0.01,90.000,0.01
14,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,DOWNLOAD,ASTR,859701354802,1,0418,0618,0.02,90.000,0.02
15,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,DOWNLOAD,ASTR,859701354802,1,0518,0618,0.02,90.000,0.02
16,AFTERGLOW,RUZUMNA/FISK,NATIVE TONGUEMUSICPUBLISHING AUST,DOWNLOAD,ASTR,859701354802,2,0818,0918,0.04,90.000,0.04
17,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",MECH.,JAPA,,6,0718,1218,0.02,90.000,0.02
18,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",PERF.,JAPA,,,0718,1218,0.41,90.000,0.37
19,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",D.PERF,JAPA,,,0718,1218,0.26,90.000,0.23
20,AFTERGLOW,RUZUMNA/FISK,"NICHION, INC JAPAN",DOWNLOAD,JAPA,,,0718,1218,0.60,90.000,0.54
21,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,CZEC,,,1218,0219,0.03,45.000,0.01
22,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,PERF.,CZEC,CABIN FEVER 2:,,1218,0219,0.64,45.000,0.29
23,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0190,0390,0.07,45.000,0.03
24,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0190,0390,7.23,45.000,3.25
25,BOYS LIKE IT DIRTY,WILDER/RUZUMNA/WATSON,ASCAP,D.VID.P,USA,CABIN FEVER 2 S,,0190,0390,0.17,45.000,0.08
