,Song Name,Artist,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AIN'T NOBODY BUT ME,,MOOD ENTERTAINMENTLTD,OTHER,USA,,26161,0719,0620,2.22,18.000,0.40
1,AIN'T NOBODY BUT ME,,MOOD ENTERTAINMENTLTD,OTHER,U SA,,26161,0719,0620,2.22,18.000,0.40
2,AIN'T NOBODY BUT ME,,MOOD ENTERTAINMENTLTD,OTHER,U SA,,26161,0719,0620,2.22,18.000,0.40
3,AIN'T NOBODY BUT ME,,MOOD ENTERTAINMENTLTD,OTHER,U SA,,26161,0719,0620,2.22,18.000,0.40
4,AIN'T NOBODY BUT ME,,MOOD ENTERTAINMENTLTD,OTHER,U SA,,26161,0719,0620,2.22,18.000,0.40
5,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",MECH.,JAPA,7567 865244,36,0720,1220,0.16,18.000,0.03
6,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",MECH.,J APA,7567 865244,36,0720,1220,0.16,18.000,0.03
7,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",MECH.,J APA,7567 865244,36,0720,1220,0.16,18.000,0.03
8,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",MECH.,J APA,7567 865244,36,0720,1220,0.16,18.000,0.03
9,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",MECH.,J APA,7567 865244,36,0720,1220,0.16,18.000,0.03
10,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",D.PERF,JAPA,,,0720,1220,0.33,18.000,0.06
11,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",D.PERF,J APA,,,0720,1220,0.33,18.000,0.06
12,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",D.PERF,J APA,,,0720,1220,0.33,18.000,0.06
13,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",D.PERF,J APA,,,0720,1220,0.33,18.000,0.06
14,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",D.PERF,J APA,,,0720,1220,0.33,18.000,0.06
15,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,JAPA,,,0720,1220,1.38,18.000,0.25
16,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,1.38,18.000,0.25
17,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,1.38,18.000,0.25
18,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,1.38,18.000,0.25
19,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,1.38,18.000,0.25
20,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,0.06,18.000,0.01
21,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,0.06,18.000,0.01
22,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,0.06,18.000,0.01
23,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,0.06,18.000,0.01
24,AIN'T NOBODY BUT ME,,"NICHION, INCJAPAN",DOWNLOAD,J APA,,,0720,1220,0.06,18.000,0.01
25,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,GERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
26,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
27,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
28,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
29,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
30,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,APPLE MUSIC,,0120,0320,0.05,18.000,0.01
31,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,APPLE MUSIC,,0120,0320,0.05,18.000,0.01
32,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,APPLE MUSIC,,0120,0320,0.05,18.000,0.01
33,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,APPLE MUSIC,,0120,0320,0.05,18.000,0.01
34,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,APPLE MUSIC,,0120,0320,0.05,18.000,0.01
35,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
36,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
37,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
38,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
39,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
40,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,SPOTIFY,,0120,0320,0.08,18.000,0.01
41,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,SPOTIFY,,0120,0320,0.08,18.000,0.01
42,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,SPOTIFY,,0120,0320,0.08,18.000,0.01
43,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,SPOTIFY,,0120,0320,0.08,18.000,0.01
44,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,D.PERF,G RBR,SPOTIFY,,0120,0320,0.08,18.000,0.01
45,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,GERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
46,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
47,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
48,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
49,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G ERM,APPLE MUSIC,,0120,0320,0.04,18.000,0.01
50,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G RBR,APPLE MUSIC,,0120,0320,0.11,18.000,0.02
51,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G RBR,APPLE MUSIC,,0120,0320,0.11,18.000,0.02
52,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G RBR,APPLE MUSIC,,0120,0320,0.11,18.000,0.02
53,AIN'T NOBODY BUT ME,,SACEM PAN EUROPEAN,STREAM.M,G RBR,APPLE MUSIC,,0120,0320,0.11,18.000,0.02
54,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,GRBR,APPLE MUSIC,,0120,0320,0.11,18.000,0.02
55,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
56,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
57,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
58,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
59,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G ERM,SPOTIFY,,0120,0320,0.08,18.000,0.01
60,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G RBR,SPOTIFY,,0120,0320,0.16,18.000,0.03
61,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G RBR,SPOTIFY,,0120,0320,0.16,18.000,0.03
62,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G RBR,SPOTIFY,,0120,0320,0.16,18.000,0.03
63,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G RBR,SPOTIFY,,0120,0320,0.16,18.000,0.03
64,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,STREAM.M,G RBR,SPOTIFY,,0120,0320,0.16,18.000,0.03
65,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,DOWNLOAD,GERM,AMAZON,,0120,0320,0.03,18.000,0.01
66,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,DOWNLOAD,G ERM,AMAZON,,0120,0320,0.03,18.000,0.01
67,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,DOWNLOAD,G ERM,AMAZON,,0120,0320,0.03,18.000,0.01
68,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,DOWNLOAD,G ERM,AMAZON,,0120,0320,0.03,18.000,0.01
69,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,SACEM PAN EUROPEAN,DOWNLOAD,G ERM,AMAZON,,0120,0320,0.03,18.000,0.01
70,AIN'T NOBODY BUT ME,,SOCAN,D.PERF,CANA,,,0420,0620,0.06,18.000,0.01
71,ALL THE FEELS,RUZUMNA/SCAGGS/KARNES/KING/WICKS/,AMERICAN BROADCASTING CO. (ABC),SYNCH.,USA,LIVE WITH KEL,LY,0221,0221,128.00,18.000,23.04
72,ALL THE FEELS,RUZUMNA/SCAGGS/KARNES/KING/WICKS/,AMAZON MUSICUNLIMITED,STREAM.M,USA,USAT21903322,1012,0614,1220,0.88,18.000,0.16
73,ALL THE FEELS,RUZUMNA/SCAGGS/KARNES/KING/WICKS/,AMAZON MUSICUNLIMITED,STREAM.M,U SA,USAT21903322,1012,0614,1220,0.88,18.000,0.16
74,ALL THE FEELS,RUZUMNA/SCAGGS/KARNES/KING/WICKS/,AMAZON MUSICUNLIMITED,STREAM.M,U SA,USAT21903322,1012,0614,1220,0.88,18.000,0.16
75,ALL THE FEELS,RUZUMNA/SCAGGS/KARNES/KING/WICKS/,AMAZON MUSICUNLIMITED,STREAM.M,U SA,USAT21903322,1012,0614,1220,0.88,18.000,0.16
