,Song Name,C,Territory,Usage,A,B,Units,Period - Start,Period - End,Price,Share,Amount
0,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,,0120,1220,0.26,18.000,0.05
1,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,13648,0121,0321,0.53,18.000,0.10
2,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,13648,0121,0321,0.53,18.000,0.10
3,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,13648,0121,0321,0.53,18.000,0.10
4,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,U SA,USAT21903744,13648,0121,0321,0.53,18.000,0.10
5,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,13648,0121,0321,0.53,18.000,0.10
6,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,7619,0121,0321,0.27,18.000,0.05
7,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,7619,0121,0321,0.27,18.000,0.05
8,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,7619,0121,0321,0.27,18.000,0.05
9,AIN'T NOBODY BUT ME,WICKS/KING/KARNES/RUZUMNA/SCAGGS/,"SPOTIFY USA,INC.",STREAM.M,USA,USAT21903744,7619,0121,0321,0.27,18.000,0.05
