Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Notes,Currency,Statement ID,Statement Line
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,5.44,100,85,318,85,4.62,,13140,0,11/2017,11/2017,USA,USA,,0,,USD,2176,549
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,7.85,100,85,318,85,6.67,,24334,0,11/2017,11/2017,USA,USA,,0,,USD,2176,545
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,2.53,100,85,318,85,2.15,,12385,0,11/2017,11/2017,USA,USA,,0,,USD,2176,547
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,15.56,100,85,318,85,13.23,,29087,0,10/2017,12/2017,USA,USA,,0,,USD,2175,362
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,0.1,100,85,318,85,0.09,,72,0,11/2017,11/2017,USA,USA,,0,,USD,2176,546
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,1.86,100,85,318,85,1.58,,4085,0,11/2017,11/2017,USA,USA,,0,,USD,2176,550
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,At The Door,12895,Murray/Gazzy Garcia/Unknown,Youtube,YOUT,Youtube Digital Video,73,50,0.18,100,85,318,85,0.15,,138,0,11/2017,11/2017,USA,USA,,0,,USD,2176,548
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,Back to the Crib,12398,Murray/VellTFG,Youtube,YOUT,Youtube Digital Video,73,25,0.01,100,85,318,85,0.01,,103,0,09/2017,09/2017,USA,USA,,0,,USD,2174,443
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,Benz Truck Pt 2,14466,Murray/Ahr,Youtube,YOUT,Youtube Digital Video,73,25,4.12,100,85,318,85,3.5,,2419,0,10/2017,12/2017,USA,USA,,0,,USD,2175,496
"The Administration MP, Inc.",WFLE,Brenden Murray,318,Brenden Murray,318,Benz Truck Pt 2,14466,Murray/Ahr,Youtube,YOUT,Youtube Digital Video,73,25,7.53,100,85,318,85,6.4,,97544,0,10/2017,12/2017,USA,USA,,0,,USD,2175,498
