Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Imported Production/Episode,Exploitation Source Name,ISRC,ISWC,Notes,Currency,Statement ID,Statement Line
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Benz Truck Pt. 2 (AMR),563227,,Youtube,YOUT,Music Rights - Youtube,76,0,556.16,100,75,5250,75,417.12,,851947,0,06/2018,06/2018,World,WORL,,0,,,QM33L1700590,,A722546416726149,USD,2702,232
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Benz Truck Pt. 2 (AMR),563227,,Youtube,YOUT,Music Rights - Youtube,76,0,231.41,100,75,5250,75,173.56,,505774,0,07/2018,07/2018,World,WORL,,0,,,QM33L1700590,,A722546416726149,USD,2703,189
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Benz Truck Pt. 2 (AMR),563227,,Youtube,YOUT,Music Rights - Youtube,76,0,320.16,100,75,5250,75,240.12,,427964,0,08/2018,08/2018,World,WORL,,0,,,QM33L1700590,,A722546416726149,USD,2704,182
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Got Yo Hoe (AMR),563158,,Youtube,YOUT,Music Rights - Youtube,76,0,1.78,100,75,5250,75,1.34,,2098,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501956,,A151320687010864,USD,2702,850
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Got Yo Hoe (AMR),563158,,Youtube,YOUT,Music Rights - Youtube,76,0,0.71,100,75,5250,75,0.53,,1670,0,07/2018,07/2018,World,WORL,,0,,,QM33L1501956,,A151320687010864,USD,2703,702
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Got Yo Hoe (AMR),563158,,Youtube,YOUT,Music Rights - Youtube,76,0,1.26,100,75,5250,75,0.95,,1424,0,08/2018,08/2018,World,WORL,,0,,,QM33L1501956,,A151320687010864,USD,2704,675
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Iceland (AMR) - BM,563159,,Youtube,YOUT,Music Rights - Youtube,76,0,2.53,100,75,5250,75,1.9,,266,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501959,,A256280603693781,USD,2702,1054
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Iceland (AMR) - BM,563159,,Youtube,YOUT,Music Rights - Youtube,76,0,0.05,100,75,5250,75,0.04,,5,0,07/2018,07/2018,World,WORL,,0,,,QM33L1501959,,A256280603693781,USD,2703,869
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Iceland (AMR) - BM,563159,,Youtube,YOUT,Music Rights - Youtube,76,0,0.11,100,75,5250,75,0.08,,7,0,08/2018,08/2018,World,WORL,,0,,,QM33L1501959,,A256280603693781,USD,2704,847
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Im the Man (AMR),562574,,Youtube,YOUT,Music Rights - Youtube,76,0,0.23,100,75,5250,75,0.17,,197,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501960,,A252091787532180,USD,2702,1064
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Im the Man (AMR),562574,,Youtube,YOUT,Music Rights - Youtube,76,0,0.1,100,75,5250,75,0.08,,144,0,07/2018,07/2018,World,WORL,,0,,,QM33L1501960,,A252091787532180,USD,2703,876
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Im the Man (AMR),562574,,Youtube,YOUT,Music Rights - Youtube,76,0,0.2,100,75,5250,75,0.15,,73,0,08/2018,08/2018,World,WORL,,0,,,QM33L1501960,,A252091787532180,USD,2704,853
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,In The Trap (AMR),563074,,Youtube,YOUT,Music Rights - Youtube,76,0,5.24,100,75,5250,75,3.93,,533,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501961,,A605626959154553,USD,2702,1085
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,In The Trap (AMR),563074,,Youtube,YOUT,Music Rights - Youtube,76,0,0.05,100,75,5250,75,0.04,,4,0,07/2018,07/2018,World,WORL,,0,,,QM33L1501961,,A605626959154553,USD,2703,893
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,In The Trap (AMR),563074,,Youtube,YOUT,Music Rights - Youtube,76,0,0.11,100,75,5250,75,0.08,,9,0,08/2018,08/2018,World,WORL,,0,,,QM33L1501961,,A605626959154553,USD,2704,868
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Know It (AMR),562962,,Youtube,YOUT,Music Rights - Youtube,76,0,0.03,100,75,5250,75,0.02,,3,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501963,,A226802210087495,USD,2702,1152
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Know It (AMR),562962,,Youtube,YOUT,Music Rights - Youtube,76,0,0.08,100,75,5250,75,0.06,,9,0,07/2018,07/2018,World,WORL,,0,,,QM33L1501963,,A226802210087495,USD,2703,945
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Know It (AMR),562962,,Youtube,YOUT,Music Rights - Youtube,76,0,0.08,100,75,5250,75,0.06,,6,0,08/2018,08/2018,World,WORL,,0,,,QM33L1501963,,A226802210087495,USD,2704,915
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Paranoid (AMR),562437,,Youtube,YOUT,Music Rights - Youtube,76,0,0.23,100,75,5250,75,0.17,,25,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501969,,A257907787130065,USD,2702,1550
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Points on the Board (AMR),563111,,Youtube,YOUT,Music Rights - Youtube,76,0,16.84,100,75,5250,75,12.63,,1832,0,06/2018,06/2018,World,WORL,,0,,,TCADC1778920,,A470036081682336,USD,2702,1618
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Points on the Board (AMR),563111,,Youtube,YOUT,Music Rights - Youtube,76,0,0.7,100,75,5250,75,0.53,,98,0,07/2018,07/2018,World,WORL,,0,,,TCADC1778920,,A470036081682336,USD,2703,1310
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Points on the Board (AMR),563111,,Youtube,YOUT,Music Rights - Youtube,76,0,0.21,100,75,5250,75,0.16,,15,0,08/2018,08/2018,World,WORL,,0,,,TCADC1778920,,A470036081682336,USD,2704,1271
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Pretty (AMR),562438,,Youtube,YOUT,Music Rights - Youtube,76,0,0.19,100,75,5250,75,0.14,,19,0,06/2018,06/2018,World,WORL,,0,,,QM33L1501971,,A302642783703766,USD,2702,1633
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Pretty (AMR),562438,,Youtube,YOUT,Music Rights - Youtube,76,0,0.03,100,75,5250,75,0.02,,4,0,07/2018,07/2018,World,WORL,,0,,,QM33L1501971,,A302642783703766,USD,2703,1323
Administration Music Rights,AMRI,Brenden Murray (AMR),5250,Brenden Murray (AMR),5250,Pretty (AMR),562438,,Youtube,YOUT,Music Rights - Youtube,76,0,0.04,100,75,5250,75,0.03,,3,0,08/2018,08/2018,World,WORL,,0,,,QM33L1501971,,A302642783703766,USD,2704,1286
