WRITERS,SOURCE,TERRITORY,REVENUE_TYPE,USAGE,SONG_ID,SONG_TITLE,NOTES,CONFIG,SELECTION,UNITS,BEG_PER,End_PER,AMOUNT_RECEIVED,SHARE,ROYALTY_AMT
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","BROADMECH","","PLACEINTHE","A PLACE IN THE COUNTRY","Irish - Commercial Records","","",164,"01/01/2017","10/31/2017",.718399,41.000000,.294544
"STEVE CLARK\FRED MACRAE\BOB MORRISON","NCB","SCANDINAVI","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","\\S. CLARK\USSM19903073","","193043995",2,"01/01/2009","01/31/2009",.013930,41.000000,.005711
"STEVE CLARK\FRED MACRAE\BOB MORRISON","NCB","SCANDINAVI","DPDFPERST","","PLACEINTHE","A PLACE IN THE COUNTRY","\\S. CLARK\USSM19903073","","q9I74j4A7s",6,"07/01/2011","09/30/2011",.001161,.000000,.000000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","NCB","SCANDINAVI","DPDFPERST","","PLACEINTHE","A PLACE IN THE COUNTRY","\\S. CLARK\USSM19903073","","193043995",2,"01/01/2009","01/31/2009",.003482,.000000,.000000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES","F","",2,"07/01/2017","09/30/2017",.022459,44.000000,.009882
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\One Woman Man","T","193043569",2,"07/01/2017","09/30/2017",.017411,44.000000,.007661
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AMCOS","AUSTRALIA","DPDDOWNLD","","PLACEINTHE","A PLACE IN THE COUNTRY","Itunes Store","","",1,"10/01/2017","12/31/2017",.007261,45.555000,.003308
"STEVE CLARK\FRED MACRAE\BOB MORRISON","HFA - CONS. DIG STREAM (SPOTIFY, NAPSTER, RHAPSODY, 7DIGITAL","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","RHAPSODY INTERNATION",67,"04/01/2017","06/30/2017",.010000,45.000000,.004500
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AMCOS","AUSTRALIA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","AMCOS Streaming Distribution Client","","",15,"07/01/2017","09/30/2017",.007050,45.555000,.003212
"STEVE CLARK\FRED MACRAE\BOB MORRISON","HFA - CONS. DIG STREAM (SPOTIFY, NAPSTER, RHAPSODY, 7DIGITAL","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","APPLE  INC",229,"10/01/2017","12/31/2017",.032300,45.000000,.014535
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",62,"07/01/2015","09/30/2015",.002053,44.000000,.000903
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",52,"10/01/2015","12/31/2015",.005509,44.000000,.002424
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","FORPERFORM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",0,"07/01/2017","09/30/2017",.000000,.000000,.000000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AUDIAM","DOMESTIC","SYNCH","","PLACEINTHE","A PLACE IN THE COUNTRY","YOUTUBE","","",1096,"11/01/2017","11/30/2017",.114878,45.000000,.051695
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AUDIAM","DOMESTIC","SYNCH","","PLACEINTHE","A PLACE IN THE COUNTRY","YOUTUBE / RED","","",28,"11/01/2017","11/30/2017",.014415,45.000000,.006487
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AUDIAM","DOMESTIC","SYNCH","","PLACEINTHE","A PLACE IN THE COUNTRY","YOUTUBE","","",813,"12/01/2017","12/31/2017",.121079,45.000000,.054486
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AUDIAM","DOMESTIC","SYNCH","","PLACEINTHE","A PLACE IN THE COUNTRY","YOUTUBE / RED","","",32,"12/01/2017","12/31/2017",.015269,45.000000,.006871
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",83,"01/01/2016","03/31/2016",.011483,44.000000,.005053
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",63,"04/01/2016","06/30/2016",.007689,44.000000,.003383
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",77,"07/01/2016","09/30/2016",.008954,44.000000,.003940
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",66,"10/01/2016","12/31/2016",.009966,44.000000,.004385
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",89,"01/01/2017","03/31/2017",.015033,44.000000,.006615
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",51,"04/01/2017","06/30/2017",.007909,44.000000,.003480
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","","193043569",46,"07/01/2017","09/30/2017",.006832,44.000000,.003006
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES\A Place In the Country","F","7fb621c78f7b54f97d76",33,"07/01/2017","09/30/2017",.002563,44.000000,.001128
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - CPCC (PRIVATE COPY)","CANADA","MECHANICAL","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",6,"01/01/2003","12/31/2009",.022439,44.000000,.009873
"STEVE CLARK\FRED MACRAE\BOB MORRISON","CMRRA - SPOTIFY CANADA","CANADA","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","GEORGE JONES","F","",52,"07/01/2017","09/30/2017",.003152,44.000000,.001387
"STEVE CLARK\FRED MACRAE\BOB MORRISON","SONY MUSIC ENTERTAINMENT, INC.","DOMESTIC","MECHANICAL","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",1,"10/01/2017","12/31/2017",-3.020000,45.000000,-1.359000
