Client Recipient,Client Code,Record Type,Payee Code,Song Title,Song Code,Source Name,Composers,Source Code, Income Type,Catalogue Number,Income Period,Distribution Number,Perc. Paid To Us,Fraction Numerator,Fraction Denominator,Amount,Units,Royalty Payable,Payout Perc.,Source Perc.,Original Perc. Received,Company Code,Sub Code,Royalty Note,Usage Year,Country Of Origin,Country Of Sale,Film Or Series Name,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Misc. Information,Price,Originating System,Incoming Perc. Received,Member Number,Member Name,Label Code Number,Label Broadcast Channel,Artist,Album Program Title,Episode Title,License Number,Secondary Title,ISAN Number,Exploit Source Code,Exploitation Source,Income Type Description,Domestic Foreign,ISRC Number,ISWC Number,UPC Barcode Number,EAN Barcode Number,Usage Type,Usage Count,Time Of Day,Duration Seconds,CAE IPI Number,Instrumental Or Vocal,Rights Owner,Owner Role
,42135,1,42135,OVER THE EDGE,1276594,CASABLANCA MEDIA PUBLISHING,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CASA,1,PC Airplay,11011712,0,6.25,0,0,0.01,12,0.01,83.333,75,5,CP,1,CMRRA CPCC (Private Copy Airplay)/CAN,,,,,20,154,CA,CANADA,,0,CH,6.25,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,CASABLANCA MEDIA PUBLISHING,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CASA,1,PC Airplay,11011712,0,6.25,0,0,0.01,12,0.01,83.333,75,5,CP,1,CMRRA CPCC (Private Copy Airplay)/CAN,,,,,20,154,CA,CANADA,,0,CH,6.25,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,CASABLANCA MEDIA PUBLISHING,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CASA,1,PC Airplay,11011712,0,12.5,0,0,0.01,12,0.01,83.333,75,5,CP,1,CMRRA CPCC (Private Copy Airplay)/CAN,,,,,20,154,CA,CANADA,,0,CH,12.5,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,IMAGEM GERMANY,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMGE,1,KONTOR 00074KON,17011706,0,45,0,0,2.46,975,1.03,41.667,37.5,100,CP,0,,,,,,20,206,GE,GERMANY,,0,GE,25,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,IMAGEM GERMANY,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMGE,1,KONTOR 00074KON,17011706,0,45,0,0,2.45,1950,1.02,41.667,37.5,100,CP,0,,,,,,20,206,GE,GERMANY,,0,GE,12.5,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,IMAGEM GERMANY,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMGE,1,KONTOR 00074KON,17071712,0,45,0,0,4.45,1765,1.85,41.667,37.5,100,CP,0,,,,,,20,206,GE,GERMANY,,0,GE,25,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,IMAGEM GERMANY,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMGE,1,KONTOR 00074KON,17071712,0,45,0,0,4.45,3530,1.85,41.667,37.5,100,CP,0,,,,,,20,206,GE,GERMANY,,0,GE,12.5,,,,,,,,,,,,,MECHANICALS,F,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,DIGITAL,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMPE,47,SPOTIFY,11190120,0,16.66,0,0,0.02,89,0.01,25,0,100,CP,0,SPOTIFY/FINLAND,,,,,19,1211,FINL,FINLAND (DIGITAL),,0,CH,16.66,,,,,,,,,,,,,PERF - STREAMING,D,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,DIGITAL,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMPE,47,SPOTIFY,11190120,0,16.66,0,0,0.02,65,0.01,25,0,100,CP,0,SPOTIFY/FINLAND,,,,,19,1211,FINL,FINLAND (DIGITAL),,0,CH,16.66,,,,,,,,,,,,,PERF - STREAMING,D,,,,,,,,,,,,
,42135,1,42135,OVER THE EDGE,1276594,DIGITAL,BORGER/FRAMPTON/ILLINGWORTH/WALKER,IMPE,47,SPOTIFY,11190120,0,16.66,0,0,0.02,89,0.01,25,0,100,CP,0,SPOTIFY/FINLAND,,,,,19,1211,FINL,FINLAND (DIGITAL),,0,CH,16.66,,,,,,,,,,,,,PERF - STREAMING,D,,,,,,,,,,,,
