Client Recipient,Client Code,Record Type,Payee Code,Song Title,Song Code,Source Name,Composers,Source Code, Income Type,Catalogue Number,Income Period,Distribution Number,Perc. Paid To Us,Fraction Numerator,Fraction Denominator,Amount,Units,Royalty Payable,Payout Perc.,Source Perc.,Original Perc. Received,Company Code,Sub Code,Royalty Note,Usage Year,Country Of Origin,Country Of Sale,Film Or Series Name,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Misc. Information,Price,Originating System,Incoming Perc. Received,Member Number,Member Name,Label Code Number,Label Broadcast Channel,Artist,Album Program Title,Episode Title,License Number,Secondary Title,ISAN Number,Exploit Source Code,Exploitation Source,Income Type Description,Domestic Foreign,ISRC Number,ISWC Number,UPC Barcode Number,EAN Barcode Number,Usage Type,Usage Count,Time Of Day,Duration Seconds,CAE IPI Number,Instrumental Or Vocal,Rights Owner,Owner Role
,42135,1,42135,OVER THE EDGE,1276594,BUMA / STEMRA,BORGER/FRAMPTON/ILLINGWORTH/WALKER,BUST,1,ARMA 431,17011706,0,25,0,0,0.03,10,0.01,37.5,0,100,CP,0,,2017,NL,US,,20,1349,NL,NETHERLANDS,,0,CH,25,,,,,,,,,,,,,MECHANICALS,D,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,CLIPPERS MUSIC SRL,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CLIP,1,KENDRICK JOHN B,20072010,0,6.25,0,0,0.04,1,0.02,41.667,37.5,97.5,CP,0,,,,,,20,1416,SP,SPAIN,,0,CH,6.25,,,,,,,,,,,,,MECHANICALS,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,CLIPPERS MUSIC SRL,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CLIP,1,KENDRICK JOHN B,20072010,0,6.25,0,0,0.04,1,0.02,41.667,37.5,97.5,CP,0,,,,,,20,1416,SP,SPAIN,,0,CH,6.25,,,,,,,,,,,,,MECHANICALS,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,CLIPPERS MUSIC SRL,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CLIP,1,KENDRICK JOHN B,20072010,0,12.5,0,0,0.08,1,0.03,41.667,37.5,97.5,CP,0,,,,,,20,1416,SP,SPAIN,,0,CH,12.5,,,,,,,,,,,,,MECHANICALS,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,CTM ENTERTAINMENT BELGIUM,BORGER/FRAMPTON/ILLINGWORTH/WALKER,CPMB,47,,10161216,0,45,0,0,0.02,0,0.01,27.778,25,100,CP,0,,,,,,20,1542,BE,BELGIUM,,0,CB,100,,,,,,,,,,,,,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,4,SACEM,20042006,0,8.33,0,0,0.1,0,0.03,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERFORMANCE,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,4,SACEM,20042006,0,8.33,0,0,0.1,0,0.03,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERFORMANCE,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,11,SACEM,20042006,0,12.5,0,0,0.07,0,0.03,39.474,37.5,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,12.5,,,,,,,,,,,,Sacem,MECH - PERFORMANCE,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,11,SACEM,20042006,0,12.5,0,0,0.07,0,0.03,39.474,37.5,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,12.5,,,,,,,,,,,,Sacem,MECH - PERFORMANCE,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.15,0,0.04,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.15,0,0.04,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.28,0,0.07,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.3,0,0.08,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.33,0,0.09,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.15,0,0.04,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.15,0,0.04,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
,42135,1,42135,OVER THE EDGE,1276594,EDITIONS BECAUSE,BORGER/FRAMPTON/ILLINGWORTH/WALKER,EDBE,47,SACEM,20042006,0,8.33,0,0,0.28,0,0.07,26.316,25,10,CP,0,Sacem/FRAN,,FRAN,FRAN,,20,1412,FR,FRANCE,,0,CH,8.33,,,,,,,,,,,,Sacem,PERF - STREAMING,F,,,,,,0,,0,,,,
