Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Imported Production/Episode,Exploitation Source Name,ISRC,ISWC,Notes,Currency,Statement ID,Statement Line
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Performance,02,0,0.19,50,90,580,90,0.09,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6799
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Streaming,26,0,2.02,50,90,580,90,0.91,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6800
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Streaming,26,0,0.49,50,90,580,90,0.22,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6801
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Streaming,26,0,0.02,50,90,580,90,0.01,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6802
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Streaming,26,0,0.49,50,90,580,90,0.22,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6803
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Streaming,26,0,1.55,50,90,580,90,0.7,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6804
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Performance,02,0,1.02,50,90,580,90,0.46,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6805
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Performance,02,0,0.1,50,90,580,90,0.05,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6806
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Performance,02,0,0.19,50,90,580,90,0.09,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6807
"PULSE PUBLISHING ADMINISTRATION, LLC",PPA,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,JONATHAN SLOAN A/K/A DONNIE SLOAN D/B/A,580,ALIVE ,66159,BACH/LITTLEMORE/MAYES/STEELE/SLOAN,Casablanca Media Publishing,CASA,Performance,02,0,0.07,50,90,580,90,0.03,SOCAN,0,0,10/2018,12/2018,CANADA,CANA,,0,,,,T0614180276,Jonathan Sloan,USD,9328,6808
