"Period","Period Description","STATEMENT FREQUENCY - 3/6","CLIENT CODE","Payee Code","SONG TITLE","SONG CODE","SCOMPNAM","SOURCE NAME","SOURCE OF INCOME CODE","INCOME TYPE : 01 - 25","PRODUCT / CATALOG NO","INCOME PERIOD - YYMM FROM &YYMM TO","DISTRIBUTION NO.","PERCENT RECEIVED BY SENDER OF MONEY","OUR SHARE - PERCENT RECEIVED BY US","FRACTION RCVD NUMERATOR","FRACTION RCVD DENOMINATOR","AMOUNT RECEIVED","UNITS SOLD","ROYALTY PAYABLE","PERCENTAGE PAYABLE","AT SOURCE RATE","COMPANY CODE","SUB CODE","ROY STMT NOTE NUMBER","Royalty Note","STAT ID, POS 1-2, YY","STAT ID, POS 3-7, 99999","ROYALTY COUNTRY CODE","SOURCE NAME" 
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",16  ,"SOCAN          ",19071909  ,0     ,10.000   ,12.750   ,0    ,0    ,.07              ,0        ,.04              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",16  ,"SOCAN          ",19101912  ,0     ,10.000   ,12.750   ,0    ,0    ,.34              ,0        ,.16              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",21  ,"APPLE COMPUTER ",20032003  ,0     ,10.000   ,.000     ,0    ,0    ,.10              ,6        ,.07              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",21  ,"APPLE COMPUTER ",20052005  ,0     ,10.000   ,.000     ,0    ,0    ,.08              ,5        ,.06              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"AMAZON DIGITAL ",20032003  ,0     ,10.000   ,.000     ,0    ,0    ,.01              ,24       ,.01              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"AMAZON DIGITAL ",20072009  ,0     ,10.000   ,.000     ,0    ,0    ,.01              ,19       ,.01              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"APPLE COMPUTER ",20032003  ,0     ,10.000   ,.000     ,0    ,0    ,1.14             ,5725     ,.81              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"APPLE COMPUTER ",20062006  ,0     ,10.000   ,.000     ,0    ,0    ,1.18             ,6020     ,.84              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"ASPIRO AB      ",16121612  ,0     ,10.000   ,.000     ,0    ,0    ,.02              ,43       ,.02              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"GOOGLE, INC    ",16121612  ,0     ,10.000   ,.000     ,0    ,0    ,.58              ,4233     ,.41              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
