Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Notes,Currency,Statement ID,Statement Line
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.11,100,90,14319,90,0.1,"Google, Inc",2,0,/,09/2014,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7240,8513
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.19,100,90,14319,90,0.17,"Google, Inc",4,0,/,09/2014,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7240,8514
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.08,100,90,14319,90,0.07,"Google, Inc",100,0,/,09/2014,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7240,8515
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.01,100,90,14319,90,0.01,"Google, Inc",18,0,/,09/2014,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7240,8516
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.71,100,90,14319,90,0.64,"Google, Inc",9,0,/,12/2015,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7228,11818
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.06,100,90,14319,90,0.05,"Google, Inc",1,0,/,12/2015,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7228,11819
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.82,100,90,14319,90,0.74,"Google, Inc",19,0,/,12/2015,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7228,11820
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.37,100,90,14319,90,0.33,"Google, Inc",493,0,/,12/2015,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7228,11821
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,0,0.11,100,90,14319,90,0.1,"Google, Inc",143,0,/,12/2015,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7228,11822
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,APPLE ,APP1,Mechanical,01,0,2.97,100,90,14319,90,2.67,Apple Computer Inc.,63,0,10/2016,12/2016,Canada,CAN,,0,JETT PACK MUSIC INC,CAD,7229,7176
