Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Imported Production/Episode,Exploitation Source Name,ISRC,ISWC,Notes,Currency,Statement ID,Statement Line
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SOCAN,SOCA,Performance - Satellite Radio,09,50,5.82,100,90,14319,90,5.24,,0,0,04-2018,06-2018,Canada,CAN,,0,,,,T7000267927,JETT PACK MUS INC,CAD,8315,31065
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SOCAN,SOCA,Performance - Digital Internet,17,50,0.23,100,90,14319,90,0.21,,0,0,04-2018,06-2018,Canada,CAN,,0,,,,T7000267927,JETT PACK MUS INC,CAD,8315,31066
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.18,100,90,14319,90,0.16,Blackheart Records,221,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19307
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.26,100,90,14319,90,0.23,Blackheart Records,312,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19308
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.01,100,90,14319,90,0.01,Blackheart Records,24,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19309
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.02,100,90,14319,90,0.02,Blackheart Records,33,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19310
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.02,100,90,14319,90,0.02,Blackheart Records,61,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19311
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.02,100,90,14319,90,0.02,Blackheart Records,85,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19312
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.52,100,90,14319,90,0.47,Blackheart Records,357,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19313
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,100,0.42,100,90,14319,90,0.38,Blackheart Records,289,0,12-2018,12-2018,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,8362,19314
