Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Imported Production/Episode,Exploitation Source Name,ISRC,ISWC,Notes,Currency,Statement ID,Statement Line
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,YouTube,YOUT,Mechanical - Streaming Video,23,0,0.07,100,90,14319,90,0.06,YouTube,1071,0,12-2019,12-2019,Canada,CAN,,0,,YouTube,,T7000267927,JETT PACK MUSIC INC,CAD,9054,4160
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,YouTube Market Share,YTMS,Mechanical - Streaming Video,23,0,0.31,100,90,14319,90,0.28,YTMS,1,0,03-2020,03-2020,Canada,CAN,,0,,YTMS,,T7000267927,JETT PACK MUSIC INC,CAD,9054,15912
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Subscriber),25,0,0.74,100,90,14319,90,0.67,Spotify AB,991,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9056,3459
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Subscriber),25,0,0.01,100,90,14319,90,0.01,Spotify AB,33,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9056,3460
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Subscriber),25,0,0.34,100,90,14319,90,0.31,Spotify AB,826,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9056,3461
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Subscriber),25,0,0.01,100,90,14319,90,0.01,Spotify AB,10,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9056,3463
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Subscriber),25,0,0.13,100,90,14319,90,0.12,Spotify AB,176,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9056,3464
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Subscriber),25,0,0.08,100,90,14319,90,0.07,Spotify AB,202,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9056,3465
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Ad-supported),26,0,0.08,100,90,14319,90,0.07,Spotify AB,368,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9057,13547
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,SPOTIFY,SPOT,Mechanical - Streaming Audio (Ad-supported),26,0,0.01,100,90,14319,90,0.01,Spotify AB,53,0,12-2019,12-2019,Canada,CAN,,0,,Spotify AB,,T7000267927,JETT PACK MUSIC INC,CAD,9057,13548
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,"Google, Inc.",GOOG,Mechanical - Streaming Audio,22,0,0.39,100,90,14319,90,0.35,"Google, Inc",6,0,12-2019,12-2019,Canada,CAN,,0,,"Google, Inc",,T7000267927,JETT PACK MUSIC INC,CAD,9058,15292
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,"Google, Inc.",GOOG,Mechanical - Streaming Audio,22,0,0.12,100,90,14319,90,0.11,"Google, Inc",1,0,12-2019,12-2019,Canada,CAN,,0,,"Google, Inc",,T7000267927,JETT PACK MUSIC INC,CAD,9058,15293
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,"Google, Inc.",GOOG,Mechanical - Streaming Audio,22,0,0.71,100,90,14319,90,0.64,"Google, Inc",1027,0,12-2019,12-2019,Canada,CAN,,0,,"Google, Inc",,T7000267927,JETT PACK MUSIC INC,CAD,9058,15294
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,"Google, Inc.",GOOG,Mechanical - Streaming Audio,22,0,0.12,100,90,14319,90,0.11,"Google, Inc",171,0,12-2019,12-2019,Canada,CAN,,0,,"Google, Inc",,T7000267927,JETT PACK MUSIC INC,CAD,9058,15295
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,0,0.02,100,90,14319,90,0.02,Apple Computers Inc.,82,0,12-2019,12-2019,Canada,CAN,,0,,Apple Computers Inc.,,T7000267927,JETT PACK MUSIC INC,CAD,9062,63429
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Jett/Laguna,APPLE ,APP1,Mechanical - Streaming Audio (Subscriber),25,0,0.04,100,90,14319,90,0.04,Apple Computers Inc.,67,0,12-2019,12-2019,Canada,CAN,,0,,Apple Computers Inc.,,T7000267927,JETT PACK MUSIC INC,CAD,9062,63430
