Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Imported Production/Episode,Exploitation Source Name,ISRC,ISWC,Notes,Currency,Statement ID,Statement Line
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,100,0.12,100,90,14319,90,0.11,Blackheart Records,2,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7829,30830
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,100,0.24,100,90,14319,90,0.22,Blackheart Records,5,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7829,30832
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,"Google, Inc.",GOOG,Mechanical,01,100,0.3,100,90,14319,90,0.27,Blackheart Records,5,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7829,30831
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,SOCAN,SOCA,Digital Internet,17,50,0.55,100,90,14319,90,0.5,,0,0,04/2017,06/2017,Canada,CAN,,0,,,,T7000267927,JETT PACK MUS INC,CAD,7784,25412
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.03,100,90,14319,90,0.03,Blackheart Records,1,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32776
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.03,100,90,14319,90,0.03,Blackheart Records,1,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32777
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.04,100,90,14319,90,0.04,Blackheart Records,1,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32765
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.05,100,90,14319,90,0.05,Blackheart Records,1,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32775
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.09,100,90,14319,90,0.08,Blackheart Records,3,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32778
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.12,100,90,14319,90,0.11,Blackheart Records,3,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32764
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.19,100,90,14319,90,0.17,Blackheart Records,2,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32766
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.19,100,90,14319,90,0.17,Blackheart Records,2,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32783
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.48,100,90,14319,90,0.43,Blackheart Records,12,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32767
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.58,100,90,14319,90,0.52,Blackheart Records,14,0,/,10/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32782
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.04,100,90,14319,90,0.04,Blackheart Records,1,0,/,11/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32768
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.06,100,90,14319,90,0.05,Blackheart Records,2,0,/,11/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32779
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.4,100,90,14319,90,0.36,Blackheart Records,10,0,/,11/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32769
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.66,100,90,14319,90,0.59,Blackheart Records,16,0,/,11/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32784
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.03,100,90,14319,90,0.03,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32772
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.03,100,90,14319,90,0.03,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32780
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.04,100,90,14319,90,0.04,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32770
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.04,100,90,14319,90,0.04,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32771
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.04,100,90,14319,90,0.04,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32785
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.04,100,90,14319,90,0.04,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32786
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.1,100,90,14319,90,0.09,Blackheart Records,1,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32774
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.33,100,90,14319,90,0.3,Blackheart Records,11,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32781
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.48,100,90,14319,90,0.43,Blackheart Records,12,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32773
Red Brick Music Publishing,REDB,"Jett Pack Music, Inc.",14319,"Jett Pack Music, Inc.",14319,(I'm Gonna) Run Away,789535,Laguna/Jett,CMRRA Online Usage,WWW,Mechanical,01,100,0.7,100,90,14319,90,0.63,Blackheart Records,17,0,/,12/2017,Canada,CAN,,0,,Blackheart Records,USBH18100119,T7000267927,JETT PACK MUSIC INC,CAD,7825,32787
