SESAC QUARTERLY Royalty Statement: 2017/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliate Name: JACOB SOOTER MUSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliate No: 488427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Period: January 2017 - March 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distribution Date: June 30, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Qtr,Song #,Song Title,%Shares,Production Title,Episode Title,Episode Number,Perf/Air Date,Network,Establishment/Source,Album Title,Artist,Payment Type,Chart,Position,Pay #,Synd,Strip,End Air Dt,Medium,Coverage,Pay Code,Day Part,Perf Category,Perf Type,Perf Duration,Performance,Occur,Society Abbrv,Society Country,Earnings
2017,1,689544125,COME ALIVE,0.0625,,,,,,MEDIANET,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2275,,SESAC,USA,7.5
2017,1,689544125,COME ALIVE,0.0625,,,,,,RHAPSODY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2300,,SESAC,USA,0.03
2017,1,689544125,COME ALIVE,0.0625,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,191872,,SESAC,USA,0.75
2017,1,689544125,COME ALIVE,0.0625,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,191872,,SESAC,USA,0.11
2017,1,689544125,COME ALIVE,0.0625,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,191872,,SESAC,USA,0.07
2017,1,689544125,COME ALIVE,0.0625,,,,,,VEVO,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,100341,,SESAC,USA,0.02
2017,1,689544125,COME ALIVE,0.0625,,,,,,YOUTUBE,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,100341,,SESAC,USA,0.35
2017,1,689544125,COME ALIVE,0.0625,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,191872,,SESAC,USA,0.1
2017,1,689544125,COME ALIVE,0.0625,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,191872,,SESAC,USA,0.03
2017,1,689544125,COME ALIVE,0.0625,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,34,,SESAC,USA,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F=Feature,J=Jingle,P=Promo,OT=Opening Theme,,CT=Closing Theme,,ST=Segment Theme,,L=Logo,BG=Background,,,,,,,,,,,,,,,,,,,,,
+=Public Domain,,-=Local PBS,,Jingle Pay Code=Number of Months,,,,*=Non-Durational/Full Weight,,,,,,,,,,,,,,,,,,,,,,,
