SESAC QUARTERLY Royalty Statement: 2019/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliate Name: JACOB SOOTER MUSIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliate No: 488427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Period: April 2019 - June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distribution Date: September 30, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Qtr,Song #,Song Title,%Shares,Production Title,Episode Title,Episode Number,Perf/Air Date,Network,Establishment/Source,Album Title,Artist,Payment Type,Chart,Position,Pay #,Synd,Strip,End Air Dt,Medium,Coverage,Pay Code,Day Part,Perf Category,Perf Type,Perf Duration,Performance,Occur,Society Abbrv,Society Country,Earnings
2019,2,58450946,JEALOUS FOR MY HEART,0.1666,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2201,,SESAC,USA,0.02
2019,2,689544125,COME ALIVE,0.0625,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,74297,,SESAC,USA,0.00928
2019,2,689544125,COME ALIVE,0.0625,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,74297,,SESAC,USA,0.26
2019,2,689544125,COME ALIVE,0.0625,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,250,,SESAC,USA,0.00136
2019,2,692286570,ALWAYS ONLY YOU,0.0417,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,3512,,SESAC,USA,0.01
2019,2,690674727,GREATER THINGS,0.0416,,,,,,VEVO,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,71118,,SESAC,USA,0.00612
2019,2,58567699,BE CROWNED,0.0312,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,266,,SESAC,USA,0.00072
2019,2,58567699,BE CROWNED,0.0312,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,87292,,SESAC,USA,0.2
2019,2,690354861,HEAVEN IS HERE,0.0416,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,41005,,SESAC,USA,0.12
2019,2,691721965,OPEN OVER US,0.0417,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,28,,SESAC,USA,0.0002
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,962,,SESAC,USA,0.00352
2019,2,690627731,HARK! THE HERALD ANGELS SING,0.0625,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,110,,SESAC,USA,0.00048
2019,2,690354902,NEVER STOP,0.0416,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,136200,,SESAC,USA,0.05
2019,2,690674727,GREATER THINGS,0.0416,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2713610,,SESAC,USA,6.49
2019,2,690674727,GREATER THINGS,0.0416,,,,,,YOUTUBE,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,71118,,SESAC,USA,0.07
2019,2,690674727,GREATER THINGS,0.0416,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1412346,,SESAC,USA,4.23
2019,2,58567699,BE CROWNED,0.0312,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,87292,,SESAC,USA,0.02
2019,2,694891953,LIKE NO OTHER,0.0417,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,37888,,SESAC,USA,0.01
2019,2,694891953,LIKE NO OTHER,0.0417,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,37888,,SESAC,USA,0.11
2019,2,58567699,BE CROWNED,0.0312,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,87292,,SESAC,USA,0.04
2019,2,690674727,GREATER THINGS,0.0416,,,,,,Live Performance,,MACK BROCK, , ,0,0, ,,,General, ,0,,GENERAL/LIVE,,,,,SESAC,USA,5.25
2019,2,694891953,LIKE NO OTHER,0.0417,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,37888,,SESAC,USA,0.02
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,65532,,SESAC,USA,0.15
2019,2,690627733,IT CAME UPON A MIDNIGHT CLEAR (HOLY,0.0625,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1843,,SESAC,USA,0.00662
2019,2,690627733,IT CAME UPON A MIDNIGHT CLEAR (HOLY,0.0625,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1843,,SESAC,USA,0.00204
2019,2,690627733,IT CAME UPON A MIDNIGHT CLEAR (HOLY,0.0625,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1843,,SESAC,USA,0.00855
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,15232,,SESAC,USA,0.05
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,85,,SESAC,USA,0.00048
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,65532,,SESAC,USA,0.03
2019,2,58567699,BE CROWNED,0.0312,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,14,,SESAC,USA,0.00008
2019,2,694159378,I JUST REALLY LOVE YOU,0.0313,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2070,,SESAC,USA,0.00468
2019,2,694891953,LIKE NO OTHER,0.0417,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,495,,SESAC,USA,0.00148
2019,2,57247765,CRAZY LOVE,0.0417,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,108949,,SESAC,USA,0.32
2019,2,694891953,LIKE NO OTHER,0.0417,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,143,,SESAC,USA,0.00052
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,15232,,SESAC,USA,0.00892
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,65532,,SESAC,USA,0.11
2019,2,691721965,OPEN OVER US,0.0417,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,256489,,SESAC,USA,0.1
2019,2,690674727,GREATER THINGS,0.0416,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2713610,,SESAC,USA,1.97
2019,2,690674727,GREATER THINGS,0.0416,,,,,,CCS,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,9874,,SESAC,USA,7.04
2019,2,58567699,BE CROWNED,0.0312,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,87292,,SESAC,USA,0.15
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,15232,,SESAC,USA,0.00192
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,3849,,SESAC,USA,0.01
2019,2,691721965,OPEN OVER US,0.0417,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,256489,,SESAC,USA,0.18
2019,2,694891953,LIKE NO OTHER,0.0417,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,37888,,SESAC,USA,0.09
2019,2,58567699,BE CROWNED,0.0312,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,87292,,SESAC,USA,0.00544
2019,2,690627733,IT CAME UPON A MIDNIGHT CLEAR (HOLY,0.0625,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,9,,SESAC,USA,0.00004
2019,2,693676292,LEAVE IT ALL,0.0417,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2634,,SESAC,USA,0.00792
2019,2,690627733,IT CAME UPON A MIDNIGHT CLEAR (HOLY,0.0625,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1843,,SESAC,USA,0.00108
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,186,,SESAC,USA,0.00052
2019,2,690354902,NEVER STOP,0.0416,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,136200,,SESAC,USA,0.09
2019,2,690627733,IT CAME UPON A MIDNIGHT CLEAR (HOLY,0.0625,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1843,,SESAC,USA,0.00024
2019,2,692286585,WORTH IT ALL,0.0416,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,71542,,SESAC,USA,0.21
2019,2,693697807,FAITH AND WONDER,0.03,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,667,,SESAC,USA,0.00176
2019,2,690674727,GREATER THINGS,0.0416,,,,,BDS,,,MACK BROCK, , ,0,0, ,,,General, ,0,,MONITORED RADIO,,,3974,,SESAC,USA,67.78
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,22,,SESAC,USA,0.00012
2019,2,693697807,FAITH AND WONDER,0.03,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,490337,,SESAC,USA,1.09
2019,2,693697807,FAITH AND WONDER,0.03,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,490337,,SESAC,USA,0.25
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,65532,,SESAC,USA,0.01
2019,2,690354902,NEVER STOP,0.0416,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,54830,,SESAC,USA,0.16
2019,2,690627729,GLORY IN THE HIGHEST,0.0625,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,409,,SESAC,USA,0.00184
2019,2,690354902,NEVER STOP,0.0416,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,136200,,SESAC,USA,0.32
2019,2,690354902,NEVER STOP,0.0416,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,319,,SESAC,USA,0.00116
2019,2,689544125,COME ALIVE,0.0625,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,74297,,SESAC,USA,0.08
2019,2,689544125,COME ALIVE,0.0625,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,66,,SESAC,USA,0.00068
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,15232,,SESAC,USA,0.01
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,MUZ,,, , ,0,0, ,,,General, ,0,,BACKGROUND MUSIC SERVICES,,,4,,SESAC,USA,0.02
2019,2,694159384,GLORIFY,0.0417,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,135,,SESAC,USA,0.0004
2019,2,690272138,COME THOU LONG EXPECTED JESUS,0.0625,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,15232,,SESAC,USA,0.07
2019,2,689544125,COME ALIVE,0.0625,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,74297,,SESAC,USA,0.34
2019,2,691721965,OPEN OVER US,0.0417,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,164764,,SESAC,USA,0.49
2019,2,690354861,HEAVEN IS HERE,0.0416,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,113,,SESAC,USA,0.0004
2019,2,693697807,FAITH AND WONDER,0.03,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,490337,,SESAC,USA,0.13
2019,2,691721965,OPEN OVER US,0.0417,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,256489,,SESAC,USA,0.02
2019,2,690354861,HEAVEN IS HERE,0.0416,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,41005,,SESAC,USA,0.01
2019,2,691721965,OPEN OVER US,0.0417,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,447,,SESAC,USA,0.00164
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,260306,,SESAC,USA,0.02
2019,2,689544125,COME ALIVE,0.0625,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,11914,,SESAC,USA,0.05
2019,2,690354861,HEAVEN IS HERE,0.0416,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,14,,SESAC,USA,0.00008
2019,2,693676294,YOU COME RUNNING,0.0625,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1970,,SESAC,USA,0.00888
2019,2,690354902,NEVER STOP,0.0416,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,30,,SESAC,USA,0.0002
2019,2,689544125,COME ALIVE,0.0625,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,74297,,SESAC,USA,0.04
2019,2,690354902,NEVER STOP,0.0416,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,136200,,SESAC,USA,0.01
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,120,,SESAC,USA,0.00084
2019,2,691721965,OPEN OVER US,0.0417,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,256489,,SESAC,USA,0.61
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,GOOGLE PLAY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,260306,,SESAC,USA,0.19
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,260306,,SESAC,USA,0.8
2019,2,691721965,OPEN OVER US,0.0417,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,256489,,SESAC,USA,0.79
2019,2,690354861,HEAVEN IS HERE,0.0416,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,41005,,SESAC,USA,0.09
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,260306,,SESAC,USA,0.62
2019,2,690760504,YOU ARE STILL HERE,0.0417,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,260306,,SESAC,USA,0.1
2019,2,690354902,NEVER STOP,0.0416,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,136200,,SESAC,USA,0.42
2019,2,693697807,FAITH AND WONDER,0.03,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,490337,,SESAC,USA,0.84
2019,2,693697807,FAITH AND WONDER,0.03,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,490337,,SESAC,USA,0.02
2019,2,690354943,HOW BEAUTIFUL YOUR GRACE,0.0312,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,65532,,SESAC,USA,0.00408
2019,2,690674727,GREATER THINGS,0.0416,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2713610,,SESAC,USA,0.22
2019,2,690674727,GREATER THINGS,0.0416,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,2713610,,SESAC,USA,1.05
