SESAC QUARTERLY Royalty Statement: 2020/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliate Name: JACOB LEE SOOTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliate No: 483800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Period: April 2020 - June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distribution Date: September 30, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Qtr,Song #,Song Title,%Shares,Production Title,Episode Title,Episode Number,Perf/Air Date,Network,Establishment/Source,Album Title,Artist,Payment Type,Chart,Position,Pay #,Synd,Strip,End Air Dt,Medium,Coverage,Pay Code,Day Part,Perf Category,Perf Type,Perf Duration,Performance,Occur,Society Abbrv,Society Country,Earnings
2020,2,688468291,THANK YOU FOR EVERYTHING,0.1667,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,23,,SESAC,USA,0.000435
2020,2,688468291,THANK YOU FOR EVERYTHING,0.1667,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,16012,,SESAC,USA,0.51
2020,2,688468291,THANK YOU FOR EVERYTHING,0.1667,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,26687,,SESAC,USA,0.02
2020,2,688468291,THANK YOU FOR EVERYTHING,0.1667,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,26687,,SESAC,USA,0.34
2020,2,54602076,I WILL FOLLOW,1,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,110909,,SESAC,USA,7.98
2020,2,54602076,I WILL FOLLOW,1,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,110909,,SESAC,USA,0.15
2020,2,688468291,THANK YOU FOR EVERYTHING,0.1667,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,149,,SESAC,USA,0.00147
2020,2,689645114,RISE,0.1666,,,,,,TIDAL,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,45839,,SESAC,USA,0.01
2020,2,689645114,RISE,0.1666,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,11849,,SESAC,USA,0.37
2020,2,689645114,RISE,0.1666,,,,,,AMAZON PRIME,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,45839,,SESAC,USA,0.04
2020,2,689645114,RISE,0.1666,,,,,,SPOTIFY,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,45839,,SESAC,USA,0.54
2020,2,689645114,RISE,0.1666,,,,,,ONLINE AU-FACEBOOK [ANALOGOUS],,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.00583525
2020,2,689645114,RISE,0.1666,,,,,,ONLINE AU-YTUBE MU [DISAG][PTS,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.01750574
2020,2,689645114,RISE,0.1666,,,,,,STREAMING NZ-SPOTIFY [DISAGGRE,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.19558339
2020,2,689645114,RISE,0.1666,,,,,,APPLE MUSIC  BEATS,,, , ,0,0, ,,,Streaming On-Demand, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,0.21086828
2020,2,689645114,RISE,0.1666,,,,,,GOOGLEPLAY,,, , ,0,0, ,,,Streaming On-Demand, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,0.03965045
2020,2,689645114,RISE,0.1666,,,,,,STREAMING AU-APPLE MUSIC [DISA,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.0875287
2020,2,689645114,RISE,0.1666,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,6,,SESAC,USA,0.000109
2020,2,689645114,RISE,0.1666,,,,,,APPLE MUSIC,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,45839,,SESAC,USA,0.59
2020,2,689645114,RISE,0.1666,,,,,,PLAYNETWORK,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1,,SESAC,USA,0.000435
2020,2,689645114,RISE,0.1666,,,,,,NAPSTER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,105,,SESAC,USA,0.00103
2020,2,689645114,RISE,0.1666,,,,,,SPOTIFY,,, , ,0,0, ,,,Streaming On-Demand, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,0.16761325
2020,2,689645090,GLIMPSE (INTO ETERNITY),0.1667,,,,,,INTERNET RADIO,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,28,,SESAC,USA,0.00101
2020,2,689645090,GLIMPSE (INTO ETERNITY),0.1667,,,,,,CCS,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1,,SESAC,USA,0.00272
2020,2,689645090,GLIMPSE (INTO ETERNITY),0.1667,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,65667,,SESAC,USA,2.1
2020,2,696536885,CENTER STAGE,0.05,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,35758,,SESAC,USA,0.34
2020,2,694045759,"IT CAME TO PASS (WORTHY, WORTHY)",0.1667,,,,,,STREAMING AU-SPOTIFY [DISAGGRE,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.36773086
2020,2,694045759,"IT CAME TO PASS (WORTHY, WORTHY)",0.1667,,,,,,STREAMING NZ-SPOTIFY [DISAGGRE,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.19564208
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,PLATAFORMAS DIG,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,SAYCO,COLOMBIA,0.00003149
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,8,,SESAC,USA,0.000408
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,Spotify,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,PRS,UNITED KINGDOM,0.01179828
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,GOOGLE INC,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,SAYCO,COLOMBIA,0.00005512
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,CJCAAM,,, , ,0,0, ,,,Radio, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,1.20980054
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,AUST DOWNLOAD (AMCOS TRANSFER),,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.01751099
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,Spotify,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,PRS,UNITED KINGDOM,0.08174166
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,PLATAFORMAS DIG,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,SAYCO,COLOMBIA,0.00748781
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,Spotify,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,PRS,UNITED KINGDOM,0.02335476
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,Spotify,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,PRS,UNITED KINGDOM,0.03539483
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,PLATAFORMAS DIG,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,SAYCO,COLOMBIA,0.00034939
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,APPLE MUSIC  BEATS,,, , ,0,0, ,,,Streaming On-Demand, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,0.03840637
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,SPOTIFY,,, , ,0,0, ,,,Streaming On-Demand, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,0.01280212
2020,2,767846,LIGHT SHINE IN,0.25,,,,,,UK Churches,,, , ,0,0, ,,,Live Performances, ,0,,INTERNATIONAL,F,,,,PRS,UNITED KINGDOM,0.14256
2020,2,692286574,CRAZY LOVE,0.1667,,,,,,PANDORA,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,59149,,SESAC,USA,1.89
2020,2,692286574,CRAZY LOVE,0.1667,,,,,,SLACKER,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,1,,SESAC,USA,0.0000272
2020,2,689645116,THRONE ROOM,0.125,,,,,,STREAMING AU-GOOGLE PLAY [DISA,,, , ,0,0, ,,,Download Musical Works, ,0,,INTERNATIONAL,F,,,,APRA,AUSTRALIA,0.08171797
2020,2,689645116,THRONE ROOM,0.125,,,,,,SOUNDCLOUD,,, , ,0,0, ,,,Streaming On-Demand, ,0,,INTERNATIONAL,F,,,,SOCAN,CANADA,0.00742238
2020,2,689645116,THRONE ROOM,0.125,,,,,,MUZ,,, , ,0,0, ,,,General, ,0,,BACKGROUND MUSIC SERVICES,,,64,,SESAC,USA,0.89
2020,2,689645116,THRONE ROOM,0.125,,,,,,DMX,,, , ,0,0, ,,,General, ,0,,BACKGROUND MUSIC SERVICES,,,66,,SESAC,USA,0.88
2020,2,689645116,THRONE ROOM,0.125,,,,,,MUS,,, , ,0,0, ,,,General, ,0,,BACKGROUND MUSIC SERVICES,,,146,,SESAC,USA,0.37
2020,2,689645116,THRONE ROOM,0.125,,,,,,INTERNET RADIO,,, , ,0,0, ,,,General, ,0,,DIGITAL MEDIA,,,14478,,SESAC,USA,0.39
2020,2,689645116,THRONE ROOM,0.125,,,,,BDS,,,KIM WALKER-SMITH, , ,0,0, ,,,General, ,0,,MONITORED RADIO,,,229,,SESAC,USA,5.03
