Company Name,Company Code,Payee Name,Payee Code,Client Name,Client Code,Song Title,Song Code,Composer(s),Source Name,Source Code,Income Type Description,Income Type,Percent Received,Amount Received,Share,Contractual Rate,Contractual Code,Effective Rate,Amount Earned,Catalogue Number,Units,Price,Date Period (From),Date Period (To),Territory Name,Territory Code,Production/Episode,Production/Episode Code,Imported Production/Episode,Exploitation Source Name,ISRC,ISWC,Notes,Currency,Statement ID,Statement Line
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,TRACTOR FACTOR MUSIC (ROW),1868,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Mechanical rights,01,16.67,0.06,100,25,1868,25,0.02,,2700,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,882
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Mechanical rights,01,16.67,0.06,100,50,2709,50,0.03,,2700,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,882
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Streaming Mech,69,16.67,0.33,100,50,2709,50,0.17,,883,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1011
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,TRACTOR FACTOR MUSIC (ROW),1868,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Streaming Mech,69,16.67,0.33,100,25,1868,25,0.08,,883,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1011
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Streaming Mech,69,16.67,0.01,100,50,2709,50,0.01,,1899,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1012
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,TRACTOR FACTOR MUSIC (ROW),1868,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Streaming Mech,69,16.67,0.05,100,25,1868,25,0.01,,2700,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1013
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Streaming Mech,69,16.67,0.05,100,50,2709,50,0.03,,2700,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1013
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.01,100,50,2709,50,0.01,,1,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1132
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,TRACTOR FACTOR MUSIC (ROW),1868,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.04,100,25,1868,25,0.01,,4,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1133
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.04,100,50,2709,50,0.02,,4,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1133
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.06,100,50,2709,50,0.03,,2,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1134
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,TRACTOR FACTOR MUSIC (ROW),1868,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.06,100,25,1868,25,0.02,,2,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1134
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,TRACTOR FACTOR MUSIC (ROW),1868,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.35,100,25,1868,25,0.09,,30,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1135
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.35,100,50,2709,50,0.18,,30,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1135
Spirit One Nashville,SPI1,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,JIM COLLINS (TRACTOR FACTOR MUSIC CATALOG) (ROW),2709,"AMERICAN PRAYER, AN",83727,Jim Collins/Marv Green/Wendell Mobley,KOBALT MUSIC,KOBA,Download Mechanical,16,16.67,0.12,100,50,2709,50,0.06,,10,0,10/2018,12/2018,Australia,AUS3,,0,,,,,AMCOS Q3 2018 - CMS Australia,USD,2971,1137
