Asset Title,Asset Version,Asset Artist,Asset ISRC,Asset Duration,Product Title,Product Version,Product Artist,Product UPC,Product Catalog Number,Product Label,Currency,Sale Net Receipts,Reported Royalty
Day One,,Mori Briscoe,QZ85M2045249,151,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,3.9041102765987840984,3.5136992490113316192
In Loving Memory,,Mori Briscoe,QZ85M2045250,116,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,8.408869401765845442,7.56798246164961584
Fallen Soldiers,,Mori Briscoe,QZ85M2045251,127,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,6.798493247936126832,6.1186439231425141488
Party,,Mori Briscoe featuring Milo Floxks,QZ85M2045252,208,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,4.9984020902572377284,4.4985618813642948284
Voice Of The Trenches,,Mori Briscoe featuring Brozayy,QZ85M2045253,184,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,3.4879642918611476732,3.1391678627112458712
No Remorse,,Mori Briscoe featuring Ktone,QZ85M2045254,234,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,6.2238715197236230012,5.6014843679081835508
Critical Pt. 2,,Mori Briscoe featuring GlizzyGlo,QZ85M2045255,181,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,8.6948841048935460256,7.8253956944040994568
Suburban Pt. 2,,Mori Briscoe featuring Yazier Belime,QZ85M2045256,177,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,14.2069172246942396364,12.7862255022568866612
Love Don't Live Here,,Mori Briscoe,QZ85M2047964,126,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,19.3064277711167288044,17.3757849940371269124
Spin,,Mori Briscoe featuring Yazier Belime,QZ85M2047965,211,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,5.1199699444016292488,4.6079729500256083008
Remember,,Mori Briscoe,QZ85M2047966,164,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,2.2075393222042223892,1.9867853900200131156
Real Sh*t,,Mori Briscoe,QZ85M2047967,151,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,1.5348049535995603892,1.3813244582758173156
Just A Message Pt. 2,,Mori Briscoe,QZ85M2047968,64,Money Motivated,,Mori Briscoe,195188050708,195188050708,BlixkyGangEnt.,USD,2.9321494182477988788,2.63893447650751591
