royalty_period,tango_work_code,source_work_id,composer,source_income_type,statement_id,deal_scope_id,distribution_start,distribution_end,income_provider_name,exploitation_territory_name,exploitation_source,product_description,units,amount_received,rate_percentage,amount_paid,processing_territory_name,source_territory_name,deal_scope_name,tango_income_type_name,tango_work_title,creator_names
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY,SMECH,1205,ad5139af-4313-4345-efac-0fd1c7919ed8,201701,201706,BUM/STE,,,WAMPS income from previous periods,0,0.7,75,0.525,Netherlands,Netherlands,17186 John James Borger,Mechanical,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY,SMECH,1205,ad5139af-4313-4345-efac-0fd1c7919ed8,201701,201706,BUM/STE,,,WAMPS income from previous periods,0,2.3775,75,1.783125,Netherlands,Netherlands,17186 John James Borger,Mechanical Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY,SPERF,1205,ad5139af-4313-4345-efac-0fd1c7919ed8,201701,201706,BUM/STE,,,WAMPS income from previous periods,0,4.3625,50,2.18125,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SMECH,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,XOXO,159648,0.2125,75,0.159375,Netherlands,Netherlands,17186 John James Borger,Mechanical,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SPERF,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,,3,0.255,50,0.1275,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SPERF,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,,1,0.185,50,0.0925,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SPERF,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,,182,3.7975,50,1.89875,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SPERF,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,,3,0.365,50,0.1825,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SPERF,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,ALVARO 2016 45 TITTLES,4,0.07,50,0.035,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SPERF,2190,ad5139af-4313-4345-efac-0fd1c7919ed8,201704,201706,BUM/STE,,,XOXO,159648,0.29,50,0.145,Netherlands,Netherlands,17186 John James Borger,Performance,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SMECH,4260,ad5139af-4313-4345-efac-0fd1c7919ed8,201707,201709,BUM/STE,,,,49704,0.09,75,0.0675,Netherlands,Netherlands,17186 John James Borger,Mechanical,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
2.01801E+11,WW 015017854 00,W-010107863,BARTH DELANEY (CA)/ BORGER JOHN JAMES JR (CA)/ MUSICALLSTARS BV (E),SMECH,4260,ad5139af-4313-4345-efac-0fd1c7919ed8,201707,201709,BUM/STE,,,8.88752E+12,21,0.0125,75,0.009375,Netherlands,Netherlands,17186 John James Borger,Mechanical,THIS COULD BE LOVE,"Jane, Delaney / Frank, Shaun Charles / Gruzman, Yaakov / Borger, John"
