"AGREEMENT_ID","BATCH_ID","BATCH_DESCRIPTION","WORK_ID","WORK_TITLE","WRITERS","RECORDING_TITLE","RECORDING_ARTIST","RIGHT_TYPE_GROUP","RIGHT_TYPE","TERRITORY_ID","TERRITORY","EXPLOITATION_LICENCE_ID","EXPLOITATION_TITLE","EXPLOITATION_ARTIST","EXPLOITATION_DESCRIPTION","EXPLOITATION_FORMAT","AV_PRODUCTION_TITLE","ROYALTY_PERIOD_START_DATE","ROYALTY_PERIOD_END_DATE","PERCENTAGE_PAID","UNIT_SUM","CREDIT_OR_DEBIT","DISTRIBUTED_AMOUNT","WHT_ADJ_RECEIVED_AMOUNT","WHT_ADJ_SOURCE_AMOUNT","DIRECT_COLLECT_FEE_TAKEN","DIRECT_COLLECTED_AMOUNT","SOURCE_NAME","GENERATED_AT_COVER_RATE","TERRITORY_ISO_ALPHA_2_CODE","CUSTOM_WORK_ID","REVENUE_SOURCE_NAME",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","8093","Credit",".25491752325",".26145387",".2752146","",".2752146","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","48382","Credit","6.719909536805","6.8922145175","7.25496265","","7.25496265","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","4613","Credit",".87096858668",".8933007225",".94031655","",".94031655","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","15875","Credit","6.896935212375","7.073779705","7.4460839","","7.4460839","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","68","Credit",".014162084625",".014525215",".0152897","",".0152897","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","2918","Credit","1.1896151085","1.22011806","1.2843348","","1.2843348","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","25500","Credit","1.536586564055","1.5759858275","1.65893245","","1.65893245","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.13","21260","Credit",".2832416925",".2905043",".305794","",".305794","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","30-SEP-16","30-SEP-16","13.13","1566","Credit","2.35090604775","2.41118569","2.5380902","","2.5380902","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH21738","APRA_NZ_P1701N_Q1 2017","AWK618247","17","Caracciolo, Alessia [AIP154953]; Felder, Warren [AIP134005]; Gerongco, Robert [AIP154885]; Robinson, William 'Smokey' [AIP155053]; Tillman, Coleridge Gardner [AIP154952]; Unknown Composer Author [AIP91244]; Wansel, Andrew Dexter [AIP108871]; White, Ronald Anthony [AIP155052]","17","","PERF","Making Available Right - Interactive","TERR701","New Zealand","","","","","","","01-JUL-16","30-SEP-16","13.13","25621","Credit","3.48999153093141","3.57947847550341","3.7678713504","","3.7678713504","APRA-AMCOS","N","NZ","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK607689","Dancing In The Stars","Eskandary, Karina [AIP154916]; Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert [AIP154885]; Po Lun Lam, Terance [AIP154886]; Harper, Jedediah [AIP154918]; Burney, James Eugene II [AIP141918]","Dancing In The Stars","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","13.33","752","Credit",".10621601693",".1089391125",".11467275","",".11467275","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK607689","Dancing In The Stars","Eskandary, Karina [AIP154916]; Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert [AIP154885]; Po Lun Lam, Terance [AIP154886]; Harper, Jedediah [AIP154918]; Burney, James Eugene II [AIP141918]","Dancing In The Stars","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","30-SEP-16","30-SEP-16","13.33","2","Credit",".007081424555",".0072626075",".00764485","",".00764485","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH19138","NCB_Online March 2017_Performing","AWK609712","F.U.","Kouame, Jean Baptiste [AIP18159]; Cottone, Maegan Severia [AIP139884]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Iorio, Alessia [AIP155171]; McHenry, Michael Ojike [AIP23699]","F.U.","","PERF","Making Available Right - Interactive","TERR625","Denmark","","","","","","","01-OCT-16","31-OCT-16","9","1","Credit",".01075503",".0110308",".0110308","",".0110308","STIM-NCB","N","DK","","",
"AAGR55485","ABCH19138","NCB_Online March 2017_Performing","AWK609712","F.U.","Kouame, Jean Baptiste [AIP18159]; Cottone, Maegan Severia [AIP139884]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Iorio, Alessia [AIP155171]; McHenry, Michael Ojike [AIP23699]","F.U.","","PERF","Making Available Right - Interactive","TERR625","Denmark","","","","","","","01-NOV-16","30-NOV-16","9","1","Credit",".35088285375",".35987985",".35987985","",".35987985","STIM-NCB","N","DK","","",
"AAGR55485","ABCH19138","NCB_Online March 2017_Performing","AWK609712","F.U.","Kouame, Jean Baptiste [AIP18159]; Cottone, Maegan Severia [AIP139884]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Iorio, Alessia [AIP155171]; McHenry, Michael Ojike [AIP23699]","F.U.","","PERF","Making Available Right - Interactive","TERR625","Denmark","","","","","","","01-DEC-16","31-DEC-16","9","1","Credit",".4705325625",".4825975",".4825975","",".4825975","STIM-NCB","N","DK","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK624818","Get Ready","Camat, Johann Michael [AIP154905]; Fernandes, Shawn [AIP149902]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]","Get Ready","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","12.5","900","Credit",".04956767843",".0508382525",".05351395","",".05351395","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK624818","Get Ready","Camat, Johann Michael [AIP154905]; Fernandes, Shawn [AIP149902]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]","Get Ready","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","30-SEP-16","30-SEP-16","12.5","7","Credit",".014162084625",".014525215",".0152897","",".0152897","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","Here","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","1.55","9","Credit",".007081424555",".0072626075",".00764485","",".00764485","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","Here","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","1.55","2085","Credit",".014162084625",".014525215",".0152897","",".0152897","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","Here","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","1.55","379313","Credit","6.217155150375","6.376569385","6.7121783","","6.7121783","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","Here","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","1.55","1539","Credit",".02124350918",".0217878225",".02293455","",".02293455","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH22965","APRA_P1701A_Q1 2017","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","Here","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-16","30-SEP-16","1.55","4860","Credit",".035405593805",".0363130375",".03822425","",".03822425","APRA-AMCOS","N","AU","","",
