"AGREEMENT_ID","BATCH_ID","BATCH_DESCRIPTION","WORK_ID","WORK_TITLE","WRITERS","RECORDING_ARTIST","RECORDING_TITLE","RIGHT_TYPE_GROUP","RIGHT_TYPE","TERRITORY_ID","TERRITORY","EXPLOITATION_LICENCE_ID","EXPLOITATION_TITLE","EXPLOITATION_ARTIST","EXPLOITATION_DESCRIPTION","EXPLOITATION_FORMAT","AV_PRODUCTION_TITLE","ROYALTY_PERIOD_START_DATE","ROYALTY_PERIOD_END_DATE","PERCENTAGE_PAID","UNIT_SUM","CREDIT_OR_DEBIT","DISTRIBUTED_AMOUNT","WHT_ADJ_RECEIVED_AMOUNT","WHT_ADJ_SOURCE_AMOUNT","DIRECT_COLLECT_FEE_TAKEN","DIRECT_COLLECTED_AMOUNT","SOURCE_NAME","GENERATED_AT_COVER_RATE","TERRITORY_ISO_ALPHA_2_CODE","CUSTOM_WORK_ID","REVENUE_SOURCE_NAME",
"AAGR55485","BCH45876","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK608265","Here","Wansel, Andrew Dexter [AIP108871]; Felder, Warren Okay III [AIP108872]; Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert Tigley [AIP154885]; Po Lun Lam, Terance [AIP154886]; Tillman, Coleridge Gardner [AIP154952]; Caracciolo, Alessia [AIP154953]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","31-MAY-16","31-MAY-16","1.56","1","Credit",".0136750185",".01402566",".01402566","",".01402566","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45880","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618290","In My Life","Haynes, Cornell Iral Jr [AIP13854]; Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert Tigley [AIP154885]; Betha, Mason [AIP71662]; DiStasio, Ralph N [AIP84574]","","","PERF","Making Available Right - Interactive","TERR660","Ireland","","","","","","","01-AUG-17","01-AUG-17","11.63","66","Credit",".0136750185",".01402566",".01402566","",".01402566","PRS for Music (MCPS-PRS)","N","IE","","",
"AAGR55485","BCH45880","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618290","In My Life","Haynes, Cornell Iral Jr [AIP13854]; Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert Tigley [AIP154885]; Betha, Mason [AIP71662]; DiStasio, Ralph N [AIP84574]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","01-AUG-17","01-AUG-17","11.63","1218","Credit",".136750185",".1402566",".1402566","",".1402566","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45882","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK608730","Lost And Found","Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert Tigley [AIP154885]; Po Lun Lam, Terance [AIP154886]; Macgregor, Sean [AIP155127]; Montoya, Jessica [AIP155128]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","01-NOV-17","01-NOV-17","20","1","Credit",".082050111",".08415396",".08415396","",".08415396","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45882","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK624339","Nobody Does It Better","Potvin, Bryan Anthony [AIP115433]; Gerongco, Samuel Tigley [AIP151551]; Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]","","","PERF","Television Broadcast Right","TERR761","United Kingdom","","","","","","","28-NOV-17","28-NOV-17","10","1","Credit",".1230751665",".12623094",".12623094","",".12623094","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45884","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618318","Rock You","Gerongco, Samuel Tigley [AIP151551]; Gerongco, Robert Tigley [AIP154885]; Garrett, Sean [AIP22107]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","01-MAR-17","01-MAR-17","12.5","32","Credit",".0136750185",".01402566",".01402566","",".01402566","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45885","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618247","17","Wansel, Andrew Dexter [AIP108871]; Felder, Warren [AIP134005]; Gerongco, Robert Tigley [AIP154885]; Tillman, Coleridge Gardner [AIP154952]; Caracciolo, Alessia [AIP154953]; White, Ronald Anthony [AIP155052]; Robinson, William 'Smokey' [AIP155053]; Unknown Composer Author,  [AIP6916]","","","PERF","Television Broadcast Right","TERR761","United Kingdom","","","","","","","01-JAN-17","01-JAN-17","6.56","0","Credit",".0410250555",".04207698",".04207698","",".04207698","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45885","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618247","17","Wansel, Andrew Dexter [AIP108871]; Felder, Warren [AIP134005]; Gerongco, Robert Tigley [AIP154885]; Tillman, Coleridge Gardner [AIP154952]; Caracciolo, Alessia [AIP154953]; White, Ronald Anthony [AIP155052]; Robinson, William 'Smokey' [AIP155053]; Unknown Composer Author,  [AIP6916]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","30-APR-16","30-APR-16","6.56","1","Credit",".082050111",".08415396",".08415396","",".08415396","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45885","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618247","17","Wansel, Andrew Dexter [AIP108871]; Felder, Warren [AIP134005]; Gerongco, Robert Tigley [AIP154885]; Tillman, Coleridge Gardner [AIP154952]; Caracciolo, Alessia [AIP154953]; White, Ronald Anthony [AIP155052]; Robinson, William 'Smokey' [AIP155053]; Unknown Composer Author,  [AIP6916]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","31-OCT-16","31-OCT-16","6.56","1","Credit",".027350037",".02805132",".02805132","",".02805132","PRS for Music (MCPS-PRS)","N","GB","","",
"AAGR55485","BCH45885","PRS_DMD31_CRD20180402164900017052_PERF_Q2 2018","AWK618247","17","Wansel, Andrew Dexter [AIP108871]; Felder, Warren [AIP134005]; Gerongco, Robert Tigley [AIP154885]; Tillman, Coleridge Gardner [AIP154952]; Caracciolo, Alessia [AIP154953]; White, Ronald Anthony [AIP155052]; Robinson, William 'Smokey' [AIP155053]; Unknown Composer Author,  [AIP6916]","","","PERF","Making Available Right - Interactive","TERR761","United Kingdom","","","","","","","01-DEC-17","01-DEC-17","6.56","1","Credit",".0410250555",".04207698",".04207698","",".04207698","PRS for Music (MCPS-PRS)","N","GB","","",
