"AGREEMENT_ID","BATCH_ID","BATCH_DESCRIPTION","WORK_ID","WORK_TITLE","WRITERS","RECORDING_ARTIST","RECORDING_TITLE","RIGHT_TYPE_GROUP","RIGHT_TYPE","TERRITORY_ID","TERRITORY","EXPLOITATION_LICENCE_ID","EXPLOITATION_TITLE","EXPLOITATION_ARTIST","EXPLOITATION_DESCRIPTION","EXPLOITATION_FORMAT","AV_PRODUCTION_TITLE","ROYALTY_PERIOD_START_DATE","ROYALTY_PERIOD_END_DATE","PERCENTAGE_PAID","UNIT_SUM","CREDIT_OR_DEBIT","DISTRIBUTED_AMOUNT","WHT_ADJ_RECEIVED_AMOUNT","WHT_ADJ_SOURCE_AMOUNT","DIRECT_COLLECT_FEE_TAKEN","DIRECT_COLLECTED_AMOUNT","SOURCE_NAME","GENERATED_AT_COVER_RATE","TERRITORY_ISO_ALPHA_2_CODE","CUSTOM_WORK_ID","REVENUE_SOURCE_NAME",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-19","30-SEP-19","1.55","136","Credit",".006049452251",".0062042315",".0062042315","",".0062042315","APRA-AMCOS","N","AU","","",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-19","30-SEP-19","1.55","1549","Credit",".036294754275",".037225389",".037225389","",".037225389","APRA-AMCOS","N","AU","","",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-19","30-SEP-19","1.55","10113","Credit",".090737212226",".0930634725",".0930634725","",".0930634725","APRA-AMCOS","N","AU","","",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-JUL-19","30-SEP-19","1.55","53280","Credit",".568618470052",".583197761",".583197761","",".583197761","APRA-AMCOS","N","AU","","",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-AUG-19","30-SEP-19","1.55","404","Credit",".006049452251",".0062042315",".0062042315","",".0062042315","APRA-AMCOS","N","AU","","",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-AUG-19","30-SEP-19","1.55","658","Credit",".006049452251",".0062042315",".0062042315","",".0062042315","APRA-AMCOS","N","AU","","",
"AAGR55485","BCH124645","APRA_P2001_crd20200222212811017008_AUD_PERF_Q1 2020","AWK608265","Here","Caracciolo, Alessia [AIP154953]; Felder, Warren Okay III [AIP108872]; Wansel, Andrew Dexter [AIP108871]; Tillman, Coleridge Gardner [AIP154952]; Po Lun Lam, Terance [AIP154886]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Hayes, Isaac [AIP98461]","","","PERF","Making Available Right - Interactive","TERR587","Australia","","","","","","","01-AUG-19","30-SEP-19","1.55","1477","Credit",".012098251425",".012408463",".012408463","",".012408463","APRA-AMCOS","N","AU","","",
"AAGR55485","ABCH126457","Spotify / France / 2019 July / Ad-supported On Demand and Mobile Services [AUFCR90089]","AWK624339","Nobody Does It Better","Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Potvin, Bryan Anthony [AIP115433]","Lost & Found Music Studios","Nobody Does It Better","PERF","Making Available Right - Interactive","TERR639","France","","","","","","","01-JUL-19","31-JUL-19","6","1","Credit",".000004468496",".000004468496",".000004468496","",".000004468496","Spotify AB","N","FR","","",
"AAGR55485","ABCH126516","Spotify / France / 2019 August / Premium Subscription Service [AUFCR90238]","AWK624339","Nobody Does It Better","Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Potvin, Bryan Anthony [AIP115433]","Lost & Found Music Studios","Nobody Does It Better","PERF","Making Available Right - Interactive","TERR639","France","","","","","","","01-AUG-19","31-AUG-19","6","13","Credit",".00024279024",".000269276448",".000269276448","",".000269276448","Spotify AB","N","FR","","",
"AAGR55485","ABCH126935","Spotify / Italy / 2019 August / Ad-supported On Demand and Mobile Services [AUFCR90286]","AWK624339","Nobody Does It Better","Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Potvin, Bryan Anthony [AIP115433]","Lost & Found Music Studios","Nobody Does It Better","PERF","Making Available Right - Interactive","TERR662","Italy","","","","","","","01-AUG-19","31-AUG-19","6","22","Credit",".0000827694",".000091598136",".000091598136","",".000091598136","Spotify AB","N","IT","","",
"AAGR55485","ABCH127344","Spotify / Philippines / 2019 September / Ad-supported On Demand and Mobile Service [AUFCR90510]","AWK624339","Nobody Does It Better","Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Potvin, Bryan Anthony [AIP115433]","Lost & Found Music Studios","Nobody Does It Better","PERF","Making Available Right - Interactive","TERR714","Philippines","","","","","","","01-SEP-19","30-SEP-19","6","2","Credit",".000002022508",".000002375956",".000002375956","",".000002375956","Spotify AB","N","PH","","",
"AAGR55485","ABCH127523","Spotify / Sweden / 2019 July / Premium Subscription Service [AUFCR90100]","AWK624339","Nobody Does It Better","Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Potvin, Bryan Anthony [AIP115433]","Lost & Found Music Studios","Nobody Does It Better","PERF","Making Available Right - Interactive","TERR744","Sweden","","","","","","","01-JUL-19","31-JUL-19","6","13","Credit",".000799860784",".000889230704",".000889230704","",".000889230704","Spotify AB","N","SE","","",
"AAGR55485","ABCH127606","Spotify / Singapore / 2019 July / Premium Subscription Service [AUFCR90115]","AWK624339","Nobody Does It Better","Doty, Emily Margo [AIP152430]; Gerongco, Robert Tigley [AIP154885]; Gerongco, Samuel Tigley [AIP151551]; Potvin, Bryan Anthony [AIP115433]","Lost & Found Music Studios","Nobody Does It Better","PERF","Making Available Right - Interactive","TERR729","Singapore","","","","","","","01-JUL-19","31-JUL-19","6","7","Credit",".000259950252",".000306070458",".000306070458","",".000306070458","Spotify AB","N","SG","","",
