Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
1,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0004,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208725,EUR, , , , , 
2,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0008,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208708,EUR, , , , , 
3,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0041,50,27/09/2015,, , ,,00000010, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208708,EUR, , , , , 
4,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0003,50,27/09/2015,, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208710,EUR, , , , , 
5,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0024,50,27/09/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208725,EUR, , , , , 
6,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0002,50,27/09/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208710,EUR, , , , , 
7,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0004,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208725,EUR, , , , , 
8,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0024,50,27/09/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
9,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0033,50,27/09/2015,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
10,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0005,50,27/09/2015,, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
