Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Usage Summary,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
1,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0101,50,01/06/2017,30/06/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435128,GBP, , , , , 
2,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0135,50,01/05/2017,31/05/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435124,GBP, , , , , 
3,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0119,50,01/04/2017,30/04/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435122,GBP, , , , , 
4,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0067,50,01/06/2017,30/06/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435128,GBP, , , , , 
5,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0175,50,01/04/2017,30/04/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435122,GBP, , , , , 
6,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0118,50,01/06/2017,30/06/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435128,GBP, , , , , 
7,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0123,50,01/06/2017,30/06/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435128,GBP, , , , , 
8,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0087,50,01/05/2017,31/05/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435124,GBP, , , , , 
9,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Single,Online, ,Ain't No Man,.0448,50,01/04/2017,30/04/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435123,GBP, , , , , 
10,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Single,Online, ,Ain't No Man,.0672,50,01/04/2017,30/04/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435123,GBP, , , , , 
11,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Single,Online, ,Ain't No Man,.0224,50,01/05/2017,31/05/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435126,GBP, , , , , 
12,00177149937,M,2018071,Alliance Amazon United Kingdom Permanent Download Service Single,Online, ,Ain't No Man,.0896,50,01/06/2017,30/06/2017, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,435132,GBP, , , , , 
13,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0021,50,01/09/2017,30/09/2017, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452549,EUR, , , , , 
14,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/11/2017,30/11/2017, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455899,EUR, , , , , 
15,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/10/2017,31/10/2017, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455898,EUR, , , , , 
16,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0008,50,01/12/2017,31/12/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455900,EUR, , , , , 
17,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/08/2017,31/08/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452548,EUR, , , , , 
18,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0008,50,01/09/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452549,EUR, , , , , 
19,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0023,50,01/08/2017,31/08/2017, , ,,00000008, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452548,EUR, , , , , 
20,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.002,50,01/07/2017,31/07/2017, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452547,EUR, , , , , 
21,00177149937,M,2018071,Alliance Google Ireland Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0006,50,01/07/2017,31/07/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452547,EUR, , , , , 
22,00177149937,M,2018071,Alliance Google Ireland Permanent Download Service Album,Online, ,Ain't No Man,.0307,50,01/10/2017,31/12/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455542,EUR, , , , , 
23,00177149937,M,2018071,Alliance Google Ireland Permanent Download Service Album,Online, ,Ain't No Man,.0203,50,01/10/2017,31/12/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455542,EUR, , , , , 
24,00177149937,M,2018071,Alliance Google Ireland Permanent Download Service Album,Online, ,Ain't No Man,.0614,50,01/07/2017,30/09/2017, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446000,EUR, , , , , 
25,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.1634,50,01/09/2017,30/09/2017, , ,,00000289, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
26,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0028,50,01/07/2017,31/07/2017, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
27,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0049,50,01/10/2017,31/10/2017, , ,,00000009, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
28,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0074,50,01/12/2017,31/12/2017, , ,,00000013, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
29,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/09/2017,30/09/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
