Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Usage Summary,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
1,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Active,.07,16.67,01/01/2019,31/03/2019,STREAMING AU-APPLE MUSIC [DISA, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
2,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Active,.05,16.67,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
3,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Active,.05,16.67,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
4,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Active,.07,16.67,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
5,00618760530,P,2019121,Brazilian (UBC) Online,Overseas, ,Active,.01,16.67,01/05/2019,31/05/2019,SPOTIFY BRASIL PREMIUM, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
6,00618760530,P,2019121,Brazilian (UBC) Online,Overseas, ,Active,.01,16.67,01/05/2019,31/05/2019,SPOTIFY BRASIL PREMIUM, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
7,00618760530,P,2019121,Italian (SIAE) General & Broadcasting,Overseas, ,Active,.4,16.67,01/07/2018,31/12/2018,DANZA, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
8,00618760530,P,2019121,Italian (SIAE) General & Broadcasting,Overseas, ,Active,3.24,16.67,01/01/2018,30/06/2018,DANZA, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
9,00618760530,P,2019121,New Zealand Online,Overseas, ,Active,.03,16.67,01/01/2019,31/03/2019,STREAMING NZ-SPOTIFY [DISAGGRE, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
10,00618760530,P,2019121,New Zealand Online,Overseas, ,Active,.02,16.67,01/01/2019,31/03/2019,STREAMING NZ-SPOTIFY [DISAGGRE, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
