"SCHEDULE_ID","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","DISTRIBUTION_TYPE","AMOUNT"
"42577","DA BRAT","AIN'T GOT TIME TO  WASTE","","ARISTA","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.2471709013773442
"42577","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.9572046204318745
"42577","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.2027176341100472
"42577","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","STREAMLICENSING","Webcasters",01-JUN-12,30-JUN-12,"CURRENT",.00240384883395375
"42577","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.8457138466353926
"42577","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.619879616332853
"42577","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.610414476556391
"42577","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.0574149797618728
"42577","DA BRAT","ANUTHATANTRUM","ANUTHATANTRUM","SONY MUSIC","Slacker Radio","Webcasters",01-JUN-12,31-JUL-12,"CURRENT",.0271552194037751
"42577","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.2393601212878837
"42577","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.0226425144480894
"42577","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",14.09764973034802195
"42577","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","IMVU","Webcasters",01-FEB-12,31-MAR-12,"CURRENT",.2957788004541004
"42577","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.35236564589303715
"42577","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.06388435770660625
"42577","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.34613641232693505
"42577","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.04528509466329635
"42577","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.17124113325479665
"42577","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.2016957145882104
"42577","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","SONGZA_MEDIA","Webcasters",01-JUL-11,30-JUN-12,"CURRENT",.0313160151693568
"42577","DA BRAT","CHI TOWN","UNRESTRICTED","SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.1147020718612608
"42577","DA BRAT","CHI TOWN","UNRESTRICTED","SO SO DEF","MSPOT.COM","Webcasters",01-APR-12,30-JUN-12,"CURRENT",.489564268069167
"42577","DA BRAT","COME AND GET SOME","FUNKDAFIED","CHAOS/SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.9418569407478127
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","8TRACKS","Webcasters",01-JUN-12,30-JUN-12,"CURRENT",.00018821662281045
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JUL-12,31-JUL-12,"CURRENT",.0024232308581142
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","ClearChannel","Webcasters",01-AUG-12,31-AUG-12,"CURRENT",.0374715486915772
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.2004779213945326
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","MTV","Webcasters",01-FEB-12,31-AUG-12,"CURRENT",.0118735788647745
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","Slacker Radio","Webcasters",01-JUN-12,31-JUL-12,"CURRENT",.0229131437595413
"42577","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","8TRACKS","Webcasters",01-APR-11,30-JUN-12,"CURRENT",.001734893258067
"42577","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","MAGIC_BROADCASTING","Webcasters",01-JAN-12,29-FEB-12,"CURRENT",12.80908205439754
"42577","DA BRAT","DA B SIDE","FUNKDAFIED (DA EP)","SO SO DEF","Music Choice","Cable Radio",01-MAY-12,31-AUG-12,"CURRENT",5.158858437848554
"42577","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","WEBCASTING PROXY II","Webcasters",01-JAN-09,31-DEC-09,"PRIOR",.0286274000031078
"42577","DA BRAT","DA B SIDE (SQUEAKY CLEAN)","ANUTHAFUNKDAFIEDTANTRUM","SO SO DEF/COLUMBIA","MTV","Webcasters",01-JAN-12,31-JAN-12,"CURRENT",.00508873324121325
"42577","DA BRAT","DA B SIDE (SQUEAKY CLEAN)","ANUTHAFUNKDAFIEDTANTRUM","SO SO DEF/COLUMBIA","SiriusXM","Satellite Radio",01-JUL-12,31-JUL-12,"CURRENT",49.486406307385
"42577","DA BRAT","DA B SIDE (SQUEAKY CLEAN)","ANUTHAFUNKDAFIEDTANTRUM","SO SO DEF/COLUMBIA","SiriusXM Webcasting","Webcasters",01-MAY-12,31-JUL-12,"CURRENT",.02507813681771065
"42577","DA BRAT","DA B SIDE (SQUEAKY CLEAN)","ANUTHAFUNKDAFIEDTANTRUM","SO SO DEF/COLUMBIA","WEBCASTING PROXY II","Webcasters",01-JAN-09,31-DEC-09,"PRIOR",.034150030225777
"42577","DA BRAT","DA B SIDE - SQUEAKY CLEAN","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","IMVU","Webcasters",01-JUN-12,31-JUL-12,"CURRENT",.1258754477576985
"42577","DA BRAT","DA B SIDE - SQUEAKY CLEAN","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","SONGZA_MEDIA","Webcasters",01-OCT-10,31-JUL-11,"CURRENT",.00603118782023355
"42577","DA BRAT","DA SHIT YA CAN'T FUC WIT","FUNKDAFIED (EXPLICIT)","SONY MUSIC","8TRACKS","Webcasters",01-FEB-11,31-MAR-12,"CURRENT",.00199470758660505
"42577","DA BRAT","DA SHIT YA CAN'T FUC WIT","FUNKDAFIED (EXPLICIT)","SONY MUSIC","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.9547637554388242
"42577","DA BRAT","DA SHIT YA CAN'T FUC WIT","FUNKDAFIED (EXPLICIT)","SONY MUSIC","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.0022565705047146
"42577","DA BRAT","DA SHIT YA CAN'T FUC WIT","FUNKDAFIED (EXPLICIT)","SONY MUSIC","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.2495934846704511
"42577","DA BRAT","DA SHIT YA CAN'T FUC WIT","FUNKDAFIED (EXPLICIT)","SONY MUSIC","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.0250685199816638
"42577","DA BRAT","DA SHIT YA CAN'T FUC WIT","FUNKDAFIED (EXPLICIT)","SONY MUSIC","SONGZA_MEDIA","Webcasters",01-JUL-11,31-JUL-11,"CURRENT",.0120285714030467
"42577","DA BRAT","F*** YOU","UNRESTRICTED","SONY MUSIC","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.0084532838172624
"42577","DA BRAT","F*** YOU","UNRESTRICTED","SONY MUSIC","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.01051253307719775
"42577","DA BRAT","F*** YOU","UNRESTRICTED (CLEAN VERSION)","SONY MUSIC","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.339908766201143
"42577","DA BRAT","F*** YOU","UNRESTRICTED (CLEAN VERSION)","SONY MUSIC","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.052562973815861
"42577","DA BRAT","F**K YOU","UNRESTRICTED","SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.3214837478180103
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","8TRACKS","Webcasters",01-FEB-11,31-JAN-12,"CURRENT",.0001490139176949
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",1.28512789131467505
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.13855802386256095
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",6.598429061992133
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.65744281811808155
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","SOCIAL_GENIUS","Webcasters",01-JAN-12,29-FEB-12,"CURRENT",.00270757425569355
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","SONGZA_MEDIA","Webcasters",01-JUL-11,30-JUN-12,"CURRENT",.031525309471676
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","SiriusXM CABSAT","Cable Radio",01-MAY-12,31-MAY-12,"CURRENT",1.47541226088686
"42577","DA BRAT","FA ALL Y'ALL","FUNKDAFIED","SO SO DEF","SiriusXM Webcasting","Webcasters",01-MAY-12,31-MAY-12,"CURRENT",.318685077338332
"42577","DA BRAT","FA ALL Y'ALL - REMIX","FUNKDAFIED RATED PG","CHAOS/SO SO DEF","IMVU","Webcasters",01-JUN-12,30-JUN-12,"CURRENT",.00330158601236835
"42577","DA BRAT","FA ALL Y'ALL - REMIX","FUNKDAFIED RATED PG","CHAOS/SO SO DEF","SONGZA_MEDIA","Webcasters",01-JUL-11,31-JUL-11,"CURRENT",.0120285714030467
"42577","DA BRAT","FIRE IT UP","FUNKDAFIED (EXPLICIT)","SONY","8TRACKS","Webcasters",01-DEC-11,30-JUN-12,"CURRENT",.0006662025759636
"42577","DA BRAT","FIRE IT UP","FUNKDAFIED (EXPLICIT)","SONY","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",1.467750137637931
"42577","DA BRAT","FIRE IT UP","FUNKDAFIED (EXPLICIT)","SONY","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",2.512360324328489
"42577","DA BRAT","FIRE IT UP","FUNKDAFIED (EXPLICIT)","SONY","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.2709007595002627
"42577","DA BRAT","FUCK YOU","UNRESTRICTED","SONY","8TRACKS","Webcasters",01-FEB-11,30-APR-11,"CURRENT",.0001155599143524
"42577","DA BRAT","FUCK YOU","UNRESTRICTED","SONY","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",3.114047196660217
"42577","DA BRAT","FUCK YOU","UNRESTRICTED","SONY","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.2154974757047214
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","8TRACKS","Webcasters",01-FEB-11,30-JUN-12,"CURRENT",.0085862347187364
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","Batanga","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.08017772564768485
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","CBS RADIO","Webcasters",01-MAR-12,31-AUG-12,"CURRENT",1.791805059093114
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","CENLA_BROADCASTING_KKST","Webcasters",01-MAR-12,30-SEP-12,"CURRENT",.01696465594758105
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",.0452341284332787
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","COXRADIO","Webcasters",01-JUL-12,31-JUL-12,"CURRENT",.203754756591181
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","CRYSTAL_MEDIA","Webcasters",01-DEC-11,31-JUL-12,"CURRENT",18.8443164257651054
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","DONTRON_WYRB-FM","Webcasters",01-JAN-12,31-JAN-12,"CURRENT",.00244069066627245
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","EVR_COMMUNITY_CORP_EASTVILLAGERADIO_COM","Webcasters",01-JUN-11,30-JUN-11,"CURRENT",.0519242807321307
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.9303352981819097
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","MSPOT.COM","Webcasters",01-APR-12,30-JUN-12,"CURRENT",.380772208498241
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","MTV","Webcasters",01-JAN-12,31-JAN-12,"CURRENT",.0016962444137376
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","Music Choice","Cable Radio",01-MAY-12,31-AUG-12,"CURRENT",20.92836655818084
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",24.064542594342793
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",2.3483530140193966
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","RADIO_ONE_INC","Webcasters",01-APR-12,30-APR-12,"CURRENT",.0161903490948774
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","RIVIERA_BROADCAST_GROUP","Webcasters",01-APR-11,30-JUN-11,"CURRENT",1.53380733052673
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","SAGA COMMUNICATIONS_WJMR","Webcasters",01-JAN-12,31-MAY-12,"CURRENT",.1672636362532141
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","SOCIAL_GENIUS","Webcasters",01-JAN-12,29-FEB-12,"CURRENT",.0018572346272817
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","SONGZA_MEDIA","Webcasters",01-OCT-10,30-JUN-12,"CURRENT",.24563976325966435
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","STREAMLICENSING","Webcasters",01-APR-12,30-APR-12,"CURRENT",.00044725582079145
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","SiriusXM","Satellite Radio",01-JUN-12,31-AUG-12,"CURRENT",229.72318900783048
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","SiriusXM CABSAT","Cable Radio",01-JAN-12,31-AUG-12,"CURRENT",13.938216927834859
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","SiriusXM Webcasting","Webcasters",01-MAY-12,31-AUG-12,"CURRENT",4.78892081480829
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","TOWNSQUARE MEDIA BROADCASTING","Webcasters",01-MAR-12,31-AUG-12,"CURRENT",.0810731155436608
"42577","DA BRAT","FUNKDAFIED","FUNKDAFIED","SO SO DEF","YAHOOMUSIC.COM_CBS","Webcasters",01-MAR-12,31-AUG-12,"CURRENT",.7377372418539745
"42577","DA BRAT","FUNKDAFIED (CLEAN VERSION)","ANUTHAFUNKDAFIEDTANTRUM","SO SO","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",28.33883292180355
"42577","DA BRAT","FUNKDAFIED (CLEAN VERSION)","ANUTHAFUNKDAFIEDTANTRUM","SO SO","ClearChannel","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",5.13105886242221
"42577","DA BRAT","FUNKDAFIED (CLEAN VERSION)","ANUTHAFUNKDAFIEDTANTRUM","SO SO","IMVU","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",2.1966630659702064
"42577","DA BRAT","FUNKDAFIED (CLEAN VERSION)","ANUTHAFUNKDAFIEDTANTRUM","SO SO","SONGZA_MEDIA","Webcasters",01-JUL-11,30-JUN-12,"CURRENT",.0028043822630025
"42577","DA BRAT","FUNKDAFIED (CLEAN VERSION)","ANUTHAFUNKDAFIEDTANTRUM","SO SO","IMVU","Webcasters",01-MAR-11,31-MAY-12,"PRIOR",1.473161661
"42577","DA BRAT","FUNKDAFIED (CLEAN VERSION)","ANUTHAFUNKDAFIEDTANTRUM","SO SO","SONGZA_MEDIA","Webcasters",01-MAR-12,30-APR-12,"PRIOR",.0049009545
"42577","DA BRAT","FUNKDAFIED (EDIT)","FUNKDAFIED DA EP","","SiriusXM CABSAT","Cable Radio",01-APR-12,30-APR-12,"CURRENT",.729922799263627
"42577","DA BRAT","FUNKDAFIED (EDIT)","FUNKDAFIED DA EP","","SiriusXM","Satellite Radio",01-APR-12,30-APR-12,"PRIOR",41.719933062
"42577","DA BRAT","FUNKDAFIED (EDIT)","FUNKDAFIED DA EP","","SiriusXM Webcasting","Webcasters",01-APR-12,30-APR-12,"PRIOR",1.16842599
"42577","DA BRAT","FUNKDAFIED - DJ CLUB MIX","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","IMVU","Webcasters",01-JUN-12,31-JUL-12,"CURRENT",.1918050272072446
"42577","DA BRAT","FUNKDAFIED - DJ CLUB MIX","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","SONGZA_MEDIA","Webcasters",01-JUL-11,29-FEB-12,"CURRENT",.01071161451937035
"42577","DA BRAT","GET IT GET IT","UNKNOWN SONG ALBUM","UNKNOWN SONG LABEL","Music Choice","Cable Radio",01-MAY-12,31-MAY-12,"CURRENT",2.25670262705892
"42577","DA BRAT","GET SOMEBODY","SUMMERHEAT","UNKNOWN LABEL","IMVU","Webcasters",01-JUN-12,31-JUL-12,"CURRENT",.02189030646892905
"42577","DA BRAT","GET SOMEBODY","SUMMERHEAT","UNKNOWN LABEL","SONGZA_MEDIA","Webcasters",01-OCT-10,30-JUN-12,"CURRENT",.00172723247417025
"42577","DA BRAT","GHETTO LOVE","ANUTHATANTRUM","SONY MUSIC","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JUL-12,31-JUL-12,"CURRENT",.0016154872387425
"42577","DA BRAT","GHETTO LOVE","ANUTHATANTRUM","SONY MUSIC","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.13963911181776495
"42577","DA BRAT","GHETTO LOVE","ANUTHATANTRUM","SONY MUSIC","MTV","Webcasters",01-JAN-12,31-AUG-12,"CURRENT",.1569013906844187
"42577","DA BRAT","GHETTO LOVE","ANUTHATANTRUM","SONY MUSIC","Pandora Non-Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",7.380993550265718
"42577","DA BRAT","GHETTO LOVE","ANUTHATANTRUM","SONY MUSIC","Pandora Subscriber","Webcasters",01-JUN-12,31-AUG-12,"CURRENT",.6962581395839453
"42577","DA BRAT","GHETTO LOVE","ANUTHATANTRUM","SONY MUSIC","Slacker Radio","Webcasters",01-JUN-12,31-JUL-12,"CURRENT",.1671856497117626
"42577","DA BRAT","GIVE IT 2 YOU","FUNKDAFIED","SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-JAN-12,31-JUL-12,"CURRENT",6.5249359307207758
"42577","DA BRAT","GIVE IT 2 YOU","FUNKDAFIED","SO SO DEF","IMVU","Webcasters",01-JAN-12,31-MAR-12,"CURRENT",.2171337216845481
"42577","DA BRAT","GIVE IT 2 YOU","FUNKDAFIED","SO SO DEF","MSPOT.COM","Webcasters",01-APR-12,30-JUN-12,"CURRENT",.33725538466987
"42577","DA BRAT","GIVE IT 2 YOU","FUNKDAFIED","SO SO DEF","MTV","Webcasters",01-FEB-12,29-FEB-12,"CURRENT",.0008481181529349
