"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","DISTRIBUTION_TYPE","YOUR_AMOUNT","THIRD_PARTY_NAME","THIRD_PARTY_AMOUNT"
"","DA BRAT","AIN'T GOT TIME TO  WASTE","","ARISTA","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",.05632000850084535,"",
"","DA BRAT","AIN'T GOT TIME TO  WASTE","","ARISTA","IMVU","Webcasters",01-OCT-12,31-DEC-12,"CURRENT",.1154770819126682,"",
"","DA BRAT","AIN'T GOT TIME TO  WASTE","","ARISTA","SPOTIFY.COM - > CW-CRB > Undeclared (1000011227)","Webcasters",01-NOV-12,31-JAN-13,"CURRENT",.03137570483381915,"",
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",.3500129558732928,"",
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","PROJECT_11","Webcasters",01-OCT-11,29-FEB-12,"CURRENT",.01738871910586575,"",
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","SPOTIFY.COM - > CW-CRB > Undeclared (1000011227)","Webcasters",01-NOV-12,31-JAN-13,"CURRENT",.048336966529726,"",
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",.3476554260554002,"",
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","Pandora Non-Subscriber","Webcasters",01-DEC-12,28-FEB-13,"CURRENT",.27732285912934,"",
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","Pandora Subscriber","Webcasters",01-DEC-12,28-FEB-13,"CURRENT",.02582162858891525,"",
"","DA BRAT","ANUTHATANTRUM","ANUTHATANTRUM","SONY MUSIC","Slacker Radio","Webcasters",01-NOV-12,31-JAN-13,"CURRENT",.0279617622210864,"",
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","Pandora Non-Subscriber","Webcasters",01-DEC-12,28-FEB-13,"CURRENT",.08662167117303305,"",
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",10.742599555579236,"",
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PROJECT_11","Webcasters",01-OCT-11,29-FEB-12,"CURRENT",.01408202708368275,"",
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","Pandora Non-Subscriber","Webcasters",01-DEC-12,28-FEB-13,"CURRENT",.1375207826517806,"",
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","Pandora Subscriber","Webcasters",01-DEC-12,28-FEB-13,"CURRENT",.0237951485992319,"",
"","DA BRAT","BOOM (RADIO MIX)","BOOM","SONY MUSIC","IMVU","Webcasters",01-JUN-11,30-JUN-12,"PRIOR",.11152710321670215,"",
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","Pandora Non-Subscriber","Webcasters",01-DEC-12,28-FEB-13,"CURRENT",.1111639819432338,"",
"","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",.0536716456590069,"",
"","DA BRAT","CHI TOWN","UNRESTRICTED","SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",.02680296505479855,"",
"","DA BRAT","COME AND GET SOME","FUNKDAFIED","CHAOS/SO SO DEF","CLEAR_CHANNEL_IHEART_COM","Webcasters",01-SEP-12,28-FEB-13,"CURRENT",.4458359253681222,"",
"","DA BRAT","COME AND GET SOME","FUNKDAFIED","CHAOS/SO SO DEF","SPOTIFY.COM - > CW-CRB > Undeclared (1000011227)","Webcasters",01-NOV-12,31-JAN-13,"CURRENT",.0364660829205673,"",
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","ClearChannel","Webcasters",01-NOV-12,28-FEB-13,"CURRENT",.1124536813589407,"",
