"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","DA BRAT","AIN'T GOT TIME TO  WASTE","","ARISTA","IMVU.COM  (1000000245)","Webcasting",01-JAN-13,31-OCT-13,"CURRENT",.023693439319332225
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-12,"CURRENT",.039989597126318837
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","IHEART.COM > BRD > Non-Sub (1000004530)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.0558932567205148
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","SPOTIFY.COM > CW-CRB > Undeclared (1000011227)","Webcasting",01-OCT-13,30-NOV-13,"CURRENT",.0379914768337549
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-12,"CURRENT",.14340344537330465
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM > PPWC > Non-Sub (93313499)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.195506428322848
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM > PPWC > Sub (92121421)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.0647629040385963
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","SPOTIFY.COM > CW-CRB > Undeclared (1000011227)","Webcasting",01-OCT-13,30-NOV-13,"CURRENT",.02022547445663807
"","DA BRAT","ANUTHATANTRUM","ANUTHATANTRUM","SONY MUSIC","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-12,"CURRENT",.010846139725125805
"","DA BRAT","B SIDE","FUNKDAFIED [CLEAN]","INDEPENDENT","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-07,"CURRENT",.0121177590407518
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-12,"CURRENT",.0554944321265194775
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM > PPWC > Non-Sub (93313499)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.05807121633351924
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM > PPWC > Sub (92121421)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.03016354434674367
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-12,"CURRENT",.405820303695237947
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","IHEART.COM > BRD > Non-Sub (1000004530)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.262609587131309
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM > PPWC > Non-Sub (93313499)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.0111303164639244
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-07,31-DEC-12,"CURRENT",.0949255490576234325
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","PANDORA.COM > PPWC > Non-Sub (93313499)","Webcasting",01-NOV-13,30-NOV-13,"CURRENT",.0179052917028348
"","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","ADMIN TRUE UP > PPWC > Non-Sub (1000011919)","Webcasting",01-JAN-10,31-DEC-12,"CURRENT",.015217595119968302
"","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","SPOTIFY.COM > CW-CRB > Undeclared (1000011227)","Webcasting",01-OCT-13,30-NOV-13,"CURRENT",.02700319016421037
