"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",.210690638971947
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM - Subscription Webcast","Webcasting",01-MAR-13,30-APR-14,"CURRENT",.0725900991510692075
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",.10639594288612669
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM - Subscription Webcast","Webcasting",01-MAR-13,30-APR-14,"CURRENT",.0387519737137037395
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","SONY MUSIC ENTERTAINMENT","Direct License (Grp 1)",01-JAN-14,28-FEB-14,"CURRENT",.0411424362522468
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","iTunes Radio","Direct License (Grp 3)",01-MAR-14,30-APR-14,"CURRENT",.0108151120060299
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","JANGO.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",.0185876693773388
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",.6555682772925373
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM - Subscription Webcast","Webcasting",01-MAR-13,30-APR-14,"CURRENT",.127386028302737575
"","DA BRAT","BOOM (RADIO MIX)","BOOM","SONY MUSIC","IHEART.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",.487778920051667
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",.0892756113826509
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","PANDORA.COM - Subscription Webcast","Webcasting",01-MAR-13,30-APR-14,"CURRENT",.0271117705134805875
"","DA BRAT","CHI TOWN","UNRESTRICTED","SO SO DEF","MSPOT.COM - SAMSUNG MUSIC HUB","Webcasting",01-OCT-13,31-DEC-13,"CURRENT",.1072924762533563
"","DA BRAT","COME AND GET SOME","FUNKDAFIED","CHAOS/SO SO DEF","MYXERSOCIALRADIO.COM","Webcasting",01-FEB-13,31-OCT-13,"CURRENT",.012059814437898011
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","MIXCLOUD.COM - Nonsubscription Webcast","Webcasting",01-SEP-13,30-NOV-13,"CURRENT",.03672684239651359
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-MAR-14,30-APR-14,"CURRENT",3.016089719714352
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-14,30-APR-14,"CURRENT",.8947553470471513
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","RHAPSODY.COM","Webcasting",01-MAR-13,31-JUL-13,"CURRENT",.0223837924561989025
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","SIRIUS XM RADIO, INC","Satellite Radio",01-MAR-14,30-APR-14,"CURRENT",17.35987909527424
