"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","DA BRAT","A WORD FROM...DA BISHOP DON 'MAGIC' JUAN (INTERLUDE)","UNRESTRICTED  (EXPLICIT)","SONY MUSIC","SLACKER.COM","Webcasting",01-JUL-09,31-DEC-10,"PRIOR",.017522451039503565
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.175200901338794
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.0409562996504539
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.0515606256192248
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.0232706248013943
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.0478777237892798
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.019547324833171
"","DA BRAT","BOOM (RADIO MIX)","BOOM","SONY MUSIC","IHEART.COM - Nonsubscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.334191651247567
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.03261998763665189
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",2.62064771642202
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-14,30-JUN-14,"CURRENT",.662747394343706
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","SIRIUS XM RADIO, INC","Satellite Radio",01-JUN-14,30-JUN-14,"CURRENT",17.7634212002641
