"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","IMVU.COM","Webcasting",01-JUL-11,31-AUG-11,37,,"CURRENT",.0352494332093371
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","SONGZA - Subscription Webcast","Webcasting",01-JUN-13,31-AUG-13,15,,"CURRENT",.01348832336001827
"","DA BRAT","AIN'T NO THANG","FUNKDAFIED","CHAOS/SO SO DEF","iTunes - Sony","Direct Licensing",01-MAY-14,31-OCT-14,3716,,"CURRENT",1.6064054008060275
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","IMVU.COM","Webcasting",01-JUL-11,31-AUG-11,143,,"CURRENT",.1360675729303426
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-OCT-14,31-OCT-14,119,,"CURRENT",.0626485701544731
"","DA BRAT","ALL MY BITCHES","UNRESTRICTED (EXPLICIT)","SONY","PANDORA.COM - Subscription Webcast","Webcasting",01-OCT-14,31-OCT-14,17,,"CURRENT",.0158417336442686
"","DA BRAT","B SIDE","FUNKDAFIED [CLEAN]","INDEPENDENT","CUMULUS MEDIA, INC.","Webcasting",01-OCT-14,31-OCT-14,39,,"CURRENT",.0357860146924205
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-OCT-14,31-OCT-14,101,,"CURRENT",.0531723158453931
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","PANDORA.COM - Subscription Webcast","Webcasting",01-OCT-14,31-OCT-14,22,,"CURRENT",.0205010670690533
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","IMVU.COM","Webcasting",01-JUL-11,31-AUG-11,52,,"CURRENT",.04945377073989844
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","JANGO.COM - Nonsubscription Webcast","Webcasting",01-AUG-14,30-SEP-14,63,,"CURRENT",.01591643778741423
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-OCT-14,31-OCT-14,214,,"CURRENT",.112662134563506
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","PANDORA.COM - Subscription Webcast","Webcasting",01-OCT-14,31-OCT-14,33,,"CURRENT",.03075160060358
"","DA BRAT","BOOM (RADIO MIX)","BOOM","SONY MUSIC","IMVU.COM","Webcasting",01-JUL-11,31-AUG-11,57,,"CURRENT",.0542920488981298
"","DA BRAT","BREEVE ON EM","UNRESTRICTED","SONY MUSIC","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-OCT-14,31-OCT-14,43,,"CURRENT",.02263771862724615
"","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","SONGZA - Subscription Webcast","Webcasting",01-JUN-13,31-AUG-13,76,,"CURRENT",.0683412194851593
"","DA BRAT","C'HI TOWN","UNRESTRICTED","SONY MUSIC","SONGZA - Nonsubscription Webcast","Webcasting",01-OCT-14,31-OCT-14,164,,"CURRENT",.152655441904703
"","DA BRAT","COME AND GET SOME","FUNKDAFIED","CHAOS/SO SO DEF","iTunes - Sony","Direct Licensing",01-MAY-14,31-OCT-14,760,,"CURRENT",.3244617029202103
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","IMVU.COM","Webcasting",01-JUL-11,31-AUG-11,293,,"CURRENT",.278969567336569
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","MIXCLOUD.COM - Nonsubscription Webcast","Webcasting",01-DEC-12,31-DEC-12,,,"CURRENT",.0125713842527703
"","DA BRAT","DA B SIDE","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","COX RADIO INTERACTIVE","Webcasting",01-OCT-14,31-OCT-14,284,,"CURRENT",.2898500649942
