"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,59,,"CURRENT",.0310415682093997
"","DA BRAT","B SIDE","FUNKDAFIED [CLEAN]","INDEPENDENT","","MIXCLOUD.COM - Nonsubscription Webcast","Webcasting",01-FEB-14,31-MAR-14,,,"CURRENT",.01210081915535728
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,78,,"CURRENT",.04103800542937534
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,15,,"CURRENT",.0139626722185048
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,49,,"CURRENT",.02578028546204371
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,14,,"CURRENT",.01303182740393824
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-NOV-14,31-DEC-14,348,,"CURRENT",.325336624230416
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iHeart Media","Webcasting",01-DEC-14,31-DEC-14,1371.1,,"CURRENT",1.27622732193911
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iTunes Radio - Sony","Direct Licensing",01-DEC-14,31-DEC-14,222,,"CURRENT",.0878500192553676
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,151,,"CURRENT",.079445369485073
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,28,,"CURRENT",.0260636548078761
"","DA BRAT","NOT TONIGHT [REMIX]","NOTHING TO LOSE","TOMMY BOY","","Non Corporate Side Channels","Webcasting",01-OCT-11,30-APR-12,,,"PRIOR",.036346530838801
"","DA BRAT","NOT TONIGHT [REMIX]","NOTHING TO LOSE","TOMMY BOY","","CBS Radio (simulcasting)","Webcasting",01-MAR-12,30-SEP-12,,,"PRIOR",1.94936899254367
"","DA BRAT","NOT TONIGHT [REMIX]","NOTHING TO LOSE","TOMMY BOY","","YAHOOMUSIC.COM - CBS","Webcasting",01-MAR-12,30-SEP-12,,,"PRIOR",.76726737316958695
"","DA BRAT","NOT TONIGHT [REMIX]","NOTHING TO LOSE","TOMMY BOY","","ADMIN TRUE UP","Webcasting",01-JAN-12,31-DEC-12,,,"PRIOR",.025372182415402
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,117,,"CURRENT",.06155700814406342
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,20,,"CURRENT",.01861689629133995
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,80,,"CURRENT",.0420902619788468
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,22,,"CURRENT",.02047858592047395
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","iTunes Radio - Sony","Direct Licensing",01-DEC-14,31-DEC-14,32,,"CURRENT",.0126630658386117
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","","VIACOM MEDIA NETWORKS","Webcasting",01-JAN-14,31-MAY-14,,,"CURRENT",.011168944040791348
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,1624,,"CURRENT",.8544323181705867
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,150,,"CURRENT",.1396267221850498
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","iHeart Media","Webcasting",01-DEC-14,31-DEC-14,119,,"CURRENT",.110765845898004
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","iTunes Radio - Sony","Direct Licensing",01-DEC-14,31-DEC-14,76,,"CURRENT",.030074781366702
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,1850,,"CURRENT",.9733373082608287
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,186,,"CURRENT",.1731371355094621
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","iTunes Radio - Sony","Direct Licensing",01-DEC-14,31-DEC-14,30,,"CURRENT",.0118716242236983
"","DA BRAT","WHAT'S ON YA MIND","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,44,,"CURRENT",.02314964408836564
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,480,,"CURRENT",.2525415718730801
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,65,,"CURRENT",.0605049129468553
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","iTunes Radio - Sony","Direct Licensing",01-DEC-14,31-DEC-14,1202,,"CURRENT",.475656410562846
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-DEC-14,31-DEC-14,333,,"CURRENT",.175200715486949
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Subscription Webcast","Webcasting",01-DEC-14,31-DEC-14,28,,"CURRENT",.0260636548078761
