"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,41,,"CURRENT",.02327490800521544
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,89,,"CURRENT",.05052358079180862
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,23,,"CURRENT",.0233157960895794
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","JANGO.COM - Nonsubscription Webcast","Webcasting",01-NOV-14,31-DEC-14,44,,"CURRENT",.01715093065865956
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,22,,"CURRENT",.01248897502718855
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,11,,"CURRENT",.01115103291240771
"","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","CPB/ NPR - CPB/ NPR","Webcasting",01-JAN-14,31-MAR-14,,,"PRIOR",.156652390490198
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","L & L BROADCASTING - COLUMBIA, SC","Webcasting",01-JUL-14,31-JUL-14,224,,"CURRENT",.208486505992572
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-DEC-10,30-SEP-14,,,"PRIOR",.21540953437609139
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-JAN-15,31-JAN-15,221,,"CURRENT",.22556569847958342
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,142,,"CURRENT",.08061065699367253
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,22,,"CURRENT",.02230206582481496
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,104,,"CURRENT",.05903879103761905
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,12,,"CURRENT",.01216476317717211
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHAFUNKDAFIEDTANTRUM","SONY MUSIC","","RHAPSODY.COM","Webcasting",01-OCT-14,31-DEC-14,83,,"CURRENT",.075971555449748405
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","JANGO.COM - Nonsubscription Webcast","Webcasting",01-NOV-14,31-DEC-14,26,,"CURRENT",.01009588023606274
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,1748,,"CURRENT",.9923058339784494
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,166,,"CURRENT",.1682792239508776
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,123,,"CURRENT",.124682422642809
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,2069,,"CURRENT",1.1745313332387946
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,208,,"CURRENT",.2108558950709789
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,1448,,"CURRENT",.82200162906224
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,379,,"CURRENT",.384203770345678
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,41763,,"CURRENT",23.7080483663856
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,4598,,"CURRENT",4.66113175738635
"","DA BRAT","WHAT'S ON YA MIND","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,42,,"CURRENT",.02384258868826957
"","DA BRAT","WHATCHA","","UNKNOWN LABEL","","CBS Webcasting","Webcasting",01-DEC-14,31-DEC-14,1598,,"CURRENT",1.49698965396421
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,510,,"CURRENT",.2895171483575575
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,61,,"CURRENT",.0618375461506233
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","SLACKER.COM - EMI","Direct Licensing",01-NOV-14,30-NOV-14,176,,"CURRENT",.07769323143423
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,36,,"CURRENT",.0204365045899452
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,938,,"CURRENT",.345926569366297
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,110,,"CURRENT",.0624448751359434
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,10,,"CURRENT",.0101373026476433
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,138,,"CURRENT",.139887596135834
"","Da Brat","Anuthatantrum","Anuthatantrum","So So Def","USSM19603179","SLACKER.COM - EMI","Direct Licensing",01-NOV-14,30-NOV-14,170,,"CURRENT",.0750445985444265
"","Da Brat","Boom","Boom","Arista","USAR10300820","iHeart Media","Webcasting",01-DEC-14,31-DEC-14,,,"PRIOR",.11635067846429
"","Da Brat","Boom","Boom","Arista","USAR10300820","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,157,,"CURRENT",.159147482560333
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SONGZA - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,130,,"CURRENT",.121235535856114
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,614,,"CURRENT",.226438074190731
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,37,,"CURRENT",.0210041852729993
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,1180,,"CURRENT",.435174149096195
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","JANGO.COM - Nonsubscription Webcast","Webcasting",01-NOV-14,31-DEC-14,125,,"CURRENT",.0484995057705093
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,279,,"CURRENT",.158382910572075
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,35,,"CURRENT",.0354805592667511
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,5397,,"CURRENT",3.0637726464426149
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,568,,"CURRENT",.575798790386134
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SONGZA - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,124,,"CURRENT",.115640049585832
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,203,,"CURRENT",.205776681272278
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,1026,,"CURRENT",.378380234722625
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","SLACKER.COM - EMI","Direct Licensing",01-NOV-14,30-NOV-14,201,,"CURRENT",.0887292018084105
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","JANGO.COM - Nonsubscription Webcast","Webcasting",01-NOV-14,31-DEC-14,94,,"CURRENT",.0364963031773399
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,2413,,"CURRENT",1.36981348820938
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,283,,"CURRENT",.286885664928303
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,13,,"CURRENT",.0131778170272888
"","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,372,,"CURRENT",.137190494460834
"","Da Brat","Fuck You","Unrestricted","So So Def","USSM19929833","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,230,,"CURRENT",.233145993559724
"","Da Brat","Funkdafied","","","USSM19402033","L & L BROADCASTING - COLUMBIA, SC","Webcasting",01-JUL-14,31-JUL-14,208,,"CURRENT",.193594612707389
"","Da Brat","Funkdafied","","","USSM19402033","OURTUNEZ.COM - Subscription Webcast","Webcasting",01-JAN-14,31-AUG-14,,,"CURRENT",.022788031889496
"","Da Brat","Funkdafied","","","USSM19402033","MIXCLOUD.COM - Nonsubscription Webcast","Webcasting",01-APR-14,30-SEP-14,,,"CURRENT",.37723212702823571
"","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","SLACKER.COM - EMI","Direct Licensing",01-NOV-14,30-NOV-14,1979,,"CURRENT",.87360741482012
"","Da Brat","Funkdafied","","","USSM19402033","JANGO.COM - Nonsubscription Webcast","Webcasting",01-NOV-14,31-DEC-14,26,,"CURRENT",.01002330718336557
"","Da Brat","Funkdafied","","","USSM19402033","MUSIC CHOICE","Preexisting Services",01-DEC-14,31-DEC-14,,,"CURRENT",6.19870307515171
"","Da Brat","Funkdafied","","","USSM19402033","QUEENB RADIO - INTERNET ONLY","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.045607501539957297
"","Da Brat","Funkdafied","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400530","SONGZA - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,482,,"CURRENT",.449504063712668
"","Da Brat","Funkdafied","","","USSM19402033","CARTER BROADCAST GROUP, INC.","Webcasting",01-DEC-14,31-JAN-15,,,"CURRENT",.2259418147602355
"","Da Brat","Funkdafied","","","USSM19402033","CBS Webcasting","Webcasting",01-DEC-14,31-JAN-15,58,,"CURRENT",.05492224719680696
"","Da Brat","Funkdafied","","","USSM19402033","CUMULUS MEDIA, INC.","Webcasting",01-JAN-15,31-JAN-15,8154,,"CURRENT",6.6384147857675693
"","Da Brat","Funkdafied","","","USSM19402033","JAMMIN983.COM - WJMR","Webcasting",01-JAN-15,31-JAN-15,,,"CURRENT",.131768325
"","Da Brat","Funkdafied","","","USSM19402033","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,12898,,"CURRENT",7.32194545003092
"","Da Brat","Funkdafied","","","USSM19402033","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,1631,,"CURRENT",1.653394061830608
"","Da Brat","Funkdafied","","","USSM19402033","RADIO ONE, INC.","Webcasting",01-DEC-14,31-JAN-15,262,,"CURRENT",.249232793701634
"","Da Brat","Funkdafied","","","USSM19402033","SIRIUS XM ON DEMAND SERVICE","Webcasting",01-JAN-15,31-JAN-15,,,"CURRENT",.208956474143856
"","Da Brat","Funkdafied","","","USSM19402033","SIRIUS XM RADIO, INC","Cable Radio",01-JAN-15,31-JAN-15,,,"CURRENT",2.19394228719384
"","Da Brat","Funkdafied","","","USSM19402033","SIRIUS XM RADIO, INC","Satellite Radio",01-JAN-15,31-JAN-15,,18,"CURRENT",175.0853703785748
"","Da Brat","Funkdafied","","","USSM19402033","SIRIUS XM RADIO, INC - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,,,"CURRENT",4.329105957596481
"","Da Brat","Funkdafied","","","USSM19402033","SONGZA - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,3363,,"CURRENT",3.136270054493156
"","Da Brat","Funkdafied","","","USSM19402033","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-JAN-15,31-JAN-15,103,,"CURRENT",.105127904721254
"","Da Brat","Funkdafied","","","USSM19402033","UNIVISION.COM","Webcasting",01-DEC-14,31-JAN-15,2021,,"CURRENT",2.029306457178085
"","Da Brat","Funkdafied","","","USSM19402033","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,19998.26,,"CURRENT",20.27180085724209
"","Da Brat","Funkdafied","","","USSM19402033","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,38428,,"CURRENT",14.17192559446491
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","MYXERSOCIALRADIO.COM","Webcasting",01-JAN-14,30-APR-14,,,"CURRENT",.0176842527064646
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","CPB/ NPR - CPB/ NPR","Webcasting",01-APR-14,30-JUN-14,,,"PRIOR",.108793183445763
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","MIXCLOUD.COM - Nonsubscription Webcast","Webcasting",01-APR-14,30-SEP-14,,,"CURRENT",.03314548923605688
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","MUSIC CHOICE","Preexisting Services",01-DEC-14,31-DEC-14,,,"CURRENT",8.03535583815963
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","RADIO ONE, INC.","Webcasting",01-DEC-14,31-DEC-14,299,,"CURRENT",.278621211766139
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","CUMULUS MEDIA, INC.","Webcasting",01-JAN-15,31-JAN-15,148,,"CURRENT",.12049121759794
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,6445,,"CURRENT",3.658702002283238
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","PANDORA.COM - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,738,,"CURRENT",.7481329353960687
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","SIRIUS XM ON DEMAND SERVICE","Webcasting",01-JAN-15,31-JAN-15,,,"CURRENT",.06056709395474093
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","SIRIUS XM RADIO, INC - Subscription Webcast","Webcasting",01-JAN-15,31-JAN-15,,,"CURRENT",1.80166282983826
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","SONGZA - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,878,,"CURRENT",.8188061575512913
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","iHeart Media","Webcasting",01-JAN-15,31-JAN-15,451,,"CURRENT",.457168883023632
"","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","iTunes Radio - Universal","Direct Licensing",01-JAN-15,31-JAN-15,2090,,"CURRENT",.770774552212753
"","Da Brat","Got It Poppin'","Limelite, Luv & Niteclubz","Arista","USAR10300647","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JAN-15,31-JAN-15,45,,"CURRENT",.0255456307374311
