"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,25,,"CURRENT",.0141919572723987
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,51,,"CURRENT",.02895159283569317
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,20,,"CURRENT",.02027459098716814
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,27,,"CURRENT",.01532731385419031
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,12,,"CURRENT",.012164754592301
"","DA BRAT","GIVE IT 2 YOU [ORIGINAL REMIX]","GIVE IT 2 YOU","UNKNOWN LABEL","","FUZZ.COM","Webcasting",01-JUN-12,30-JUN-12,,,"PRIOR",.0620040450057469
"","DA BRAT","GIVE IT 2 YOU [ORIGINAL REMIX]","GIVE IT 2 YOU","UNKNOWN LABEL","","FUZZ.COM","Webcasting",01-SEP-13,30-SEP-13,1,,"CURRENT",.0716132080184104
"","DA BRAT","GIVE IT 2 YOU [ORIGINAL REMIX]","GIVE IT 2 YOU","UNKNOWN LABEL","","FUZZ921.COM - WFUZ","Webcasting",01-SEP-13,30-SEP-13,,,"PRIOR",.0142874302560649
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","CENLA BROADCASTING COMPANY","Webcasting",01-FEB-15,28-FEB-15,,,"CURRENT",.0202721094434231
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-FEB-15,28-FEB-15,202,,"CURRENT",.204899577904946
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","ACCURADIO.COM - Nonsubscription Webcast","Webcasting",01-JUL-13,31-AUG-14,,,"CURRENT",.09689306387204709
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iTunes Radio - Universal","Direct Licensing",01-FEB-15,28-FEB-15,296,,"CURRENT",.1034805830641722
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,177,,"CURRENT",.100479057488582
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,45,,"CURRENT",.0456178297211281
"","DA BRAT","NOT TONIGHT [REMIX]","NOTHING TO LOSE","TOMMY BOY","","CBS Webcasting","Webcasting",01-FEB-15,28-FEB-15,30,,"CURRENT",.0306653204941026
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,98,,"CURRENT",.05563247250780218
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,15,,"CURRENT",.01520594324037572
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","iTunes Radio - Universal","Direct Licensing",01-FEB-15,28-FEB-15,42,,"CURRENT",.0146830557050514
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,134,,"CURRENT",.07606889098005605
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,23,,"CURRENT",.02331577963524288
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,1543,,"CURRENT",.8759276028524396
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,164,,"CURRENT",.1662516460947774
"","DA BRAT","SITTIN' ON TOP OF THE WORLD","ANUTHATANTRUM","SONY MUSIC","","iHeart Media","Webcasting",01-FEB-15,28-FEB-15,106,,"CURRENT",.11291077788123
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,2753,,"CURRENT",1.56281833483653
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,313,,"CURRENT",.3172973489491791
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,1674,,"CURRENT",.950293458959808
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,552,,"CURRENT",.559578711245837
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,50753,,"CURRENT",28.8113762978418
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,5495,,"CURRENT",5.57044387372441
"","DA BRAT","WHAT'S ON YA MIND","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,33,,"CURRENT",.018733383599566
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,391,,"CURRENT",.221962211740313
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,45,,"CURRENT",.04561782972112818
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","SLACKER.COM - EMI","Direct Licensing",01-DEC-14,31-JAN-15,349,,"CURRENT",.1374649627659075
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,54,,"CURRENT",.030654627708381
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","iTunes Radio - Universal","Direct Licensing",01-FEB-15,28-FEB-15,1082,,"CURRENT",.378263482687279
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,108,,"CURRENT",.061309255416762
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,15,,"CURRENT",.0152059432403762
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","iHeart Media","Webcasting",01-FEB-15,28-FEB-15,116,,"CURRENT",.123562738058705
"","Da Brat","Anuthatantrum","Anuthatantrum","So So Def","USSM19603179","SLACKER.COM - EMI","Direct Licensing",01-DEC-14,31-JAN-15,374,,"CURRENT",.1487654786217852
"","Da Brat","Boom","Boom","Arista","USAR10300820","iHeart Media","Webcasting",01-FEB-15,28-FEB-15,122,,"CURRENT",.12995391416519
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SONGZA - Subscription Webcast","Webcasting",01-OCT-13,31-DEC-13,38,,"CURRENT",.014487587548242735
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SONGZA - Nonsubscription Webcast","Webcasting",01-OCT-13,28-FEB-15,1139,,"CURRENT",.574193830125957085
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,32,,"CURRENT",.0181657053086702
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","iTunes Radio - Universal","Direct Licensing",01-FEB-15,28-FEB-15,170,,"CURRENT",.0594314159490171
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,66,,"CURRENT",.037466767199132
"","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","iTunes Radio - Universal","Direct Licensing",01-FEB-15,28-FEB-15,1242,,"CURRENT",.434198932992237
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SONGZA - Subscription Webcast","Webcasting",01-OCT-13,31-DEC-13,39,,"CURRENT",.013219715085371552
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SLACKER.COM - EMI","Direct Licensing",01-DEC-14,31-JAN-15,30,,"CURRENT",.0123262454931372
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,432,,"CURRENT",.245237021667047
"","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,58,,"CURRENT",.0587963138627872
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-FEB-15,28-FEB-15,5016,,"CURRENT",2.8474743071340467
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","PANDORA.COM - Subscription Webcast","Webcasting",01-FEB-15,28-FEB-15,578,,"CURRENT",.5859356795291554
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","SONGZA - Nonsubscription Webcast","Webcasting",01-OCT-13,28-FEB-15,837,,"CURRENT",.48705190373576977
"","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","iHeart Media","Webcasting",01-FEB-15,28-FEB-15,181,,"CURRENT",.19280047921229
