"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,21,,"CURRENT",.01192122474693046
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,59,,"CURRENT",.03349296476518653
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,11,,"CURRENT",.01115107225469064
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-APR-15,30-APR-15,252,,"CURRENT",.14305469696316831
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-APR-15,30-APR-15,39,,"CURRENT",.03953561981208497
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-FEB-15,30-APR-15,11,,"CURRENT",.01129879227736732
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-APR-15,30-APR-15,119,,"CURRENT",.121186884147133
"","DA BRAT","GIVE IT TO YOU REMIX","FUNKDAFIED","SONY","","SIRIUS XM RADIO, INC","Cable Radio",01-MAR-15,31-MAR-15,,,"PRIOR",.119617675548195
"","DA BRAT","GIVE IT TO YOU REMIX","FUNKDAFIED","SONY","","SIRIUS XM RADIO, INC","Satellite Radio",01-MAR-15,31-MAR-15,,,"PRIOR",10.054688724605
"","DA BRAT","GIVE IT TO YOU REMIX","FUNKDAFIED","SONY","","SIRIUS XM RADIO, INC - Subscription Webcast","Webcasting",01-MAR-15,31-MAR-15,,,"PRIOR",.245969307933981
