"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,151,,"CURRENT",.0857188830639626
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,24,,"CURRENT",.0243295669589402
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.0107013623320563
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","JANGO.COM - Nonsubscription Webcast","Webcasting",01-MAR-15,30-JUN-15,,,"CURRENT",.01320955385258481
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,54,,"CURRENT",.0306544350030065
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,16,,"CURRENT",.0162197113059603
"","DA BRAT","BOOM (RADIO MIX)","BOOM","SONY MUSIC","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.0164404108312708875
"","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","CPB/ NPR - CPB/ NPR","Webcasting",01-APR-15,30-JUN-15,,,"CURRENT",.073017167781494
"","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","SLACKER.COM","Webcasting",01-MAY-15,30-JUN-15,1559,,"CURRENT",1.460343835173459
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","ADMIN TRUE UP","Satellite Radio",01-JAN-14,31-DEC-14,,,"CURRENT",.491853437963148
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.0128296512934417
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.02731241322165453
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","CENLA BROADCASTING COMPANY","Webcasting",01-JUN-15,30-JUN-15,,,"CURRENT",.032468400900349
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","L & L BROADCASTING - COLUMBIA, SC","Webcasting",01-JUN-15,30-JUN-15,33,,"CURRENT",.0334488220700522
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","LIVE365.COM - Subscription & Nonsubscription Webcast","Webcasting",01-MAY-15,30-JUN-15,18,,"CURRENT",.01827540539674606
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-JUN-15,30-JUN-15,173,,"CURRENT",.1758879161364692
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.022749267395376872
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iHeartRadio","Webcasting",01-JUN-15,30-JUN-15,50.66,,"CURRENT",.0513530574160283
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,53,,"CURRENT",.0300867602807284
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,21,,"CURRENT",.0212883710890724
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,562,,"CURRENT",.319033193920177
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,249,,"CURRENT",.2524192571990033
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,55,,"CURRENT",.03122210972528447
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,11,,"CURRENT",.01115105152284771
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.10352006639932104
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,2673,,"CURRENT",1.5173945326488206
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,360,,"CURRENT",.364943504384101
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,2129,,"CURRENT",1.20857948372964
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,609,,"CURRENT",.617362761583104
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","UNIVISION.COM","Webcasting",01-JUN-15,30-JUN-15,4022,,"CURRENT",4.11883803312419
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,48735,,"CURRENT",27.6656275902133
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,5816,,"CURRENT",5.89586505971647
"","DA BRAT","WHATCHA","","UNKNOWN LABEL","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.0506968987270171
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.039884166174063
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,181,,"CURRENT",.1027491247322997
"","DA BRAT","WORLD PREMIERE","LIMELITE, LUV & NITECLUBZ","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,20,,"CURRENT",.02027463913244983
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","SLACKER.COM - EMI","Direct Licensing",01-MAY-15,30-JUN-15,281,,"CURRENT",.0973348865493021
"","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","iTunes Radio - Universal","Direct Licensing",01-JUN-15,30-JUN-15,1912,,"CURRENT",.667720347844408
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","ADMIN TRUE UP","Webcasting",01-JAN-14,31-DEC-14,,,"CURRENT",.013034641244567835
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,60,,"CURRENT",.0340604833366736
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","PANDORA.COM - Subscription Webcast","Webcasting",01-JUN-15,30-JUN-15,12,,"CURRENT",.0121647834794699
"","Da Brat","All My Bitches","Unrestricted","So So Def","USSM19929832","iHeartRadio","Webcasting",01-JUN-15,30-JUN-15,226,,"CURRENT",.229091807659344
"","Da Brat","Anuthatantrum","Anuthatantrum","So So Def","USSM19603179","SLACKER.COM - EMI","Direct Licensing",01-MAY-15,30-JUN-15,641,,"CURRENT",.2207540347565167
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","SONGZA - Nonsubscription Webcast","Webcasting",01-JUN-15,30-JUN-15,,,"CURRENT",.110977626459367
"","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","iHeartRadio","Webcasting",01-JUN-15,30-JUN-15,18,,"CURRENT",.0182462501675584
"","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","SLACKER.COM - EMI","Direct Licensing",01-MAY-15,30-JUN-15,86,,"CURRENT",.0298681816382172
