"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","Google Play Music","Webcasting",01-JUN-15,31-JUL-15,,,"CURRENT",.03543782492972489
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,30,,"CURRENT",.01703024075922319
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,49,,"CURRENT",.02781605990673111
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,99,,"CURRENT",.05619979450543553
"","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","SLACKER.COM","Webcasting",01-JUL-15,31-JUL-15,892,,"CURRENT",.833527473214758
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","SIRIUS XM RADIO, INC","Cable Radio",01-JUL-15,31-JUL-15,,,"CURRENT",.703558608420821
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","SIRIUS XM RADIO, INC","Satellite Radio",01-JUL-15,31-JUL-15,,6,"CURRENT",62.3291731253596
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","SIRIUS XM RADIO, INC - Subscription Webcast","Webcasting",01-JUL-15,31-JUL-15,,,"CURRENT",1.68086222706954
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","CBS Webcasting","Webcasting",01-APR-15,30-JUN-15,2095,,"CURRENT",2.14075787689488
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-JUL-15,31-JUL-15,267,,"CURRENT",.27147354952337468
"","DA BRAT","IN LOVE WIT CHEW (CLEAN EDIT)","COMP PROMO","SO SO DEF","","IMVU.COM","Webcasting",01-SEP-14,30-APR-15,379,,"CURRENT",.355195412238411
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iHeartRadio","Webcasting",01-JUL-15,31-JUL-15,73.43,,"CURRENT",.0744343826257846
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iTunes Radio - Universal","Direct Licensing",01-JUL-15,31-JUL-15,32,,"CURRENT",.013368877631442
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,88,,"CURRENT",.0499553728937207
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUL-15,31-JUL-15,24,,"CURRENT",.0243296448664021
"","DA BRAT","NOT TONIGHT [REMIX]","NOTHING TO LOSE","TOMMY BOY","","CBS Webcasting","Webcasting",01-MAR-15,30-JUN-15,25,,"CURRENT",.02554387222269201
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,59,,"CURRENT",.03349280682647172
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUL-15,31-JUL-15,11,,"CURRENT",.01115108723043417
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,49,,"CURRENT",.02781605990673072
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","iTunes Radio - Universal","Direct Licensing",01-JUL-15,31-JUL-15,28,,"CURRENT",.0116977679275122
"","DA BRAT","THAT'S WHAT I'M LOOKING FOR (CLEAN)","SINGLE","SO SO DEF","","IMVU.COM","Webcasting",01-SEP-14,30-APR-15,710,,"CURRENT",.6640568650712891
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,2798,,"CURRENT",1.5883537881435321
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUL-15,31-JUL-15,396,,"CURRENT",.4014391402956361
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,2909,,"CURRENT",1.65136567895265
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUL-15,31-JUL-15,823,,"CURRENT",.834304071877042
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,65131,,"CURRENT",36.9732203629651
"","DA BRAT","WHAT'CHU LIKE","UNRESTRICTED [EXPLICIT]","SONY","","PANDORA.COM - Subscription Webcast","Webcasting",01-JUL-15,31-JUL-15,8025,,"CURRENT",8.13522500220323
"","DA BRAT","WHAT'CHU LIKE - (FEATURING TYRESE)","UNRESTRICTED","SONY MUSIC","","IMVU.COM","Webcasting",01-OCT-14,30-APR-15,1068,,"CURRENT",.998970187083809
"","DA BRAT","WHAT'S ON YA MIND","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-JUL-15,31-JUL-15,19,,"CURRENT",.010785819147507935
"","DA BRAT","WHATCHA","","UNKNOWN LABEL","","CBS Webcasting","Webcasting",01-MAR-15,30-JUN-15,2972,,"CURRENT",3.037240450290384
