"TYPE","ARTIST_NAME","TRACK_NAME","ALBUM_NAME","LABEL_NAME","ISRC","LICENSEE_NAME","LICENSE_SERVICE_NAME","START_DATE","END_DATE","NUM_PERFORMANCES","NUM_SPINS","DISTRIBUTION_TYPE","YOUR_AMOUNT"
"","22 ♦ Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,65,,"CURRENT",.03689896819021889
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,147,,"CURRENT",.08344843575326322
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-SEP-15,30-SEP-15,14,,"CURRENT",.01419232509545409
"","DA BRAT","BACK UP","UNRESTRICTED","SO SO DEF","","iTunes Radio - Warner (additional)","Direct Licensing",01-SEP-15,30-SEP-15,170,,"CURRENT",.0911927329465437
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,76,,"CURRENT",.04314340896087125
"","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","ARISTA RECORDS, INC.","","PANDORA.COM - Subscription Webcast","Webcasting",01-SEP-15,30-SEP-15,25,,"CURRENT",.02534343767045408
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","SIRIUS XM RADIO, INC","Cable Radio",01-SEP-15,30-SEP-15,,,"CURRENT",.762535989055219
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","SIRIUS XM RADIO, INC","Satellite Radio",01-SEP-15,30-SEP-15,,6,"CURRENT",64.623503413441
"","DA BRAT","FUNKDAFIED (CLEAN)","DA BRAT","COLUMBIA","","SIRIUS XM RADIO, INC - Subscription Webcast","Webcasting",01-SEP-15,30-SEP-15,,,"CURRENT",1.78769196222088
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","CENLA BROADCASTING COMPANY","Webcasting",01-SEP-15,30-SEP-15,,,"CURRENT",.0103834373056249
"","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","TOWNSQUARE MEDIA BROADCASTING","Webcasting",01-SEP-15,30-SEP-15,15,,"CURRENT",.0152697075372054
"","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","iTunes Radio - Warner (additional)","Direct Licensing",01-SEP-15,30-SEP-15,755,,"CURRENT",.40500301985083
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,96,,"CURRENT",.0544969376347843
"","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","PANDORA.COM - Subscription Webcast","Webcasting",01-SEP-15,30-SEP-15,34,,"CURRENT",.0344670752318173
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,46,,"CURRENT",.02611311595000097
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-SEP-15,30-SEP-15,10,,"CURRENT",.0101373750681816
"","DA BRAT","PINK LEMONADE","UNRESTRICTED","SO SO DEF","","iTunes Radio - Warner (additional)","Direct Licensing",01-SEP-15,30-SEP-15,28,,"CURRENT",.0150199795441368
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,55,,"CURRENT",.03122220385326168
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","iTunes Radio - Universal","Direct Licensing",01-SEP-15,30-SEP-15,23,,"CURRENT",.0111004065399123
"","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","iTunes Radio - Warner (additional)","Direct Licensing",01-SEP-15,30-SEP-15,85,,"CURRENT",.0455963664732723
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,2773,,"CURRENT",1.574166750638099
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","PANDORA.COM - Subscription Webcast","Webcasting",01-SEP-15,30-SEP-15,340,,"CURRENT",.3446707523181723
"","DA BRAT","WE READY","UNRESTRICTED","SO SO DEF","","iTunes Radio - Warner (additional)","Direct Licensing",01-SEP-15,30-SEP-15,133,,"CURRENT",.0713449028346498
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","UNIVISION.COM","Webcasting",01-JUL-15,31-AUG-15,6707,,"CURRENT",6.82552204663539
"","DA BRAT","WHAT 'CHU LIKE","UNRESTRICTED","SONY MUSIC","","PANDORA.COM - Nonsubscription Webcast","Webcasting",01-SEP-15,30-SEP-15,3205,,"CURRENT",1.81940296999463
