"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX31026N2G","Da Brat","Funkdafied","","","USSM19402033","","CBS RADIO - WEBCASTING","Webcasting","01-FEB-16","29-FEB-16","842","","CURRENT",.2912985,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","ALPHA MEDIA - DAYTON, OH","Webcasting","01-DEC-15","31-DEC-15","","","CURRENT",.0448875,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","Total","Rhino Atlantic","USBB40581128","603497927555","SIRIUS XM RADIO, INC","Webcasting","01-FEB-16","29-FEB-16","","","CURRENT",.90751838,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","CRYSTALMEDIANETWORKS.COM","Webcasting","01-NOV-11","30-NOV-11","","","CURRENT",.41249475,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","MUSIC CHOICE","PES","01-FEB-16","29-FEB-16","","","CURRENT",5.2039575,"",
"","SX2100ELZS","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927446","074646977224","SLACKER.COM","Direct Licensing","01-FEB-16","29-FEB-16","","","CURRENT",.236655,"",
"","SX2100ELZW","Da Brat  Millie Jackson  Twista","Intro","Unrestricted","So So Def","USSM19929824","074646977224","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","44","","CURRENT",.03150675,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Rhino Atlantic","USBB40581128","603497927555","IHEART.COM - WMG","Direct Licensing","01-JAN-16","31-JAN-16","","","CURRENT",2.857545,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","ACCURADIO.COM","Webcasting","01-JAN-16","31-JAN-16","","","CURRENT",.500517,"",
"","SX2100D8A2","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","074646616420","SLACKER.COM","Direct Licensing","01-JAN-16","31-JAN-16","","","CURRENT",.06876,"",
"","SX2100D8A2","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","074646616420","JANGO.COM","Webcasting","01-DEC-15","31-DEC-15","","","CURRENT",.01833975,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","SIRIUS XM RADIO, INC","Cable Radio","01-FEB-16","29-FEB-16","","","CURRENT",2.007369,"",
"","SX31007IE2","DA BRAT","WHATCHA","","","","","CBS RADIO - WEBCASTING","Webcasting","01-FEB-16","29-FEB-16","122","","CURRENT",.08443125,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","CRYSTALMEDIANETWORKS.COM","Webcasting","01-APR-12","30-APR-12","","","CURRENT",.2584665,"",
"","SX31000NJQ","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","","SLACKER.COM","Webcasting","01-OCT-15","31-OCT-15","795","","CURRENT",.74628675,"",
"","SX2107VZKD","Da Brat","Just A Little Bit More","Anuthatantrum","So So Def","USSM19603184","9399700017960","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","505","","CURRENT",.35982675,"",
"","SX3101HMLD","DRU HILL/DA BRAT/JD","IN MY BED (REMIX)","SO SO DEF: DEFINITION OF A REMIX","SONY","","","SIRIUS XM RADIO, INC","Cable Radio","01-FEB-16","29-FEB-16","","","CURRENT",.2230856,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","CRYSTALMEDIANETWORKS.COM","Webcasting","01-JAN-12","31-JAN-12","","","CURRENT",.16967475,"",
"","SX3101JZ6R","DA BRAT","RUNNIN' OUT OF TIME","UNRESTRICTED","SO SO DEF","","","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","93","","CURRENT",.06664725,"",
"","SX3102DTYW","DA BRAT/NOTORIOUS B.I.G.","DA B SIDE DA BRAT","THE ULTIMATE R&B COLLECTION","WARNER MUSIC GROUP","","","SIRIUS XM RADIO, INC","Webcasting","01-FEB-16","29-FEB-16","","","CURRENT",.21257438,"",
"","SX3102MB9Z","DA BRAT","BOOM","LIMELITE, LUV & NITECLUBZ","","","","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","27","","CURRENT",.0194085,"",
"","SX2100D879","Da Brat","Gushy Wushy","Limelite, Luv & Niteclubz","Arista","USAR10300651","888880307965","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","404","","CURRENT",.3042945,"",
"","SX3101BKUZ","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","IMVU.COM","Webcasting","01-AUG-15","31-AUG-15","58","","CURRENT",.0544635,"",
"","SX3102XZXJ","DA BRAT/TYRESE","WHAT'CHU LIKE","SINGLE","SO SO DEF","","","SIRIUS XM RADIO, INC","SDARS","01-FEB-16","29-FEB-16","","1","CURRENT",6.1372755,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","CRYSTALMEDIANETWORKS.COM","Webcasting","01-FEB-12","29-FEB-12","","","CURRENT",.1560375,"",
"","SX2100D8A3","Da Brat","Mind Blowin'","Funkdafied","So So Def/Work","USSM10020893","074646616420","SLACKER.COM","Direct Licensing","01-JAN-16","31-JAN-16","","","CURRENT",.07776,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","WJMR","Webcasting","01-APR-13","30-APR-13","","","CURRENT",.0395865,"",
"","SX31000NJQ","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","","SLACKER.COM","Webcasting","01-JAN-16","31-JAN-16","949","","CURRENT",.6534765,"",
"","SX3100FNCC","Da Brat  Jermaine Dupri  Lil Bow Wow","You Know Me","","","USSM10014527","","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","214","","CURRENT",.0494574,"",
"","SX31010929","MISSY ELLIOTT & DA BRAT","SOCK IT TO ME","FOREIGN ROYALTIES - NO ALBUM PROVIDED","","","","RADIO ONE, INC.","Webcasting","01-DEC-15","31-DEC-15","3284","","CURRENT",1.72075162,"",
"","SX2104D2E3","Da Brat  Missy Elliott","Sock It 2 Me","","","USEW19706203","","ALPHA MEDIA - LOUISVILLE, KY","Webcasting","01-APR-15","30-APR-15","","","CURRENT",1.94578762,"",
"","SX3102UZ1C","Da Brat","That's What I'm Looking For","Unrestricted","Columbia","USSM19924161","5099749178021","SLACKER.COM","Direct Licensing","01-JAN-16","31-JAN-16","","","CURRENT",.06462,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","Total","Rhino Atlantic","USBB40581128","603497927555","SIRIUS XM RADIO, INC","Cable Radio","01-FEB-16","29-FEB-16","","","CURRENT",.40146525,"",
"","SX31004VLW","BRANDY/SHAUNTA/DA BRAT","U DON'T KNOW ME (LIKE U USED TO) (REMIX)","NEVER SAY NEVER","ATLANTIC/WARNER","","","ACCURADIO.COM","Webcasting","01-JAN-16","31-JAN-16","","","CURRENT",.05002675,"",
"","SX2104D2E3","Da Brat  Missy Elliott","Sock It 2 Me","","","USEW19706203","","ALPHA MEDIA - LOUISVILLE, KY","Webcasting","01-MAY-15","31-MAY-15","","","CURRENT",2.13138675,"",
"","SX3100WS86","LIL' KIM/LEFT EYE/DA BRAT/MISSY ELLIOT/ANGIE MARTINEZ","LADIES NIGHT","","","","","ALPHA MEDIA - LOUISVILLE, KY","Webcasting","01-APR-15","30-APR-15","","","CURRENT",.94148325,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","","","USBB40581128","","SLACKER.COM","Direct Licensing","01-FEB-16","29-FEB-16","","","CURRENT",.469575,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","","","USSM19927449","","RADIO ONE, INC.","Webcasting","01-DEC-15","31-DEC-15","855","","CURRENT",.44799862,"",
"","SX3102XZXJ","DA BRAT/TYRESE","WHAT'CHU LIKE","SINGLE","SO SO DEF","","","SIRIUS XM RADIO, INC","Webcasting","01-FEB-16","29-FEB-16","","","CURRENT",.07034512,"",
"","SX2104D2E3","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly / Da Real World","East/West","USEW19706203","075596269629","Google Play Music","Webcasting","01-FEB-16","29-FEB-16","","","CURRENT",3.18788888,"",
"","SX31019LTM","Cherish  Da Brat","In Love Wit Chu","Limelite, Luv & Niteclubz","Arista","USAR10300127","888880307965","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","169","","CURRENT",.06111112,"",
"","SX2104D2E3","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly / Da Real World","East/West","USEW19706203","075596269629","MUSIC CHOICE","PES","01-FEB-16","29-FEB-16","","","CURRENT",.39028612,"",
"","SX3101BKUZ","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","PANDORA.COM","Webcasting","01-FEB-16","29-FEB-16","9451","","CURRENT",6.70734675,"",
"","SX3103KOFD","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","SLACKER.COM","Webcasting","01-NOV-15","30-NOV-15","14937","","CURRENT",14.0263605,"",
"","SX31019LTM","Cherish  Da Brat","In Love Wit Chu","Limelite, Luv & Niteclubz","Arista","USAR10300127","888880307965","SLACKER.COM","Direct Licensing","01-JAN-16","31-JAN-16","","","CURRENT",.014895,"",
