"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX2107VZK4","Da Brat","Sittin' On Top Of The World","","","USSM19603181","","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","1116","","CURRENT",.75186,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","COX RADIO INTERACTIVE","Webcasting","01-APR-17","30-APR-17","1646","","CURRENT",.59941912,"",
"","SX2100EA55","Dru Hill","In My Bed","Never Make A Promise","Island Records Ltd","USIR29700123","602527069753","Google Play Music","Webcasting","01-APR-17","30-APR-17","610","","CURRENT",.1369984,"",
"","SX3100DZTT","DRU HILL/DA BRAT/JERMAINE DUPRI","SLEEPING IN MY BED (REMIX)","DRU HILL","DEF SOUL","","","WJMR","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.06266979,"",
"","SX2100D82C","Da Brat","Funkdafied","","","USSM19400534","","PANDORA.COM - Nonsubscription Webcast","Webcasting","01-APR-17","30-APR-17","86","","CURRENT",.05792625,"",
"","SX2100HLUK","Da Brat  JD  Mariah Carey","Honey","","","USSM19701795","","IMVU.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.02045283,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","MUSIC CHOICE","PES","01-APR-17","30-APR-17","","","CURRENT",.21917925,"",
"","SX2100EA55","Da Brat  Dru Hill  JD","In My Bed","","","USIR29700123","","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.01902755,"",
"","SX3101BCFI","LIL' KIM/LEFT EYE/DA BRAT/MISSY ELLIOT/ANGIE MARTINEZ","NOT TONIGHT (REMIX)","NOTHING TO LOSE [ST]","TOMMY BOY MUSIC","","","SIRIUS XM RADIO, INC","Webcasting","01-APR-17","30-APR-17","","","CURRENT",1.1012742,"",
"","SX3100K02S","Bow Wow  Da Brat  Dem Franchize Boyz  Jermaine Dupri  The Kid Slim","I Think They Like Me","","","USVI20500231","","SIRIUS XM RADIO, INC","Cable Radio","01-APR-17","30-APR-17","","","CURRENT",.13744125,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.02532938,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.150993,"",
"","SX3101HMLD","DRU HILL/DA BRAT/JD","IN MY BED (REMIX)","SO SO DEF: DEFINITION OF A REMIX","SONY","","","SIRIUS XM RADIO, INC","SDARS","01-APR-17","30-APR-17","","2","CURRENT",8.96251989,"",
"","SX31018Q5U","Dru Hill","In My Bed","12'' Club Classics - 90s R&B","Island Records Ltd","USIR29700123","600753341421","RADIONOMY.COM","Webcasting","01-APR-17","30-APR-17","74","","CURRENT",.01664732,"",
"","SX2100D8A8","Da Brat","May Da Funk Be Wit 'Cha","Funkdafied","So So Def/Work","USSM10024867","074646616420","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.014535,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300628","DEEZER.COM","Webcasting","01-DEC-15","31-DEC-15","","","RESTATEMENT",.03080138,"",
"","SX2100YPXN","Brooke Valentine  Da Brat  Lil Jon  Miss B  Remy Ma","Girlfight","","","USVI20500128","","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.01288912,"",
"","SX2100D8A2","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","074646616420","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","1328","","CURRENT",.89469,"",
"","SX3100MOSW","Da Brat  T-Boz","Ghetto Love","Anuthatantrum","So So Def","USSM19603186","9399700017960","SIRIUS XM ON DEMAND SERVICE","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.34794225,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","DEEZER.COM","Webcasting","01-SEP-15","30-SEP-15","","","RESTATEMENT",.01628775,"",
"","SX31000R2U","DRU HILL/DA BRAT","IN MY BED REMIX","","","","","CUMULUS MEDIA, INC.","Webcasting","01-APR-17","30-APR-17","53","","CURRENT",.01891688,"",
"","SX2100ELZV","Da Brat","Fuck You","Unrestricted","So So Def","USSM19929833","074646977224","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.01184175,"",
"","SX2100HLUJ","Mariah Carey","Always Be My Baby","The Remixes","Columbia","USSM19502477","5099751075424","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","587","","CURRENT",.13180682,"",
"","SX2100EA55","Da Brat  Dru Hill  JD","In My Bed","","","USIR29700123","","Pandora - Universal","Direct Licensing","01-APR-17","30-APR-17","43033","","CURRENT",9.66568276,"",
"","SX2100ELZT","Da Brat","That's What I'm Looking For","Unrestricted","Columbia","USSM19924161","5099749178021","DEEZER.COM","Webcasting","01-AUG-15","31-AUG-15","","","RESTATEMENT",.04168125,"",
"","SX2100ELZV","Da Brat","Fuck You","Unrestricted","So So Def","USSM19929833","074646977224","IMVU.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.028557,"",
"","SX2100ELZR","Da Brat  Mystikal","Hands In The Air","Unrestricted","So So Def","USSM19929830","074646977224","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","35","","CURRENT",.01179,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","DEEZER.COM","Webcasting","01-JUN-15","30-JUN-15","","","RESTATEMENT",.01686488,"",
"","SX2100D8AA","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","074646616420","DEEZER.COM","Webcasting","01-SEP-15","30-SEP-15","","","RESTATEMENT",.02723175,"",
"","SX310287QJ","DA BRAT","WHAT'CHU LIKE - (FEATURING TYRESE)","UNRESTRICTED","SO SO DEF","","","IMVU.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.0546345,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","CALMRADIO.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.01600988,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","TOWNSQUARE MEDIA BROADCASTING","Webcasting","01-APR-17","30-APR-17","46","","CURRENT",.0313785,"",
"","SX31019LTM","Cherish  Da Brat","In Love Wit Chu","Limelite, Luv & Niteclubz","Arista","USAR10300127","888880307965","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","90","","CURRENT",.03033,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","DEEZER.COM","Webcasting","01-JUL-15","31-JUL-15","","","RESTATEMENT",.02052,"",
"","SX2100D8AA","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","074646616420","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","4207","","CURRENT",2.83428,"",
"","SX2106RWFQ","Total feat. Da Brat","No One Else (Instrumental Version)","","","USPSU1248121","","CUMULUS MEDIA, INC.","Webcasting","01-APR-17","30-APR-17","32","","CURRENT",.01141425,"",
"","SX2100ELZS","Da Brat  Tyrese","What'chu Like","","","USSM19927446","","RADIONOMY.COM","Webcasting","01-APR-17","30-APR-17","53","","CURRENT",.0178695,"",
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","SIRIUS XM ON DEMAND SERVICE","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.6452685,"",
"","SX2104D2E3","Da Brat  Missy Elliott","Sock It 2 Me (feat. Da Brat)","","","USEW19706203","","EMMIS LOS ANGELES","Webcasting","01-NOV-16","30-NOV-16","","","CURRENT",.02926238,"",
"","SX2100EA55","Dru Hill","In My Bed","Never Make A Promise","Island Records Ltd","USIR29700123","731457208229","DEEZER.COM","Webcasting","01-JUN-15","30-JUN-15","","","RESTATEMENT",.05012727,"",
"","SX3102VRYA","DA BRAT/MARIAH CAREY/XSCAPE","ALWAYS BE MY BABY (REMIX)","KEEP IT LOCKED TO MIDNIGHT EXPRESS RADIO","UMVD IMPORT","","","RADIO ONE, INC.","Webcasting","01-MAY-17","31-MAY-17","1303","","CURRENT",.28321892,"",
"","SX2100D82A","Da Brat","Funkdafied","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400530","074646792223","DEEZER.COM","Webcasting","01-JUL-15","31-JUL-15","","","RESTATEMENT",.010944,"",
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","RADIO NOW, LLC","Webcasting","01-MAR-17","31-MAR-17","","","CURRENT",.13658625,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","CUMULUS MEDIA, INC.","Webcasting","01-APR-17","30-APR-17","397","","CURRENT",.14173762,"",
"","SX31009KZJ","DA BRAT/NOTORIOUS B.I.G.","DA B SIDE","BAD BOYS SOUNDTRACK","","","","Google Play Music","Webcasting","01-APR-17","30-APR-17","1409","","CURRENT",.47463188,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","CBS Webcasting","Webcasting","01-APR-17","30-APR-17","40","","CURRENT",.01361588,"",
"","SX2100D8A6","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","074646616420","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","48","","CURRENT",.03231,"",
"","SX3100MOSW","Da Brat  T-Boz","Ghetto Love","Anuthatantrum","So So Def","USSM19603186","9399700017960","SIRIUS XM RADIO, INC","Cable Radio","01-APR-17","30-APR-17","","","CURRENT",.769671,"",
"","SX2100D823","Da Brat","Fa All Y'All","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400535","074646792223","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","50","","CURRENT",.03366,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","DEEZER.COM","Webcasting","01-SEP-15","30-SEP-15","","","RESTATEMENT",.19797525,"",
"","SX2100D8A8","Da Brat","May Da Funk Be Wit 'Cha","Funkdafied","So So Def/Work","USSM10024867","074646616420","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","301","","CURRENT",.20277,"",
"","SX3101BP8Y","DA BRAT","IN LOVE WIT CHU","LIMELITE, LUV AND NITECLUBZ","ARISTA RECORDS, INC.","","","iHeartRadio","Webcasting","01-APR-17","30-APR-17","828","","CURRENT",.55784475,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","","","USEW19709503","","RADIO ONE, INC.","Webcasting","01-APR-17","30-APR-17","1466","","CURRENT",.48390862,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","DEEZER.COM","Webcasting","01-NOV-15","30-NOV-15","","","RESTATEMENT",.4216005,"",
"","SX3102WUZ4","DRU HILL/DA BRAT/JERMAINE DUPRI","IN MY BED","SO SO DEF PRESENTS: DEFINITION OF A REMIX (EXPLICIT)","SO SO DEF","","","RADIO ONE, INC.","Webcasting","01-MAY-17","31-MAY-17","486","","CURRENT",.10567062,"",
"","SX2100MFD8","Da Brat  Jermaine Dupri  Krayzie Bone","Don't Hate On Me","The Collection Volume Two","Epic","USSM19801129","9399700082555","DEEZER.COM","Webcasting","01-AUG-15","31-AUG-15","","","RESTATEMENT",.01018773,"",
"","SX2100ELZQ","Da Brat  LaTocha Scott  Trey Lorenz","High Come Down","Unrestricted","Columbia","USSM19929831","5099749178021","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","445","","CURRENT",.29979,"",
"","SX2100D824","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","DEEZER.COM","Webcasting","01-JUL-15","31-JUL-15","","","RESTATEMENT",.01002488,"",
"","SX3102XZXJ","DA BRAT/TYRESE","WHAT'CHU LIKE","SINGLE","SO SO DEF","","","SIRIUS XM RADIO, INC","Cable Radio","01-APR-17","30-APR-17","","","CURRENT",.87964537,"",
"","SX2100V3R5","Da Brat & Bow Wow  Dem Franchize Boyz feat. Jermaine Dupri","I Think They Like Me","On Top Of Our Game","Virgin Records America","USVI20500231","094635970425","DEEZER.COM","Webcasting","01-DEC-15","31-DEC-15","","","RESTATEMENT",.0481878,"",
"","SX2100D82A","Da Brat","Funkdafied","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400530","074646792223","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.014535,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","","","USSM19927449","","WJMR","Webcasting","01-FEB-16","29-FEB-16","","","CURRENT",.10894837,"",
"","SX2100D8AA","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","074646616420","DEEZER.COM","Webcasting","01-AUG-15","31-AUG-15","","","RESTATEMENT",.015732,"",
"","SX2100D8A5","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","074646616420","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.0110295,"",
"","SX3101BKUZ","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","IMVU.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.04792275,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","IMVU.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.07143525,"",
"","SX2104D2E3","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly","Elektra Entertainment Group","USEW19706203","075596206242","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.10914075,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300628","DEEZER.COM","Webcasting","01-JUN-15","30-JUN-15","","","RESTATEMENT",.03507638,"",
"","SX2100EA55","Dru Hill","In My Bed","Y'all Know What This Is...The Hits","Island Urban Music/SO SO DEF","USIR29700123","602517500136","DEEZER.COM","Webcasting","01-MAR-15","31-MAR-15","","","RESTATEMENT",.01041883,"",
"","SX31010929","MISSY ELLIOTT & DA BRAT","SOCK IT TO ME","FOREIGN ROYALTIES - NO ALBUM PROVIDED","","","","RADIO ONE, INC.","Webcasting","01-APR-17","30-APR-17","529","","CURRENT",.17461238,"",
"","SX2100D8A4","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","074646616420","MIXCLOUD.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.1488555,"",
"","SX2100C9O8","Da Brat  Omarion","Ice Box","","","USSM10700577","","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","6207","","CURRENT",2.09088,"",
"","SX2100EA55","Da Brat  Dru Hill  JD","In My Bed","","","USIR29700123","","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.02122249,"",
"","SX2100D825","Da Brat","Sittin' On Top Of The World","","","USSM19603744","","iHeartRadio","Webcasting","01-APR-17","30-APR-17","116","","CURRENT",.078147,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","DEEZER.COM","Webcasting","01-AUG-15","31-AUG-15","","","RESTATEMENT",.15377175,"",
"","SX2100D824","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.02485912,"",
"","SX2100D8A5","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","074646616420","Pandora - SONY","Direct Licensing","01-APR-17","30-APR-17","75","","CURRENT",.05049,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","DEEZER.COM","Webcasting","01-NOV-15","30-NOV-15","","","RESTATEMENT",.01194862,"",
"","SX31022L01","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","","PANDORA.COM - Subscription Webcast","Webcasting","01-APR-17","30-APR-17","29","","CURRENT",.02526525,"",
"","SX3100MOSW","Da Brat  T-Boz","Ghetto Love","Anuthatantrum","So So Def","USSM19603186","9399700017960","SIRIUS XM RADIO, INC","Webcasting","01-APR-17","30-APR-17","","","CURRENT",2.55401325,"",
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","JANGO.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.01611675,"",
"","SX2100EA55","Dru Hill","In My Bed","Never Make A Promise","Island Records Ltd","USIR29700123","731457208229","DEEZER.COM","Webcasting","01-MAR-15","31-MAR-15","","","RESTATEMENT",.01815814,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","WJMR","Webcasting","01-FEB-16","29-FEB-16","","","CURRENT",.20344725,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","DEEZER.COM","Webcasting","01-MAR-15","31-MAR-15","","","RESTATEMENT",.048222,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300628","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.03956512,"",
"","SX2107VZK5","Da Brat","Let's All Get High","Anuthatantrum","So So Def","USSM19603182","9399700017960","JANGO.COM","Webcasting","01-MAR-17","31-MAR-17","","","CURRENT",.01141425,"",
"","SX2100D8A7","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","074646616420","DEEZER.COM","Webcasting","01-NOV-15","30-NOV-15","","","RESTATEMENT",.010089,"",
"","SX2100D7LB","Da Brat  Mariah Carey  Missy Elliott","Heartbreaker (Remix)","Rainbow","Columbia","USSM19907865","074646380024","MIXCLOUD.COM","Webcasting","01-APR-17","30-APR-17","","","CURRENT",.05927407,"",
"","SX2104D2E3","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly","Elektra Entertainment Group","USEW19706203","075596206242","DEEZER.COM","Webcasting","01-AUG-15","31-AUG-15","","","RESTATEMENT",.09958612,"",
"","SX2100D8A2","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","074646616420","DEEZER.COM","Webcasting","01-OCT-15","31-OCT-15","","","RESTATEMENT",.0202635,"",
"","SX2100V18W","Bow Wow  Da Brat  Dem Franchize Boyz  Jermaine Dupri","I Think They Like Me (Screwed & Chopped)","On Top Of Our Game (Screwed & Chopped)","Virgin Records Ltd","USVI20600159","094636270753","Pandora - Universal","Direct Licensing","01-APR-17","30-APR-17","6420","","CURRENT",1.0812825,"",
"","SX2100D8A7","Da Brat","Da Shit Ya Can't Fuc Wit","Funkdafied","So So Def/Work","USSM10024868","074646616420","DEEZER.COM","Webcasting","01-MAY-15","31-MAY-15","","","RESTATEMENT",.01090125,"",
"","SX3101BCFI","LIL' KIM/LEFT EYE/DA BRAT/MISSY ELLIOT/ANGIE MARTINEZ","NOT TONIGHT (REMIX)","NOTHING TO LOSE [ST]","TOMMY BOY MUSIC","","","SIRIUS XM RADIO, INC","Cable Radio","01-APR-17","30-APR-17","","","CURRENT",.7037163,"",
"","SX2100D82D","Da Brat","Give It 2 You","","","USSM19400533","","ENTERCOM COMMUNICATIONS CORP.","Webcasting","01-APR-17","30-APR-17","15","","CURRENT",.01013175,"",
