"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX2100D63V","Da Brat","Boom","Limelite, Luv & Niteclubz","Arista","USAR10300635","888880307958","Google-SONY - Free Radio","Direct Licensing","01-DEC-15","31-DEC-15","15","","CURRENT",.01179,"",
"","0","","","","","","","ARTISTAS INTERPRETES O EJECUTANTES","Foreign Royalties","01-JAN-13","01-DEC-16","","","CURRENT",5.3468,"",
"","SX2100ELZO","22  Da Brat","Breeve On Em","Unrestricted","So So Def","USSM19929827","074646977224","Google-SONY - Free Radio","Direct Licensing","01-NOV-15","30-NOV-15","64","","CURRENT",.05031,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","Google-SONY - Free Radio","Direct Licensing","01-MAR-16","31-MAR-16","213","","CURRENT",.06012,"",
"","SX2100D7CD","Da Brat  Jermaine Dupri  Lil Bow Wow","You Know Me","Beware Of Dog","So So Def","USSM10014527","5099750055199","Google-SONY - Free Radio","Direct Licensing","01-MAR-16","31-MAR-16","57","","CURRENT",.01074214,"",
"","SX2100ELZW","Da Brat  Millie Jackson  Twista","Intro","Unrestricted","So So Def","USSM19929824","074646977224","Google-SONY - Free Radio","Direct Licensing","01-OCT-15","31-OCT-15","83","","CURRENT",.06525,"",
"","SX3102QPCJ","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","RADIO NOW, LLC","Webcasting","01-JUL-17","31-JUL-17","","","CURRENT",.02840737,"",
"","SX2100D63W","Da Brat Featuring Anthony Hamilton","I Was The One","Limelite, Luv & Niteclubz","Arista","USAR10300639","828765158626","Google-SONY - Free Radio","Direct Licensing","01-SEP-15","30-SEP-15","25","","CURRENT",.01962,"",
"","SX2100D7LB","Da Brat  Mariah Carey  Missy Elliott","Heartbreaker (Remix)","Rainbow","Columbia","USSM19907865","5099749506558","Google-SONY - Free Radio","Direct Licensing","01-NOV-15","30-NOV-15","933","","CURRENT",.24453554,"",
"","SX2100D824","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","Google-SONY - Free Radio","Direct Licensing","01-SEP-15","30-SEP-15","1536","","CURRENT",.603945,"",
"","SX2100HLUK","Da Brat  JD  Mariah Carey","Honey","The Remixes","Columbia","USSM19701795","696998715424","Google-SONY - Free Radio","Direct Licensing","01-OCT-15","31-OCT-15","82","","CURRENT",.0215143,"",
"","SX2100D82F","Da Brat","Fa All Y'All","","","USSM19400531","","CUMULUS MEDIA, INC.","Webcasting","01-JUL-17","31-JUL-17","26","","CURRENT",.0170145,"",
"","SX2100D82D","Da Brat","Give It 2 You","","","USSM19400533","","Pureplay Radio LLC","Webcasting","01-JUL-17","31-JUL-17","","","CURRENT",.01329525,"",
"","SX2100ELZM","Da Brat","Chi Town","Unrestricted","Columbia","USSM19929828","5099749178021","Google-SONY - Free Radio","Direct Licensing","01-SEP-15","30-SEP-15","107","","CURRENT",.08415,"",
"","SX2100D8A4","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","074646616420","Google-SONY - Free Radio","Direct Licensing","01-JUN-16","30-JUN-16","772","","CURRENT",.51282,"",
"","SX3102XZXJ","Da Brat  Tyrese","What'chu Like","","","USSM19927449","","SIRIUS XM RADIO, INC","Cable Radio","01-JUL-17","31-JUL-17","","","CURRENT",.65354063,"",
