"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","WSRB","Webcasting","01-DEC-16","31-DEC-16","88","","CURRENT",.06057675,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","ALPHA MEDIA - SHREVEPORT","Webcasting","01-APR-15","30-APR-15","","","CURRENT",.0438615,"",
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","BRYANBROADCASTING.COM","Webcasting","01-MAY-17","31-MAY-17","","","CURRENT",.021546,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","","","USSM19927449","","iHeartRadio","Webcasting","01-JUN-17","30-JUN-17","6429","","CURRENT",2.16573637,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","","","USBB40581128","","RADIO ONE, INC.","Webcasting","01-JUN-16","30-JUN-16","","","PRIOR",.139878,"",
"","SX3101WR5J","Da Brat  Tyrese","What'chu Like","","","USSM19927446","","RADIO NOW, LLC","Webcasting","01-JUN-17","30-JUN-17","","","CURRENT",.13889475,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","CUMULUS MEDIA, INC.","Webcasting","01-APR-17","30-APR-17","","","PRIOR",.01568925,"",
"","SX2100C9O8","Da Brat  Omarion","Ice Box","","","USSM10700577","","IMVU.COM","Webcasting","01-JUN-17","30-JUN-17","","","CURRENT",.01090125,"",
"","SX2100K850","Da Brat  Destiny's Child  Jermaine Dupri  Lil Bow Wow","Destiny's Child - Jumpin' Jumpin' (Official Video)","","","USSM10010319","","Pandora - SONY","Direct Licensing","01-JUN-17","30-JUN-17","1648","","CURRENT",.27756,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","SLACKER.COM - Sony","Direct Licensing","01-MAY-17","31-MAY-17","","","CURRENT",.10224,"",
"","SX2100ELZT","Da Brat","That's What I'm Looking For","","","USSM19924161","","EMMIS LOS ANGELES","Webcasting","01-JUN-17","30-JUN-17","","","CURRENT",.01415025,"",
"","SX3102QPCJ","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","RADIO ONE, INC.","Webcasting","01-JUN-17","30-JUN-17","275","","CURRENT",.09013837,"",
"","SX2100D8A5","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","074646616420","SLACKER.COM - Sony","Direct Licensing","01-APR-17","30-APR-17","","","CURRENT",.01269,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","","","USBB40581128","","RADIO ONE, INC.","Webcasting","01-APR-17","30-APR-17","","","PRIOR",.03828262,"",
"","SX312K2JHH","DRU HILL / JD / DA BRAT","IN MY BED","","","","","RADIO ONE, INC.","Webcasting","01-JUN-17","30-JUN-17","6881","","CURRENT",1.50391797,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","ALPHA MEDIA - SHREVEPORT","Webcasting","01-APR-15","30-APR-15","","","CURRENT",.0245385,"",
