"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"Tracks Under One Cent","","","","","","","","","","","","940","","",.92344746,"",
"","SX2100D8A4","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","074646616420","Pandora - SONY","Direct Licensing","01-NOV-17","30-NOV-17","6346","","CURRENT",4.21533,"",
"","SX2100D8A4","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","074646616420","iHeartRadio","Webcasting","01-NOV-17","30-NOV-17","1032","","CURRENT",.68558175,"",
"","SX3102VFVB","DEMETRIA MCKINNEY/DA BRAT","100","100 (SINGLE)","RTD","","","Google Play Music","Webcasting","01-NOV-17","30-NOV-17","1227","","CURRENT",.40753575,"",
"","SX2100D8A3","Da Brat","Mind Blowin'","Funkdafied","So So Def/Work","USSM10020893","074646616420","SLACKER.COM - Sony","Direct Licensing","01-MAR-17","31-MAR-17","","","CURRENT",.02529,"",
"","SX2100ELZT","Da Brat","That's What I'm Looking For","Unrestricted","Columbia","USSM19924161","5099749178021","DEEZER.COM","Webcasting","01-APR-17","30-APR-17","24","","CURRENT",.0137655,"",
"","SX3101W9O9","DA BRAT/NOTORIOUS B.I.G.","BSIDE","","INDEPENDENT","","","iHeartRadio","Webcasting","01-NOV-17","30-NOV-17","743","","CURRENT",.24677437,"",
"","SX2100V3R5","Da Brat & Bow Wow  Dem Franchize Boyz feat. Jermaine Dupri","I Think They Like Me","On Top Of Our Game","Virgin Records America","USVI20500231","094635970425","Pandora - Universal","Direct Licensing","01-NOV-17","30-NOV-17","97959","","CURRENT",13.039596,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","iHeartRadio","Webcasting","01-NOV-17","30-NOV-17","12541","","CURRENT",8.33141925,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","Cox Radio Interactive","Webcasting","01-NOV-17","30-NOV-17","2281","","CURRENT",.80979188,"",
"","SX3102QPCJ","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","Radio One, Inc.","Webcasting","01-NOV-17","30-NOV-17","96","","CURRENT",.03050213,"",
"","SX2100ELZS","Da Brat  Tyrese","What'chu Like","","","USSM19927446","","PANDORA.COM - Nonsubscription Webcast","Webcasting","01-NOV-17","30-NOV-17","4143","","CURRENT",1.37601563,"",
"","SX3101BCFI","LIL' KIM/LEFT EYE/DA BRAT/MISSY ELLIOT/ANGIE MARTINEZ","NOT TONIGHT (REMIX)","NOTHING TO LOSE [ST]","TOMMY BOY MUSIC","","","Sirius XM Radio, Inc","SDARS","01-NOV-17","30-NOV-17","","34","CURRENT",84.85424415,"",
"","SX2100D7LH","Da Brat","That's What I'm Looking For","Unrestricted","So So Def","USSM19924162","074646386026","SLACKER.COM - Sony","Direct Licensing","01-FEB-17","28-FEB-17","","","CURRENT",.01386,"",
"","SX2107VZK9","Da Brat","Lyrical Molestation","Anuthatantrum","So So Def","USSM19603187","9399700017960","SLACKER.COM - Sony","Direct Licensing","01-FEB-17","28-FEB-17","","","CURRENT",.01701,"",
"","SX2104D2E3","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly","East/West","USEW19706203","075596213721","SLACKER.COM - Warner","Direct Licensing","01-FEB-17","28-FEB-17","","","CURRENT",.548415,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","","","USBB40581128","","iHeart Media - Warner (simulcast)","Direct Licensing","01-OCT-17","31-OCT-17","","","CURRENT",.035415,"",
"","SX3101HMLD","DRU HILL/DA BRAT/JD","IN MY BED (REMIX)","SO SO DEF: DEFINITION OF A REMIX","SONY","","","Sirius XM Radio, Inc","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",1.14809558,"",
"","SX2100EA55","Da Brat  Dru Hill  JD","In My Bed","","","USIR29700123","","Pandora - Universal","Direct Licensing","01-NOV-17","30-NOV-17","41398","","CURRENT",9.18618688,"",
"","SX2100D8A4","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","074646616420","Sirius XM On Demand Service","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.030096,"",
"","SX2100D8A6","Da Brat","Ain't No Thang","Funkdafied","So So Def/Work","USSM10021885","074646616420","SLACKER.COM - Sony","Direct Licensing","01-MAR-17","31-MAR-17","","","CURRENT",.01242,"",
"","SX2107VZK9","Da Brat","Lyrical Molestation","Anuthatantrum","So So Def","USSM19603187","9399700017960","PANDORA.COM - Subscription Webcast","Webcasting","01-NOV-17","30-NOV-17","26","","CURRENT",.02235825,"",
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","Sirius XM Radio, Inc","SDARS","01-NOV-17","30-NOV-17","","29","CURRENT",361.87836525,"",
"","SX2100D8A6","Da Brat","Ain't No Thang","","","USSM10021885","","iHeartRadio","Webcasting","01-NOV-17","30-NOV-17","64","","CURRENT",.04253625,"",
"","SX31019LTM","Cherish  Da Brat","In Love Wit Chu","Limelite, Luv & Niteclubz","Arista","USAR10300127","888880307965","MIXCLOUD.COM","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.01690762,"",
"","SX31022L01","DA BRAT","LONG TIME AWAY","YELLOW PILLS 004: PREFILL","NUMERO","","","PANDORA.COM - Nonsubscription Webcast","Webcasting","01-NOV-17","30-NOV-17","17","","CURRENT",.011286,"",
"","SX2100O8NH","Da Brat  Destiny's Child  Vita","Big Momma's Theme","Big Momma's House - Music From The Motion Picture","Columbia","USSM10009108","5099749875722","SLACKER.COM - Sony","Direct Licensing","01-JAN-17","31-JAN-17","","","CURRENT",.04317864,"",
"","SX2100D8A3","Da Brat","Mind Blowin'","Funkdafied","So So Def/Work","USSM10020893","074646616420","Pandora - SONY","Direct Licensing","01-NOV-17","30-NOV-17","18","","CURRENT",.01197,"",
"","SX2100D7LH","Da Brat","That's What I'm Looking For","Unrestricted","So So Def","USSM19924162","074646386026","SLACKER.COM - Sony","Direct Licensing","01-JAN-17","31-JAN-17","","","CURRENT",.01026,"",
"","SX2107VZK8","Da Brat","Live It Up","Anuthatantrum","So So Def","USSM19603188","9399700017960","SLACKER.COM - Sony","Direct Licensing","01-FEB-17","28-FEB-17","","","CURRENT",.07164,"",
"","SX2100D63O","Cherish  Da Brat","In Love Wit Chu","","","USAR10300642","","iHeartRadio","Webcasting","01-NOV-17","30-NOV-17","2566","","CURRENT",.8523495,"",
"","SX2100D82C","Da Brat","Funkdafied","","","USSM19400534","","PANDORA.COM - Nonsubscription Webcast","Webcasting","01-NOV-17","30-NOV-17","38","","CURRENT",.02526525,"",
"","SX2100ELZS","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927446","074646977224","SLACKER.COM - Sony","Direct Licensing","01-JAN-17","31-JAN-17","","","CURRENT",.56025,"",
"","SX2100D63V","Da Brat","Boom","Limelite, Luv & Niteclubz","Arista","USAR10300635","828765158626","Pandora - SONY","Direct Licensing","01-NOV-17","30-NOV-17","1336","","CURRENT",.8874,"",
"","SX2100D82A","Da Brat","Funkdafied","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400530","074646792223","SLACKER.COM - Sony","Direct Licensing","01-MAR-17","31-MAR-17","","","CURRENT",.04374,"",
"","SX2100ELZS","Da Brat  Tyrese","What'chu Like","","","USSM19927446","","PANDORA.COM - Subscription Webcast","Webcasting","01-NOV-17","30-NOV-17","896","","CURRENT",.38515613,"",
"","SX2100D7LD","Da Brat  Tyrese","What'chu Like","Unrestricted","So So Def","USSM19927449","074646386026","SLACKER.COM - Sony","Direct Licensing","01-JAN-17","31-JAN-17","","","CURRENT",.06048,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","RFC Media - Webcasting","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.45114075,"",
"","SX2107VZKD","Da Brat","Just A Little Bit More","Anuthatantrum","So So Def","USSM19603184","9399700017960","PANDORA.COM - Subscription Webcast","Webcasting","01-NOV-17","30-NOV-17","36","","CURRENT",.030951,"",
"","SX3103JB0C","Lil' Kim","Not Tonight","","","USAT29801132","","Music Choice","PES","01-NOV-17","30-NOV-17","","","CURRENT",.57140505,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Atlantic Records/ATG","USEW19709503","075596209564","Music Choice","PES","01-NOV-17","30-NOV-17","","","CURRENT",.10452375,"",
"","SX2100D82D","Da Brat","Give It 2 You","","","USSM19400533","","Townsquare Media Broadcasting","Webcasting","01-NOV-17","30-NOV-17","140","","CURRENT",.09452025,"",
"","SX2100D824","Da Brat  The Notorious B.I.G.","Da B Side","","","USSM19400536","","iHeartRadio","Webcasting","01-NOV-17","30-NOV-17","281","","CURRENT",.09334462,"",
"","SX310368C8","DEM FRANCHISE BOYZ/JERMAINE DUPRI/DA BRAT/BOW WOW","I THINK THEY LIKE ME (CLEAN EDIT)","PROMO ONLY MAINSTREAM DEC 05","PROMO ONLY","","","Sirius XM On Demand Service","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.04106138,"",
"","SX2104D2E3","Da Brat  Missy Elliott","Sock It 2 Me (feat. Da Brat)","","","USEW19706203","","Alpha Media - Louisville, Ky","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.115938,"",
"","SX3101HMLD","DRU HILL/DA BRAT/JD","IN MY BED (REMIX)","SO SO DEF: DEFINITION OF A REMIX","SONY","","","Sirius XM On Demand Service","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.08658607,"",
"","SX2104D2E3","Da Brat  Missy Elliott","Sock It 2 Me (feat. Da Brat)","","","USEW19706203","","Alpha Media - Savannah, GA","Webcasting","01-NOV-17","30-NOV-17","","","CURRENT",.051813,"",
"","SX3100LJ6W","Total featuring Da Brat","No One Else","Total","Atlantic Recording Corp.","USBB40581128","786127300666","iHeart Media - Warner (simulcast)","Direct Licensing","01-OCT-17","31-OCT-17","","","CURRENT",2.46942,"",
"","SX2104GIM8","Total featuring Da Brat","No One Else","","","USBB40581128","","SLACKER.COM - Warner","Direct Licensing","01-FEB-17","28-FEB-17","","","CURRENT",.069435,"",
"","SX31009KZJ","DA BRAT/NOTORIOUS B.I.G.","DA B SIDE","BAD BOYS SOUNDTRACK","","","","Google Play Music","Webcasting","01-NOV-17","30-NOV-17","1746","","CURRENT",.57988238,"",
"","SX312K2JHH","DRU HILL / JD / DA BRAT","IN MY BED","","","","","Radio One, Inc.","Webcasting","01-NOV-17","30-NOV-17","2498","","CURRENT",.52922257,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","DEEZER.COM","Webcasting","01-APR-17","30-APR-17","113","","CURRENT",.06476625,"",
"","SX2100L8I9","Charli Baltimore  Da Brat  Gangsta Boo  Queen Pen  Rage  Scarlet","Thorough Sisters (Featuring Rage, Gangsta Boo, Queen Pen, Da Brat & Scarlet)","Cold As Ice","Untertainment","USSM19806244","074646896723","Pandora - SONY","Direct Licensing","01-NOV-17","30-NOV-17","103","","CURRENT",.01368,"",
