"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX2100D82B","Da Brat","Sittin' On Top Of The World","","","USSM19603749","","iHeartRadio","Webcasting","01-DEC-18","31-DEC-18","138","","CURRENT",.0975555,"",
"","SX2100D8A5","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","074646616420","Google-SONY - Free Radio","Direct Licensing","01-SEP-17","30-SEP-17","288","","CURRENT",.19233,"",
"","SX2100JND9","Jermaine Dupri featuring Da Brat & Usher","The Party Continues","Life In 1472 (The Original Soundtrack)","So So Def","USSM19704455","074646945827","Google-SONY - Free Radio","Direct Licensing","01-SEP-17","30-SEP-17","498","","CURRENT",.11087216,"",
"","SX3102PQSM","DA BRAT","B SIDE","FUNKDAFIED [CLEAN]","INDEPENDENT","","","MIXCLOUD.COM","Webcasting","01-AUG-18","31-AUG-18","","","CURRENT",.01697175,"",
"","SX2100D8A9","Da Brat","Funkdafied","Funkdafied","So So Def/Work","USSM19402033","074646616420","Music Choice","Webcasting","01-DEC-18","31-DEC-18","","","CURRENT",.184509,"",
"","SX2100D7LB","Da Brat  Mariah Carey  Missy Elliott","Heartbreaker (Remix)","Rainbow","Columbia","USSM19907865","5099749506596","Google-SONY - Free Radio","Direct Licensing","01-JUL-18","31-JUL-18","3774","","CURRENT",.84015598,"",
"","SX2100ELZK","Da Brat  JD  Lil Jon","We Ready","Unrestricted","Columbia","USSM19929825","5099749178021","Google-SONY - Free Radio","Direct Licensing","01-JUL-17","31-JUL-17","51","","CURRENT",.01134226,"",
"","SX2107VZK4","Da Brat","Sittin' On Top Of The World","","","USSM19603181","","Pandora - SONY","Direct Licensing","01-DEC-18","31-DEC-18","3464","","CURRENT",2.44962,"",
"","SX2100D8A5","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","074646616420","Pandora - SONY","Direct Licensing","01-DEC-18","31-DEC-18","18","","CURRENT",.01269,"",
"","SX2100D7LB","Da Brat  Mariah Carey  Missy Elliott","Heartbreaker (Remix)","Rainbow","Columbia","USSM19907865","074646380024","Pandora - SONY","Direct Licensing","01-DEC-18","31-DEC-18","7929","","CURRENT",1.86887309,"",
"","SX2100D824","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","Google-SONY - Free Radio","Direct Licensing","01-AUG-18","31-AUG-18","4121","","CURRENT",1.376235,"",
"","SX2100ELZK","Da Brat  JD  Lil Jon","We Ready","Unrestricted","Columbia","USSM19929825","5099749178021","Google-SONY - Free Radio","Direct Licensing","01-AUG-17","31-AUG-17","72","","CURRENT",.0160232,"",
"","SX2100EA52","Da Brat  Jagged Edge  Jermaine Dupri  Lil Bow Wow  R.O.C.  Tigah","Where the Party At","","","USSM10105754","","Google-SONY - Free Radio","Direct Licensing","01-OCT-17","31-OCT-17","949","","CURRENT",.10558775,"",
"","SX3102DTYW","DA BRAT/NOTORIOUS B.I.G.","DA B SIDE DA BRAT","THE ULTIMATE R&B COLLECTION","WARNER MUSIC GROUP","","","Sirius XM Radio, Inc","Webcasting","01-DEC-18","31-DEC-18","","","CURRENT",.33116287,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","MIXCLOUD.COM","Webcasting","01-JUL-18","31-JUL-18","","","CURRENT",.87436575,"",
"","SX3100MOSW","Da Brat  T-Boz","Ghetto Love","Anuthatantrum","So So Def","USSM19603186","9399700017960","Radio Now, LLC","Webcasting","01-DEC-18","31-DEC-18","","","CURRENT",.02654775,"",
"","SX2100ELZM","Da Brat","Chi Town","Unrestricted","So So Def","USSM19929828","074646977224","Google-SONY - Free Radio","Direct Licensing","01-JUN-18","30-JUN-18","253","","CURRENT",.16893,"",
"","SX2100V3R5","Da Brat & Bow Wow  Dem Franchize Boyz feat. Jermaine Dupri","I Think They Like Me","On Top Of Our Game","Virgin Records America","USVI20500231","094635473025","Google Play Music","Webcasting","01-DEC-18","31-DEC-18","4944","","CURRENT",.69926175,"",
"","SX2100V3R5","Da Brat & Bow Wow  Dem Franchize Boyz feat. Jermaine Dupri","I Think They Like Me","On Top Of Our Game","Virgin Records America","USVI20500231","094634248426","Sirius XM Radio, Inc","SDARS","01-DEC-18","31-DEC-18","","4","CURRENT",16.29405135,"",
"","SX210N1POV","Da Brat  Jermaine Dupri  LaTocha Scott","All That's Got to Go","Life In 1472 (The Original Soundtrack)","So So Def","USSM11605071","886445972085","Google-SONY - Free Radio","Direct Licensing","01-DEC-17","31-DEC-17","64","","CURRENT",.01425284,"",
"","SX2100D8A5","Da Brat","Come And Get Some","Funkdafied","So So Def/Work","USSM10021886","074646616420","Google-SONY - Free Radio","Direct Licensing","01-MAY-18","31-MAY-18","266","","CURRENT",.17766,"",
"","SX2100D8A4","Da Brat","Give It 2 You","Funkdafied","So So Def/Work","USSM10021887","074646616420","MIXCLOUD.COM","Webcasting","01-SEP-18","30-SEP-18","","","CURRENT",.1237185,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me","Supa Dupa Fly","Atlantic Records/ATG","USEW19709503","075596209564","Pandora - Warner","Direct Licensing","01-DEC-18","31-DEC-18","35922","","CURRENT",12.70386,"",
"","SX2100D63U","Da Brat","Got It Poppin'","","","USAR10300636","","iHeartRadio","Webcasting","01-DEC-18","31-DEC-18","50","","CURRENT",.03535425,"",
"","SX2100D8A2","Da Brat","Fire It Up","Funkdafied","So So Def/Work","USSM10027859","074646616420","Google-SONY - Free Radio","Direct Licensing","01-JUN-18","30-JUN-18","108","","CURRENT",.07209,"",
"","SX2100L8I9","Charli Baltimore  Da Brat  Gangsta Boo  Queen Pen  Rage  Scarlet","Thorough Sisters (Featuring Rage, Gangsta Boo, Queen Pen, Da Brat & Scarlet)","Cold As Ice","Untertainment","USSM19806244","074646896723","Pandora - SONY","Direct Licensing","01-DEC-18","31-DEC-18","96","","CURRENT",.013572,"",
"","SX3101BKUZ","Da Brat  The Notorious B.I.G.","Da B Side","ANUTHAFUNKDAFIEDTANTRUM","So So Def/Columbia","USSM19400536","074646792223","MIXCLOUD.COM","Webcasting","01-OCT-18","31-OCT-18","","","CURRENT",.12658275,"",
"","SX2100EA55","Dru Hill","In My Bed","Dru Hill","Essence","USIR29700123","731452449726","MIXCLOUD.COM","Webcasting","01-MAR-18","31-MAR-18","","","CURRENT",.17918684,"",
"","SX2100ELZQ","Da Brat  LaTocha Scott  Trey Lorenz","High Come Down","Unrestricted","Columbia","USSM19929831","5099749178021","Google-SONY - Free Radio","Direct Licensing","01-APR-18","30-APR-18","17","","CURRENT",.01134,"",
