"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX2100V3R5","Da Brat & Bow Wow  Dem Franchize Boyz feat. Jermaine Dupri","I Think They Like Me","I Think They Like Me f/ Jermaine Dupri, Da Brat & Bow Wow","Virgin Records America","USVI20500231","094633544529","Music Choice","Webcasting","01-MAR-20","31-MAR-20","","","CURRENT",.03852629,"",
"","SX3100MOSW","Da Brat  T-Boz","Ghetto Love","Anuthatantrum","So So Def","USSM19603186","9399700017960","PANDORA.COM - Nonsubscription Webcast","Webcasting","01-MAR-20","31-MAR-20","983","","CURRENT",.71071875,"",
"","SX2100D8AA","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","074646616420","Sirius XM Radio, Inc","Cable Radio","01-MAR-20","31-MAR-20","","","CURRENT",.08733825,"",
"","SX3101WR5J","Da Brat  Tyrese","What'chu Like","","","USSM19927446","","WGBL","Webcasting","01-MAR-20","31-MAR-20","","","CURRENT",.04698225,"",
"","SX3102VRYA","DA BRAT/MARIAH CAREY/XSCAPE","ALWAYS BE MY BABY (REMIX)","KEEP IT LOCKED TO MIDNIGHT EXPRESS RADIO","UMVD IMPORT","","","Urban One","Webcasting","01-MAR-20","31-MAR-20","9674","","CURRENT",2.36009122,"",
"","SX2100D8A9","Da Brat","Funkdafied","","","USSM19402033","","Radio Now, LLC","Webcasting","01-MAR-20","31-MAR-20","","","CURRENT",.0108585,"",
"","SX3102XZXJ","Da Brat  Tyrese","What'chu Like","","","USSM19927449","","Sirius XM Radio, Inc","Cable Radio","01-MAR-20","31-MAR-20","","","CURRENT",.87361763,"",
"","SX2100V3R5","Bow Wow  Da Brat  Dem Franchize Boyz  Jermaine Dupri  The Kid Slim","I Think They Like Me","","","USVI20500231","","IMVU.COM","Webcasting","01-MAR-20","31-MAR-20","","","CURRENT",.0140904,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","Sirius XM Radio, Inc","Cable Radio","01-MAR-20","31-MAR-20","","","CURRENT",.08733824,"",
"","SX2100EA55","Dru Hill","In My Bed","90s R&B","Universal Music Enterprises","USIR29700123","602557785661","Google Play Music","Webcasting","01-MAR-20","31-MAR-20","143","","CURRENT",.03447765,"",
