"Type","Royalty Item SXID","Artist Name","Track Name","Album Name","Label Name","ISRC","Release UPC","Licensee Name","Category of Service","Broadcast Start Date","Broadcast End Date","Num Performances","Num Spins","Allocation Period","Your Payment Amount","Third Party Name","Third Party Payment Amount"
"","SX3101KUQS","DA BRAT","GIVE IT TO YOU","SINGLE","SONY SPECIAL PRODUCT","","","Webcasting 2020","Admin True Up","01-MAY-14","28-FEB-21","","","CURRENT",.04681125,"",
"","SX2100ELZS","Da Brat  Tyrese","What'chu Like","Unrestricted","Columbia","USSM19927446","5099749178021","TUNEIN INC.","Webcasting","01-MAY-21","31-MAY-21","","","CURRENT",.36185737,"",
"","SX2100D7LB","Da Brat  Mariah Carey  Missy Elliott","Heartbreaker","Rainbow","Columbia","USSM19907865","7509949506527","PES 2020","Admin True Up","01-DEC-19","31-DEC-20","","","CURRENT",.0429737,"",
"","SX2104D2EL","Missy Elliott & Da Brat","Sock It 2 Me (feat. Da Brat)","Supa Dupa Fly","Elektra Entertainment Group","USEW19709503","075596209526","SDARS 2020","Admin True Up","01-JAN-20","31-DEC-20","","","CURRENT",.53602087,"",
"","SX2104D2E3","Da Brat  Missy Elliott","Sock It 2 Me (feat. Da Brat)","","","USEW19706203","","iHeartRadio","Webcasting","01-APR-21","30-APR-21","2251","","CURRENT",.8073765,"",
"","SX31000NJQ","DA BRAT","DA B SIDE","BAD BOYS [ST]","WORK","","","SLACKER.COM","Webcasting","01-FEB-21","28-FEB-21","285","","CURRENT",.2572695,"",
"","SX3102DTYW","DA BRAT/NOTORIOUS B.I.G.","DA B SIDE DA BRAT","THE ULTIMATE R&B COLLECTION","WARNER MUSIC GROUP","","","Sirius XM Radio, Inc","Cable Radio","01-MAY-21","31-MAY-21","","","CURRENT",.21122775,"",
"","SX2100V3R5","Da Brat & Bow Wow  Dem Franchize Boyz feat. Jermaine Dupri","I Think They Like Me","On Top Of Our Game","Virgin Records America","USVI20500231","094635473025","Sirius XM Radio, Inc","Cable Radio","01-MAY-21","31-MAY-21","","","CURRENT",.13518405,"",
"","SX2100D7LH","Da Brat","That's What I'm Looking For","","","USSM19924162","","Cumulus Media, Inc.","Webcasting","01-MAY-21","31-MAY-21","46","","CURRENT",.03313125,"",
"","SX2100D8AA","Da Brat","Fa All Y'All","Funkdafied","So So Def/Work","USSM10024455","074646616420","ADMIN TRUE UP","Admin True Up","01-DEC-18","31-MAR-21","","","CURRENT",.18981,"",
