royalty_period,tango_work_code,source_work_id,composer,source_income_type,statement_id,deal_scope_id,distribution_start,distribution_end,income_provider_name,exploitation_territory_name,exploitation_source,product_description,units,amount_received,rate_percentage,amount_paid,processing_territory_name,source_territory_name,deal_scope_name,tango_income_type_name,tango_work_title,creator_names
201907201912,WW 010547519 00,47776371802,"ISAAC HAYES ,ANDREW ""POP"" WANS",SMECH,10204,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,201806,Universal Music Taiwan,Taiwan,Universal Music Taiwan,4777637,4,0.00395532,@75,0.00296649,Taiwan,Taiwan,US 100050603 ROBERT GERONGCO,Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
201907201912,WW 010556308 00,47718340902,"ROBERT GERONGCO ,SAMUEL GERONG",SMECH,10204,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,201806,Universal Music Taiwan,Taiwan,Universal Music Taiwan,4771834,2,0.00296649,@75,0.0022248675,Taiwan,Taiwan,US 100050603 ROBERT GERONGCO,Mechanical,STARS,"Unknown, Composer Author / Gerongco, Robert"
201907201912,WW 010556308 00,47718340902,"ROBERT GERONGCO ,SAMUEL GERONG",SMECH,13731,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,201806,Universal Music Hong Kong,Hong Kong,Universal Music Hong Kong,4771834,32,0.06321686,@75,0.047412645,Hong Kong,Hong Kong,US 100050603 ROBERT GERONGCO,Mechanical,STARS,"Unknown, Composer Author / Gerongco, Robert"
201907201912,WW 010556308 00,47718340902,"ROBERT GERONGCO ,SAMUEL GERONG",SMECH,14580,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201807,201812,Universal Music Hong Kong,Hong Kong,Universal Music Hong Kong,4771834,2,0.00387042,@75,0.002902815,Hong Kong,Hong Kong,US 100050603 ROBERT GERONGCO,Mechanical,STARS,"Unknown, Composer Author / Gerongco, Robert"
201907201912,WW 010547519 00,47776371802,"ISAAC HAYES ,ANDREW ""POP"" WANS",SMECH,14940,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201807,201812,Universal Music Taiwan,Taiwan,Universal Music Taiwan,4777637,2,0.00197766,@75,0.001483245,Taiwan,Taiwan,US 100050603 ROBERT GERONGCO,Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
201907201912,WW 010547519 00,10547519,"Isaac HayesAlessia Caracciolo,Andrew Wan",SDIGM,15944,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201904,201906,Tencent - QQ,CN,腾讯 QQ 音乐,,173389,1.21734734,@75,0.913010505,China,China,US 100050603 ROBERT GERONGCO,Streaming Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
201907201912,WW 010547519 00,10547519,"Isaac HayesAlessia Caracciolo,Andrew Wan",SDIGM,15968,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201904,201906,TME - Kugou,CN,腾讯 酷狗,,468615,1.35323076,@75,1.01492307,China,China,US 100050603 ROBERT GERONGCO,Streaming Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
201907201912,WW 010547519 00,10547519,"Isaac HayesAlessia Caracciolo,Andrew Wan",SDIGM,16029,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201904,201906,TME - Kuwo,CN,腾讯 酷我,,733,0.00420258,@75,0.003151935,China,China,US 100050603 ROBERT GERONGCO,Streaming Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
201907201912,WW 010547519 00,47718340202,"ISAAC HAYES ,ANDREW ""POP"" WANS",SMECH,16033,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201901,201906,Universal Music Hong Kong,Hong Kong,Universal Music Hong Kong,4771834,1,0.00129014,@75,0.000967605,Hong Kong,Hong Kong,US 100050603 ROBERT GERONGCO,Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
201907201912,WW 010547519 00,47718341102,"ISAAC HAYES ,ANDREW ""POP"" WANS",SMECH,16033,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201901,201906,Universal Music Hong Kong,Hong Kong,Universal Music Hong Kong,4771834,1,0.00129014,@75,0.000967605,Hong Kong,Hong Kong,US 100050603 ROBERT GERONGCO,Mechanical,HERE,"Gerongco, Robert / Hayes, Isaac / Gerongco, Samuel T. / Caracciolo, Alessia / Coleridge, Tillman / Wansel, Andrew / Felder, Warren / Lam, Terence"
