royalty_period,tango_work_code,source_work_id,composer,source_income_type,statement_id,deal_scope_id,distribution_start,distribution_end,income_provider_name,exploitation_territory_name,exploitation_source,product_description,units,amount_received,rate_percentage,amount_paid,processing_territory_name,source_territory_name,deal_scope_name,tango_income_type_name,tango_work_title,creator_names
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SPRNT,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,STUDIO SOL,,10404,0.0192686134,@75,0.01445146005,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Digital Print,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SPRNT,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,STUDIO SOL,,1450,0.0019669284,@75,0.0014751963,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Digital Print,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,1,0.0008924027,@75,0.000669302025,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Download Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,3,0.0040431306,@75,0.00303234795,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Download Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,9529,0.3537375029,@75,0.265303127175,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,3,0.0000546369,@75,0.000040977675,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,12,0.0000182123,@75,0.000013659225,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,56,0.0011291626,@75,0.00084687195,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,86,0.000910615,@75,0.00068296125,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,5,0.0001092738,@75,0.00008195535,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,10,0.0002003353,@75,0.000150251475,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,26,0.0005099444,@75,0.0003824583,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,10471,0.2108073725,@75,0.158105529375,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,11,0.0004006706,@75,0.00030050295,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
202007202009,WW 010547519 00,5431179,GERONGCO ROBERT GERONGCO SAMUEL FELDER WARREN HAYES ISSAC LEE WANSEL ANDREW DEXTER TI,SDIGM,20844,42a2c82a-ae05-4330-d70d-9bf9fcf97a55,201801,202005,Backoffice Music (BRAZIL),Brazil,APPLE INC,,3120,0.0100349773,@75,0.007526232975,Brazil,Brazil,Robert Gerongco Co-Pub Comps,Streaming Mechanical,HERE,"Gerongco, Robert / Caracciolo, Alessia / Coleridge, Tillman / Lam, Terence / Hayes, Isaac / Wansel, Andrew / Felder, Warren / Gerongco, Samuel T."
