,Third Party,Source,2016 H1,2016 H2,2017 H1,2017 H2,2018 H1,2018 H2,2019 H1,2019 H2,2020 H1,2020 H2,2021 H1,% Of Revenue,Cumulative %
0,BMG,PRS,,,2615.64,2346.4,92.66,,,,,,,23.74%,23.74%
1,BMG,PRS for Music,,,,,,896.31,,1034.19,727.43,454.64,129.47,15.23%,38.97%
2,BMG,MCPS,,,538.55,669.87,425.74,230.66,,270.07,319.0,319.82,372.94,14.78%,53.75%
3,BMG,BMG RM Brazil,,,,1479.54,,15.42,,0.63,0.02,,,7.02%,60.77%
4,BMG,ICE Aresa UK (Pan-European Licensing),,,0.48,0.93,41.92,126.34,,125.97,143.15,193.23,301.34,4.38%,65.16%
5,BMG,BMG RM US LLC,,,79.7,48.73,158.11,97.13,,160.92,99.04,49.76,37.92,3.43%,68.59%
6,BMG,Fujipacific Japan,,,56.85,148.13,280.71,108.58,,,,,,2.79%,71.38%
7,BMG,,191.12,17.85,,,,,284.66,,,,,2.32%,73.7%
8,BMG,BMI                                               ,428.63,3.92,,,,,,,,,,2.03%,75.73%
9,BMG,Fujipacific Music Inc. (Japan),,,,,,,,65.62,48.78,135.57,156.99,1.91%,77.64%
10,BMG,BMG RM China,,,,,,166.23,,123.46,,112.84,,1.89%,79.53%
11,BMG,SONY BMG MUSIC                                    ,260.54,81.62,,,,,,,,,,1.61%,81.14%
12,BMG,BMG RM France,,,16.74,221.74,7.7,0.77,,1.27,1.29,1.42,0.07,1.18%,82.32%
13,BMG,ITUNES                                            ,,248.94,,,,,,,,,,1.17%,83.49%
14,BMG,BMG RM Scandinavia AB,,,29.41,18.06,3.99,18.78,,26.63,6.96,106.52,28.56,1.12%,84.61%
15,BMG,                                                  ,41.99,151.16,,,,,,,,,,0.91%,85.52%
16,BMG,BBC RADIO 2                                       ,34.8,114.46,,,,,,,,,,0.7%,86.22%
17,BMG,FUJIPACIFIC JAPAN                                 ,53.37,88.1,,,,,,,,,,0.66%,86.88%
18,BMG,BMG RM Benelux,,,6.63,5.18,11.06,1.29,,44.13,12.14,2.02,50.36,0.62%,87.51%
19,BMG,BMG RM Italy,,,0.1,94.6,0.02,5.88,,0.46,,4.46,,0.5%,88.0%
20,BMG,Aresa Germany (Pan-European Licensing),,,2.24,20.74,20.15,14.91,,7.32,11.1,9.54,5.31,0.43%,88.43%
21,BMG,NCB (ICE)                                         ,23.73,66.23,,,,,,,,,,0.42%,88.86%
22,BMG,CHERRY RED RECO                                   ,72.42,15.45,,,,,,,,,,0.41%,89.27%
23,BMG,BMG RM Australia PTY LTD,,,0.54,4.17,4.15,4.43,,5.19,5.51,10.09,45.31,0.37%,89.64%
24,BMG,TIM HUTTON T/AS,,,,,,,76.82,,,,,0.36%,90.0%
25,BMG,NETWORK DISTRIB                                   ,42.62,33.96,,,,,,,,,,0.36%,90.36%
26,BMG,ARESA UK (PAN-EUROPEAN LICENSING)                 ,66.83,9.04,,,,,,,,,,0.36%,90.72%
27,BMG,SONY MUSIC ENTE,,,,,,,75.13,,,,,0.35%,91.07%
28,BMG,DFE                                               ,,72.49,,,,,,,,,,0.34%,91.41%
29,BMG,JUKEBOXES SOUNDNET,,,,,,,71.99,,,,,0.34%,91.75%
30,BMG,STIM (ICE)                                        ,27.67,41.96,,,,,,,,,,0.33%,92.08%
31,BMG,BMG RM Germany,,,0.04,1.37,5.68,1.22,,1.0,2.5,25.61,29.99,0.32%,92.39%
32,BMG,YOUTUBE                                           ,15.93,49.86,,,,,,,,,,0.31%,92.7%
33,BMG,UNION SQUARE MU,,,,,,,64.78,,,,,0.3%,93.01%
34,BMG,WIENERWORLD LTD                                   ,34.08,16.98,,,,,,,,,,0.24%,93.25%
35,BMG,SIMPLY MEDIA TV                                   ,38.54,12.02,,,,,,,,,,0.24%,93.48%
36,BMG,"FujiPacific Music, Inc. Japan",,,47.31,,,,,,,,,0.22%,93.71%
37,BMG,DFE,,,,,,,43.84,,,,,0.21%,93.91%
38,BMG,David Gresham Entertainment Co (S.Africa,,,,,,5.65,,0.12,12.9,18.16,4.19,0.19%,94.1%
39,BMG,ICE Aresa ROE (Pan-European Licensing),,,14.91,3.02,5.19,4.86,,2.34,2.4,3.06,4.78,0.19%,94.29%
40,BMG,CHERRY RED RECO,,,,,,,39.25,,,,,0.18%,94.48%
