,Third Party,Source,2016 H2,2017 H2,2018 H2,Total,2019 H2,2020 H2,% Of Revenue,Cumulative %
0,PPL,Background Music,2368.03,4876.46,3533.52,19436.5,4707.01,3951.48,32.51%,32.51%
1,PPL,BBC Radio 2,1876.8,4413.47,3482.83,15470.78,2972.06,2725.62,25.88%,58.39%
2,PPL,Specially Featured Entertainment,211.41,693.11,1230.18,3877.28,1408.41,334.17,6.49%,64.88%
3,PPL,BBC Local Radio in England,,,1497.11,2618.76,612.36,509.29,4.38%,69.26%
4,PPL,Smooth Radio Network,524.94,850.64,933.31,2536.01,227.12,,4.24%,73.5%
5,PPL,BBC Simulcast,208.61,186.44,456.11,1735.74,444.34,440.24,2.9%,76.4%
6,PPL,BBC1,244.15,349.51,354.71,1589.31,534.5,106.44,2.66%,79.06%
7,PPL,Other Public Performance,155.07,197.12,535.66,1183.34,295.49,,1.98%,81.04%
8,PPL,BBC2,124.25,73.91,44.53,943.3,221.21,479.4,1.58%,82.62%
9,PPL,Jukeboxes,81.73,143.0,283.94,860.56,277.34,74.55,1.44%,84.06%
10,PPL,Magic (105.4),33.9,21.67,187.94,698.02,294.33,160.18,1.17%,85.23%
11,PPL,ITV1 - TV,36.86,19.57,95.5,629.25,164.54,312.78,1.05%,86.28%
12,PPL,Gold Network,99.35,172.43,151.27,588.06,106.51,58.5,0.98%,87.26%
13,PPL,Sky1 - TV,128.24,131.22,114.47,549.25,25.4,149.92,0.92%,88.18%
14,PPL,Global Radio Simulcast,87.37,150.11,148.79,517.56,96.81,34.48,0.87%,89.05%
15,PPL,BBC 6Music,36.46,73.76,101.98,356.72,70.67,73.85,0.6%,89.65%
16,PPL,Channel 4 - TV,20.58,67.64,24.12,294.14,86.63,95.17,0.49%,90.14%
17,PPL,Community Buildings,34.57,72.55,49.96,280.48,81.05,42.35,0.47%,90.61%
18,PPL,Aerobics,43.74,12.58,14.82,213.67,73.69,68.84,0.36%,90.96%
19,PPL,Bauer Radio Simulcast,10.6,37.72,34.28,211.15,71.38,57.17,0.35%,91.32%
20,PPL,Gold - TV,7.24,14.24,51.44,192.94,52.68,67.34,0.32%,91.64%
21,PPL,Greatest Hits Network,25.84,76.44,16.98,184.85,22.01,43.58,0.31%,91.95%
22,PPL,Smooth Extra,27.98,63.9,60.25,169.65,17.52,,0.28%,92.23%
23,PPL,Wave FM (105),20.15,49.36,44.25,166.65,34.65,18.24,0.28%,92.51%
24,PPL,U105 (105.8),29.8,56.84,47.77,151.77,16.86,0.5,0.25%,92.77%
25,PPL,BBC Radio Wales,13.11,42.33,34.11,147.5,28.41,29.54,0.25%,93.01%
26,PPL,UKRD 70s Service,,,78.06,147.35,69.29,,0.25%,93.26%
27,PPL,Schools,12.86,29.27,25.36,128.99,27.23,34.27,0.22%,93.47%
28,PPL,BBC Radio 4,23.53,25.45,12.49,121.68,55.58,4.63,0.2%,93.68%
29,PPL,ITV2 - TV,21.23,,72.05,115.37,13.98,8.11,0.19%,93.87%
30,PPL,BBC Radio Ulster (inc. Foyle),,,25.36,114.66,55.56,33.74,0.19%,94.06%
31,PPL,More4 - TV,13.46,26.24,33.31,105.13,19.42,12.7,0.18%,94.24%
32,PPL,BBC Radio Solent,57.33,35.76,,93.09,,,0.16%,94.39%
33,PPL,The Breeze Network,10.1,15.22,21.5,84.32,34.01,3.49,0.14%,94.54%
34,PPL,BBC Studios Broadcast Channels,,,25.07,80.14,39.95,15.12,0.13%,94.67%
35,PPL,BBC Radio Scotland,9.48,16.14,16.05,80.12,20.75,17.7,0.13%,94.8%
36,PPL,Pick TV - TV,7.4,,14.96,79.18,15.58,41.24,0.13%,94.94%
37,PPL,General Radio Grouping,15.45,36.83,,73.13,20.85,,0.12%,95.06%
38,PPL,BBC Radio Merseyside,47.17,24.12,,71.29,,,0.12%,95.18%
39,PPL,Drama - TV,3.93,,2.15,66.95,8.45,52.42,0.11%,95.29%
40,PPL,BBC Radio Essex,33.75,29.98,,63.73,,,0.11%,95.4%
41,PPL,BBC Scotland,,,,60.85,13.44,47.41,0.1%,95.5%
42,PPL,Downtown Radio (1026),1.37,3.9,,59.55,20.46,33.82,0.1%,95.6%
43,PPL,BBC Worldwide Channels,17.96,15.9,25.07,58.93,,,0.1%,95.7%
44,PPL,UKRD Online Service,,,6.61,56.8,,50.19,0.1%,95.79%
45,PPL,BBC Radio Manchester,28.53,26.02,,54.55,,,0.09%,95.88%
46,PPL,Yesterday - TV,,12.74,11.21,52.26,12.89,15.42,0.09%,95.97%
47,PPL,BBC Radio West Midlands,27.74,24.24,,51.98,,,0.09%,96.06%
48,PPL,BBc Radio Surrey and Sussex,51.78,,,51.78,,,0.09%,96.14%
49,PPL,BBC Radio N.Ireland Ulster,8.64,42.22,,50.86,,,0.09%,96.23%
50,PPL,BBC Radio Nottingham,24.13,25.63,,49.76,,,0.08%,96.31%
51,PPL,BBC Radio 1,,37.94,,49.48,,11.54,0.08%,96.39%
52,PPL,BBC Radio Norfolk,25.17,23.99,,49.16,,,0.08%,96.48%
53,PPL,Communicorp Simulcast,,,29.23,46.22,16.99,,0.08%,96.55%
54,PPL,Tindle Radio Network,,,31.56,43.77,12.21,,0.07%,96.63%
55,PPL,BBC Radio Derby,22.9,20.11,,43.01,,,0.07%,96.7%
56,PPL,BBC Radio 4 Extra,1.6,9.77,24.36,42.76,7.03,,0.07%,96.77%
57,PPL,ITV3 - TV,,,,42.55,9.88,32.67,0.07%,96.84%
58,PPL,BBC Radio Sheffield,19.09,22.51,,41.6,,,0.07%,96.91%
59,PPL,Really - TV,5.2,9.81,17.97,40.9,7.92,,0.07%,96.98%
60,PPL,Sky2 - TV,8.28,21.04,9.33,39.96,1.31,,0.07%,97.05%
61,PPL,LBC Radio (97.3/1152),7.61,,13.4,39.47,18.46,,0.07%,97.11%
62,PPL,BBC Radio Lincolnshire,18.85,17.82,,36.67,,,0.06%,97.17%
63,PPL,BBC Radio Cumbria,20.54,16.02,,36.56,,,0.06%,97.24%
64,PPL,BBC Radio Humberside,17.47,19.09,,36.56,,,0.06%,97.3%
65,PPL,Churches,7.13,0.55,16.51,36.13,2.24,9.7,0.06%,97.36%
66,PPL,BBC Radio Newcastle,18.13,17.1,,35.23,,,0.06%,97.42%
67,PPL,BBC Radio Cornwall,14.89,19.86,,34.75,,,0.06%,97.47%
68,PPL,BBC Radio Hereford & Worcester,14.25,20.29,,34.54,,,0.06%,97.53%
69,PPL,BBC Radio 5,7.13,,14.76,34.04,12.15,,0.06%,97.59%
70,PPL,BBC Radio Stoke,17.5,14.22,,31.72,,,0.05%,97.64%
71,PPL,Other ILR Simulcast,4.02,10.57,9.84,31.7,7.27,,0.05%,97.69%
72,PPL,BBC Radio Leeds,17.4,14.22,,31.62,,,0.05%,97.75%
73,PPL,BBC Radio Kent,19.41,12.15,,31.56,,,0.05%,97.8%
74,PPL,General Radio Grouping - New Media,,,31.31,31.31,,,0.05%,97.85%
75,PPL,BBC Radio Lancashire,18.79,11.77,,30.56,,,0.05%,97.9%
76,PPL,BBC Radio Suffolk,18.04,11.58,,29.62,,,0.05%,97.95%
77,PPL,UTV Network 4,6.45,,17.98,29.61,4.5,0.68,0.05%,98.0%
78,PPL,BBC Radio Devon,13.34,16.24,,29.58,,,0.05%,98.05%
79,PPL,4Seven - TV,0.77,9.47,5.53,28.36,9.43,3.16,0.05%,98.1%
80,PPL,Pirate Oldies,,27.47,,28.18,,0.71,0.05%,98.15%
81,PPL,Pirate FM (102.2),3.81,4.57,13.02,27.72,6.32,,0.05%,98.19%
82,PPL,IMMEDIA - NARROWCASTING,9.93,,14.39,26.32,0.31,1.69,0.04%,98.24%
83,PPL,BBC Radio Cambridgeshire,11.35,14.82,,26.17,,,0.04%,98.28%
84,PPL,The Eagle (96.4),1.99,3.88,10.31,25.66,9.2,0.28,0.04%,98.32%
85,PPL,BBC4,,,,25.26,15.76,9.5,0.04%,98.37%
86,PPL,BBC Radio York,14.32,10.17,,24.49,,,0.04%,98.41%
87,PPL,Other ILR stations,,23.99,,23.99,,,0.04%,98.45%
88,PPL,BBC Radio Berkshire,14.21,9.66,,23.87,,,0.04%,98.49%
89,PPL,BBC Radio Leicester,16.66,7.1,,23.76,,,0.04%,98.53%
90,PPL,BBC Radio London,12.42,10.65,,23.07,,,0.04%,98.57%
91,PPL,Swansea Sound (1170),1.96,9.97,6.41,20.89,1.73,0.82,0.03%,98.6%
92,PPL,BBC Radio Shropshire,14.73,5.9,,20.63,,,0.03%,98.64%
93,PPL,BBc Radio Sussex,,19.58,,19.58,,,0.03%,98.67%
94,PPL,UKRD Simulcast,1.73,2.99,7.48,19.24,6.01,1.03,0.03%,98.7%
95,PPL,BBC Radio Wiltshire,14.66,4.35,,19.01,,,0.03%,98.73%
96,PPL,Pulse AM (1278),2.18,8.42,4.32,18.92,2.23,1.77,0.03%,98.76%
97,PPL,BBC Three Counties Radio,18.45,,,18.45,,,0.03%,98.79%
