,Third Party,Source,2016 H1,2016 H2,2017 H1,2017 H2,2018 H1,2018 H2,2019 H1,2019 H2,2020 H1,2020 H2,2021 H1,2021 H2,% Of Revenue,Cumulative %
0,PRS,USA (ASCAP) General & Broadcasting,1178.65,7784.59,1839.7,9223.57,2291.69,7965.82,,3805.57,1116.38,3347.89,1032.97,2619.73,25.19%,25.19%
1,PRS,Canadian (SOCAN) General & Broadcasting,2651.87,1172.85,210.98,1126.87,1855.31,518.59,,964.17,148.54,339.57,84.37,260.35,5.57%,30.76%
2,PRS,UK Concerts & Stage Shows Year 2016,,,5078.06,4222.84,,,,,,,,,5.55%,36.32%
3,PRS,UK General Recorded (Other),711.65,1037.37,391.21,2042.15,788.88,1623.94,,1272.72,511.14,284.61,84.19,303.17,5.4%,41.72%
4,PRS,Japanese (JASRAC) General & Broadcasting,1.51,460.56,43.57,218.19,175.81,326.49,,1930.72,332.99,1681.61,697.31,1927.04,4.65%,46.37%
5,PRS,UK General Recorded (Shops),584.35,663.5,387.1,1070.02,435.83,1050.85,,597.11,248.29,234.83,82.37,177.89,3.3%,49.67%
6,PRS,UK General Recorded (Restaurants & Cafes),372.5,533.35,294.18,1212.79,462.64,1149.59,,804.75,195.81,204.9,24.47,184.22,3.25%,52.92%
7,PRS,BBC Radio 2,410.63,1323.84,1055.79,1175.54,287.25,1056.61,,,,,,,3.17%,56.09%
8,PRS,Australian (APRA) General & Broadcasting,134.34,802.14,128.28,546.55,235.76,528.81,,751.17,146.35,317.54,71.38,284.2,2.36%,58.44%
9,PRS,UK General Recorded (Pubs),281.64,440.22,179.49,837.62,361.39,715.11,,590.31,208.16,139.98,31.92,135.44,2.34%,60.79%
10,PRS,USA (ASCAP) Television & Cable,58.67,509.97,101.11,663.35,162.67,511.56,,442.81,329.23,321.77,146.12,499.8,2.24%,63.02%
11,PRS,USA (ASCAP) Online,51.37,110.99,66.98,221.17,86.29,417.56,,629.78,219.42,655.25,482.11,792.11,2.23%,65.25%
12,PRS,Canadian (SOCAN) Major Live Concert Service,,,,,,,,,,3365.53,,,2.01%,67.26%
13,PRS,UK Concert Service Events,1103.81,15.92,,,2031.49,,,,,,,,1.88%,69.14%
14,PRS,Italian (SIAE) General & Broadcasting,45.97,63.21,341.99,144.18,230.34,204.89,,178.58,81.79,,,1433.59,1.63%,70.77%
15,PRS,UK General Live,255.06,512.48,128.12,944.37,134.91,187.52,,85.56,85.56,99.68,19.24,,1.46%,72.23%
16,PRS,UK Aerobics & Keep Fit,224.64,183.4,101.75,557.62,111.18,438.11,,652.64,,,,,1.35%,73.58%
17,PRS,UK Concerts and Stage Shows 2019,,,,,,,,141.95,1601.94,,282.46,166.42,1.31%,74.89%
18,PRS,Netherlands (BUMA) General & Broadcasting,0.31,239.24,,413.87,,316.28,,271.11,5.99,272.66,31.73,249.32,1.07%,75.97%
19,PRS,Jukeboxes Soundnet,,23.36,78.03,234.59,85.2,219.72,,407.75,147.83,147.65,7.04,109.16,0.87%,76.84%
20,PRS,BBC Radio 2 Low Peak,,,,,,,,513.56,182.62,277.59,83.81,260.85,0.79%,77.63%
