Source,Normalized_Source
,Pool Revenue
"""EUROPA RADIO"" MUSORSZOLG. NON",Radio - General
"""VIACOM"" KFT.",Viacom
"""VIACOM"" KFT./AKTIV RADIO",Viacom
#0,Other
#unkn,Other
#UNKNOWN#,Other
'T SCHAAK,Other
(previously Mirror Image Access),Other
(사)한국현대무용협회,Korea Contemporary Dance Association
(주)KT뮤직,KT Music
(주)금영,Geumyoung Group
(주)금영그룹,Geumyoung Group
(주)꾼엔터테인먼트아트앤컬쳐,Kun Entertainment Art & Culture
(주)나이비,"Nabi Co., Ltd."
(주)네오위즈인터넷,"Neowiz Internet Co., Ltd."
(주)누캐츠미디어,"Nucats Media Co., Ltd."
(주)다날엔터테인먼트,Danal Entertainment
(주)더존테크윌,Duzon Techwill
(주)도서출판하우,Book Publishing
(주)드림어스컴퍼니,Dreamus Company
(주)뮤직스코어,Music Score
(주)브랜드라디오,Brand Radio
(주)샵캐스트,"Shopcast Co., Ltd."
(주)소리바다,Soribada
(주)씨에스비,CSB
(주)에덴유엔아이,"Eden UNI Co., Ltd."
(주)에브리싱,"Every Singing Co., Ltd."
(주)에브리싱코리아,Everything Korea
(주)에이디소프트,"ADSoft Co., Ltd."
(주)에이디엔노뜨,"ADN Note Co., Ltd."
(주)엔에이치엔벅스,"NHN Bucks Co., Ltd."
(주)엘프프로페셔널,Elf Professional
(주)엠피언,"Mpion Co., Ltd."
(주)연합뉴스,Yonhap News
(주)와이즈피어,"Wisesphere Co., Ltd."
(주)와이지플러스,YG Plus
(주)원트리즈뮤직,"One Trees Music Co., Ltd."
(주)이멜벤처스,"Emel Ventures Co., Ltd."
(주)이스트비트,"Eastbit Co., Ltd."
(주)이스트소프트,"Eastsoft Co., Ltd."
(주)인라이브,"Inlive Co., Ltd."
(주)지니뮤직,Genie Music
(주)키클롭스,Cyclops
(주)토마토뮤직,Tomato Music
(주)팬스타라인닷컴,Panstarline.com
(주)프라이빗커브,Private Curve
(주)플랜티넷,Plantinet
*** DIGITAL (PRINT) SALES -- MUSICNOTES.INC,Musicnotes
*** PRINT LICENSING -- SONGSTERR,Songsterr
*** PRINT LICENSING -- ULTIMATE GUITAR USA LLC.,Ultimate Guitar
/,Other
/FIESTA,Other
/FM Mundo (98.1,Radio - General
/Platinum (90.9,Radio - General
/Radio 2016 Ext,Radio - General
/Radio Activa F,Radio - General
/USUARIOS GENER,Other
0,Pool Revenue
0,Pool Revenue
021AMAZON UNLTD,Amazon
021AMI ENTERTAINMT,AMI Entertainment
021APPLE FAMILY,Apple Music
021APPLE INDIV,Apple Music
021APPLE STUDENT,Apple Music
021APPLE TRIAL,Apple Music
021APPLE VER TRIAL,Apple Music
021APPLE VERIZ BUN,Apple Music
021APPLE VERIZON,Apple Music
021APPLE WINBK IND,Apple Music
021CMS,CMS
021COLLEGE RADIO,College Radio
021DAILY MOTION,Daily Motion
021DEEZER,Deezer
021DIGITAL MUS EXP,DMX
021DISH CD,Dish CD
021DMX,DMX
021GROOVE MUSIC,Groove
021HEADLINER,Headliner
021INTERNET,Internet - General
021MUZAK,Muzak
021NAPSTER PREMIER,Napster
021PAND PLS 2016Q4,Pandora
021PAND PLS 2017Q1,Pandora
021PANDORA,Pandora
021PANDORA 2016Q2,Pandora
021PANDORA 2016Q3,Pandora
021PANDORA 2016Q4,Pandora
021PANDORA 2017Q1,Pandora
021PANDORA PLUS,Pandora
021PANDORA PREMIUM,Pandora
021RHAPSODY INTER,Rhapsody
021SOUNDCLOUD PLUS,Soundcloud
021SPOTIFY FAMILY,Spotify
021SPOTIFY FREE,Spotify
021SPOTIFY PREM,Spotify
021SPOTIFY STUDENT,Spotify
021TIDAL,Tidal
021TOUCHTUNES,TouchTunes
021YOUTUBE,YouTube
021YOUTUBE FREE,YouTube
021YOUTUBE MUSIC,YouTube
021YOUTUBE PREMIUM,YouTube
021YOUTUBE RED,YouTube
058GENERAL,General
1 - FILMS LARGO,Films - General
1.010 W RADIO -,Radio - General
1.100 A.M. FIES,Radio - General
1.130 AM OXIGEN,Radio - General
1.250 AM OXIGEN,Radio - General
1.270 AM BESAME,Radio - General
1.350 AM W RADI,Radio - General
100.1 LA REINA,Radio - General
100NL,100NL
100NL als Achtergrondmuziek,100NL
100NL als Agm in Horeca,100NL
100NL als Agm in Werkruimtes,100NL
100NL als Agm in Winkelruimtes,100NL
100NLMR,100NL
101.1 FM  TROPI,Radio - General
101.2 UM RADIO,Radio - General
101.5 F.M. OXIG,Radio - General
101.7 LA W RADI,Radio - General
102 Capital FM,Capital UK
102 Capital FM (Grea,Capital UK
102.2 Capital F,Capital UK
102.2 Capital FM (Bi,Capital UK
102.9 FM TROPIC,Radio - General
103 - METRO,Radio - General
103.2 Capital F,Capital UK
103.2 Capital FM (So,Capital UK
105 Capital FM,Capital UK
105 Capital FM (York,Capital UK
105 RADIO NETWORK,Radio - General
105-106 Capital,Capital UK
105-106 Capital FM (,Capital UK
106.1 FM STEREO,Radio - General
106.3 LA FM - G,Radio - General
106.4 FM LOS 40,Radio - General
106.5 FM LOS 40,Radio - General
107.3 FM Radio,Radio - General
107.3 FM Radio Exe (,Radio - General
107.3 Radio Exe,Radio - General
107.3 Radio Exe  Hig,Radio - General
107.3 Radio Exe  Low,Radio - General
107.3 Radio Exe  Non,Radio - General
107.5 FM LOS 40,Radio - General
107.5 FM OXIGEN,Radio - General
107.6 Banbury S,Radio - General
107.6 Banbury Sound,Radio - General
-1181,Radio - General
12. OUT OF THE BLUE'S FESTIVAL,Out Of The Blue's Festival
-1232,Radio - General
-1288,Radio - General
1288 - FM 102.9,Radio - General
"12:05 AM PRODUCTIONS, LLC",12:05 AM Productions Llc
13TV,TV - General
-14,TV - General
14 - AM LS  4,TV - General
17 - CANAL 10,TV - General
1CBR,Radio - General
1CHEM (DIGITAL) CHEMIST WAREHO,Chemist Warehouse
1Xtra from the BBC P,BBC
2 - FILMS SERIE,Films - General
2 BE,Other
2 BICOM,Bicom
20 MINUTEN RADIO,Radio - General
201401-201512 期間,Other
2016 Download R,Download Residuals
2016 Download Residu,Download Residuals
2017 Download R,Download Residuals
2017 Formula 1 Australian Gra,Formula 1 Australian Grand Prix
2019 - 008    (TURKCELL FIZY STREAMING 2018),Turkcell
2019 - 009    (TURKCELL FIZY DOWNLOAD 2018),Turkcell
2019 Rugby Test Series,Rugby Match
